sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl,vigencia_precios,clausula_precios
ACCITL420,ACCITL420,"Pasta Térmica para CPU, 1.5 Gr. Para inyectar (701662)","Pasta Térmica para CPU, 1.5 Gr. Para inyectar (701662)","CPU,",d,1.3076923076923075,25.5,1.31,30.6,30.6,40.8,29.32,30.6,accesorios_perifericos,./assets/img/catalog/accesorios_perifericos/ACCITL420.jpg,https://static.ctonline.mx/imagenes/ACCITL420/ACCITL420_400.jpg,./assets/img/placeholders/acc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
ACCITL2450,ACCITL2450,"Pasta Térmica para CPU, MANHATTAN, 20 g Color: Plateado, 140065, Color: gris, Conductividad tér","Pasta Térmica para CPU, MANHATTAN, 20 g Color: Plateado, 140065, Color: gris, Conductividad térmica: 0.965 W/M-K, Impedancia térmica: 0.255°C-IN2/W, Gravedad específica:  2.3, Evaporación:  0.001%, Margen de sangría:  0.05%, Constante dieléctrica A: 5.1, Índice tixotrópico: 380 ±10 1/10 mm, Temperatura de operación: -30° C - 180° C, Diseño: Dispensador en jeringa con tapa, 20 g","CPU,",d,9.43956043956044,184.07,9.44,220.88,220.88,294.51,211.68,220.88,accesorios_perifericos,./assets/img/catalog/accesorios_perifericos/ACCITL2450.jpg,https://static.ctonline.mx/imagenes/ACCITL2450/ACCITL2450_400.jpg,./assets/img/placeholders/acc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
MENWSD020,MENWSD020,"Memoria Micro SD WD Purple, 64GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD064G1P0C","Memoria Micro SD WD Purple, 64GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD064G1P0C",CT,d,18.022222222222222,351.43,18.02,421.72,421.72,562.29,404.14,421.72,accesorios_perifericos,./assets/img/catalog/accesorios_perifericos/MENWSD020.jpg,https://static.ctonline.mx/imagenes/MENWSD020/MENWSD020_400.jpg,./assets/img/placeholders/acc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
MENWSD010,MENWSD010,"Memoria Micro SD WD Purple, 128GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD128G1P0C","Memoria Micro SD WD Purple, 128GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD128G1P0C",CT,d,34.922222222222224,680.98,34.92,817.18,817.18,1089.57,783.13,817.18,accesorios_perifericos,./assets/img/catalog/accesorios_perifericos/MENWSD010.jpg,https://static.ctonline.mx/imagenes/MENWSD010/MENWSD010_400.jpg,./assets/img/placeholders/acc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
MENWSD030,MENWSD030,"Memoria Micro SD WD Purple, 256GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD256G1P0C","Memoria Micro SD WD Purple, 256GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD256G1P0C",CT,d,72.96666666666667,1422.85,72.97,1707.42,1707.42,2276.56,1636.28,1707.42,accesorios_perifericos,./assets/img/catalog/accesorios_perifericos/MENWSD030.jpg,https://static.ctonline.mx/imagenes/MENWSD030/MENWSD030_400.jpg,./assets/img/placeholders/acc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
ACCVGO2200,ACCVGO2200,"Pasta Térmica Game Factor TP200 4 Gramos, 5.15 W/M-k, Aplicador, Gris","Pasta Térmica Game Factor TP200 4 Gramos, 5.15 W/M-k, Aplicador, Gris",CT,d,4.444444444444445,86.67,4.44,104.0,104.0,138.67,99.67,104.0,accesorios_perifericos,./assets/img/catalog/accesorios_perifericos/ACCVGO2200.jpg,https://static.ctonline.mx/imagenes/ACCVGO2200/ACCVGO2200_400.jpg,./assets/img/placeholders/acc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
ACCVGO2210,ACCVGO2210,"Pasta Térmica Game Factor TP300 2 Gramos, 13.4 W/M-k, KIT, Aplicador, Pad Térmico, Placa Cobre,","Pasta Térmica Game Factor TP300 2 Gramos, 13.4 W/M-k, KIT, Aplicador, Pad Térmico, Placa Cobre, Gris",CT,d,6.666666666666666,130.0,6.67,156.0,156.0,208.0,149.5,156.0,accesorios_perifericos,./assets/img/catalog/accesorios_perifericos/ACCVGO2210.jpg,https://static.ctonline.mx/imagenes/ACCVGO2210/ACCVGO2210_400.jpg,./assets/img/placeholders/acc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
ACCVGO2220,ACCVGO2220,"Pasta Térmica Star The Game TP100 3 Gramos, 1.9 W/M-k, Gris","Pasta Térmica Star The Game TP100 3 Gramos, 1.9 W/M-k, Gris",CT,d,1.3333333333333333,26.0,1.33,31.2,31.2,41.6,29.9,31.2,accesorios_perifericos,./assets/img/catalog/accesorios_perifericos/ACCVGO2220.jpg,https://static.ctonline.mx/imagenes/ACCVGO2220/ACCVGO2220_400.jpg,./assets/img/placeholders/acc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
ACCYEY110,ACCYEY110,"Base headset overpower serie1000 YEYIAN YAO-29201N, potencia nominal 5V - 250 mA, micrófono Ø 6","Base headset overpower serie1000 YEYIAN YAO-29201N, potencia nominal 5V - 250 mA, micrófono Ø 6 x 5 mm, configuración omnidireccional, sensibilidad -54 ±3dB, respuesta de frecuencia 50 - 10 000 Hz, conector 500 mV @ 1K0 db, micrófono integrado, iluminación RGB, perilla para control de volumen, conectores frontales de audífonos y micrófono, concentrador USB, hardware con modo de ecualizador.",CT,d,7.01111111111111,136.72,7.01,164.06,164.06,218.75,157.23,164.06,accesorios_perifericos,./assets/img/catalog/accesorios_perifericos/ACCYEY110.jpg,https://static.ctonline.mx/imagenes/ACCYEY110/ACCYEY110_400.jpg,./assets/img/placeholders/acc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CDRASS060,CDRASS060,"UNIDAD OPTICA ASUS SDRW-08D2S-U/BLK/G/AS Color NEGRO, Velocidad de lectura (máx.) DVD-ROM : 8X ","UNIDAD OPTICA ASUS SDRW-08D2S-U/BLK/G/AS Color NEGRO, Velocidad de lectura (máx.) DVD-ROM : 8X DVD+R : 8X DVD-R : 8X DVD+R(SL, M-DISC) : 8X DVD+RW : 8X DVD-RW : 8X DVD+R(DL) : 8X DVD-R(DL) ) : 8X CD-ROM : 24X CD-R : 24X,Velocidad de escritura (máx.) DVD+R : 8X DVD-R : 8X DVD+R(SL, M-DISC) : 4X DVD+RW : 8X DVD-RW : 6X DVD+R(DL) : 6X DVD-R(DL) : 6X CD- R: 24X CD-RW: 24X, Interfaz USB 2.0 (Tipo-A),Compatibilidad con SO Window 11 Windows 10 Windows 8 / 8.1 Mac OS® X 10.6 y superioR,  CPU: Intel Pentium 4 2.0 GHz o AMD Athlon™ 2100+ o superior, Requisitos de energía Alimentación USB +5V ± 5%, Software incluido (SO Windows) CyberLink Power2Go 8, Dimensiones 142 x 142 x 20 mm (largo/ancho/alto), Peso 250 ± 20 gramos",UNIDAD,d,24.784090909090907,483.29,24.78,579.95,579.95,773.27,555.78,579.95,accesorios_perifericos,./assets/img/catalog/accesorios_perifericos/CDRASS060.jpg,https://static.ctonline.mx/imagenes/CDRASS060/CDRASS060_400.jpg,./assets/img/placeholders/acc_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
