sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,garantia,disponibilidad_gdl
CPUINT5080,CPUINT5080,"Procesador Intel i7-14700 CM8071504820817 VERSION TRAY - SIN DISIPADOR, SIN CAJA,  20 núcleos, ","Procesador Intel i7-14700 CM8071504820817 VERSION TRAY - SIN DISIPADOR, SIN CAJA,  20 núcleos, 28 subprocesos, 2.1 GHz base y 5.4 GHz en turbo. 33 MB caché, TDP 65W, memoria ram máxima soportada DDR4-3200 / DDR5-5600 (máximo 2). Con Intel gráficos UHD Graphics 770, LGA 1700. Compatible con placa base serie 600 y 700. 
Para ensamble - procesador OEM - SIN CAJA.
Presentación TRAY:
SIN disipador, SIN caja, procesador OEM para ensambladores
IMPORTANTE:
Esta versión NO incluye disipador térmico. Disipador Compatible VENINT060 (BXTSRM1)",CM8071504820817,d,338.88888888888886,6608.33,338.89,9912.49,9912.49,13216.66,9251.66,7930.0,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/CPUINT5080.jpg,https://static.ctonline.mx/imagenes/CPUINT5080/CPUINT5080_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT5070,CPUINT5070,"Procesador Intel i5-14400F CM8071505093011, VERSION TRAY - SIN DISIPADOR, SIN CAJA, SIN GRAFICO","Procesador Intel i5-14400F CM8071505093011, VERSION TRAY - SIN DISIPADOR, SIN CAJA, SIN GRAFICOS  10 núcleos, 16 subprocesos, 2.5 Ghz base y 4.7 Ghz en turbo. 20 MB caché, TDP 65W, memoria ram máxima 192GB soportada DDR4-3200 / DDR5-4800 (máximo 2). LGA 1700. Compatible con placa base serie 600 y 700. 
Para ensamble - procesador OEM - SIN CAJA.
Presentación TRAY:
SIN disipador, SIN caja, procesador OEM para ensambladores
IMPORTANTE:
Esta versión NO incluye disipador térmico. NO INCLUYE VIDEO. Disipador Compatible VENINT060 (BXTSRM1)","CM8071505093011,",d,157.2777777777778,3066.92,157.28,4600.38,4600.38,6133.84,4293.69,3680.3,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/CPUINT5070.jpg,https://static.ctonline.mx/imagenes/CPUINT5070/CPUINT5070_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT5090,CPUINT5090,"Procesador Intel i5-14400 CM8071504821112, VERSION TRAY - SIN DISIPADOR, SIN CAJA,  10 núcleos,","Procesador Intel i5-14400 CM8071504821112, VERSION TRAY - SIN DISIPADOR, SIN CAJA,  10 núcleos, 16 subprocesos, 2.5 GHz base y 4.7 GHz en turbo. 20 MB caché, TDP 65W, memoria ram máxima soportada DDR4-3200 / DDR5-4800 (máximo 2). Con Intel gráficos UHD Graphics 730, LGA 1700. Compatible con placa base serie 600 y 700. 
Para ensamble - procesador OEM - SIN CAJA.
Presentación TRAY:
SIN disipador, SIN caja, procesador OEM para ensambladores
IMPORTANTE:
Esta versión NO incluye disipador térmico. Disipador Compatible VENINT060 (BXTSRM1)","CM8071504821112,",d,175.66666666666666,3425.5,175.67,5138.25,5138.25,6851.0,4795.7,4110.6,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/CPUINT5090.jpg,https://static.ctonline.mx/imagenes/CPUINT5090/CPUINT5090_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT4910,CPUINT4910,"Procesador Intel® Core™ i5-12400 VERSION TRAY - SIN DISIPADOR LGA 1700, 18MB caché, hasta 4.40 ","Procesador Intel® Core™ i5-12400 VERSION TRAY - SIN DISIPADOR LGA 1700, 18MB caché, hasta 4.40 Ghz. 6 núcleos, compatible con memorias DDR4 y DDR5, hasta 128GB. Compatible con placas base serie 600. Potencia base del procesador: 65 W. Para ensamble - Procesador OEM - SIN CAJA",CT,d,161.53333333333333,3149.9,161.53,4724.85,4724.85,6299.8,4409.86,3779.88,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/CPUINT4910.jpg,https://static.ctonline.mx/imagenes/CPUINT4910/CPUINT4910_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT5010,CPUINT5010,"Procesador Intel i5-10400T CM8070104290806, VERSION TRAY - SIN DISIPADOR, SIN CAJA,  6 núcleos,","Procesador Intel i5-10400T CM8070104290806, VERSION TRAY - SIN DISIPADOR, SIN CAJA,  6 núcleos, 12 subprocesos, 2.00 Ghz base y 3.60 Ghz en turbo. 12 MB caché, velocidad del bus 8 GT/s. TDP 35W, memoria ram soportada DDR4-2666 (máximo 2). Con Intel gráficos UHD Graphics 630, LGA 1200. Compatible con placa base serie 500. 
Para ensamble - procesador OEM - SIN CAJA
Presentación TRAY:
SIN disipador, SIN caja, procesador OEM para ensambladores
IMPORTANTE:
Esta versión NO incluye disipador térmico. Disipador Compatible VENINT070 (BXTS10A)","CM8070104290806,",d,80.0,1560.0,80.0,2340.0,2340.0,3120.0,2184.0,1872.0,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/CPUINT5010.jpg,https://static.ctonline.mx/imagenes/CPUINT5010/CPUINT5010_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABEVO170,GABEVO170,Fuente de Poder para Ensamble. Compatible con Gabinetes ATX entrega un rendimiento de 600W mode,Fuente de Poder para Ensamble. Compatible con Gabinetes ATX entrega un rendimiento de 600W modelo PSUEV1 Cuenta con dos conectores de energía SATA2 y conector de voltaje de 4 pines para VGA.,CT,m,301.7647058823529,301.76,15.47,452.64,452.64,603.52,422.46,362.11,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/GABEVO170.jpg,https://static.ctonline.mx/imagenes/GABEVO170/GABEVO170_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CPUYEY730,CPUYEY730,PC Gamer YEYIAN  Hussar B300GB-02M | Athlon 3000G | 16GB RAM DDR4 | 512GB SSD M.2 modelo YPA-HS,"PC Gamer YEYIAN  Hussar B300GB-02M | Athlon 3000G | 16GB RAM DDR4 | 512GB SSD M.2 modelo YPA-HSB300GB-02M, Gráficos integrados AMD Radeon, procesador (CPU) AMD Athlon 3000G, Memoria RAM 16GB DDR4 3200 MHz, Almacenamiento 512GB SSD M.2 NVMe Gen 3, Refrigeración Disipador de aire estándar, Sistema Operativo Windows 11 DEMO. Color: Negro. Garantía: 1 año.",YEYIAN,d,243.43478260869566,4746.98,243.43,7120.47,7120.47,9493.96,6645.77,5696.38,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/CPUYEY730.jpg,https://static.ctonline.mx/imagenes/CPUYEY730/CPUYEY730_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CPUYEY750,CPUYEY750,"PC Gaming YEYIAN Modelos YPI-HU2400B-560PM, Equipada con el Intel Core i5-12400 y la NVIDIA GeF","PC Gaming YEYIAN Modelos YPI-HU2400B-560PM, Equipada con el Intel Core i5-12400 y la NVIDIA GeForce RTX 5060 de 8GB, ofrece un excelente rendimiento para disfrutar de juegos AAA y títulos competitivos en Full HD, Incluye una PC Gamer Yeyian y el monitor Yeyian Elysium de 24"", para que tengas todo lo necesario y empieces a jugar desde el primer momento, Disfruta una experiencia ultra fluida gracias a su panel Fast IPS, resolución Full HD, 240Hz de actualización y 1 ms (MPRT) para una respuesta inmediata en cada partida, Con 16GB DDR4 RGB y SSD NVMe M.2 de 1TB, obtén tiempos de carga mínimos y un desempeño ágil en juegos, streaming y productividad, Incluye Wi-Fi 6E, Bluetooth 5.3, red 2.5GbE LAN y tecnología AMD FreeSync en el monitor para ofrecer una experiencia de juego estable y sin interrupciones. Color Negro. Garantia 1 año.",YEYIAN,d,1054.5108695652173,20562.96,1054.51,30844.44,30844.44,41125.92,28788.14,24675.55,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/CPUYEY750.jpg,https://static.ctonline.mx/imagenes/CPUYEY750/CPUYEY750_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CPUEVO1030,CPUEVO1030,"Computadora de Escritorio EVOTEC Gamer EV-R556gt-Vertec  Pc Gamer Evotec Amd Ryzen 5 5600 gt, 1","Computadora de Escritorio EVOTEC Gamer EV-R556gt-Vertec  Pc Gamer Evotec Amd Ryzen 5 5600 gt, 16gb, ssd 480gb, Win 11 Pro Prueba EV-1018 EV-r556gt-vertec",EVOTEC,m,9167.33695652174,9167.34,470.12,13751.01,13751.01,18334.68,12834.28,11000.81,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/CPUEVO1030.jpg,https://static.ctonline.mx/imagenes/CPUEVO1030/CPUEVO1030_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCXRX1040,ACCXRX1040,"XEROX 115R00076 Ensamble de Fusor 110V (Artículo de Mantenimiento Larga Duración, Normalmente n","XEROX 115R00076 Ensamble de Fusor 110V (Artículo de Mantenimiento Larga Duración, Normalmente no es requerido, 100K)",XEROX,d,333.58851063829786,6504.98,333.59,9757.47,9757.47,13009.96,9106.97,7805.98,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/ACCXRX1040.jpg,https://static.ctonline.mx/imagenes/ACCXRX1040/ACCXRX1040_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ACCHKV4440,ACCHKV4440,"Orejas para ensamble en Rack Hikvision 190157623, compatible con DVR y NVR HIKVISION Serie DS-7","Orejas para ensamble en Rack Hikvision 190157623, compatible con DVR y NVR HIKVISION Serie DS-7600/ IDS-7600, 1 unidad en Rack, diseño compacto, Integración fácil con redes de seguridad Hikvision",CT,d,3.75,73.12,3.75,109.68,109.68,146.24,102.37,87.74,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/ACCHKV4440.jpg,https://static.ctonline.mx/imagenes/ACCHKV4440/ACCHKV4440_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
SOFAPL6300,SOFAPL6300,Software Aspel PROD 5.0 NUEVO PROD1FV Permite la planeación y control de los procesos de fabric,"Software Aspel PROD 5.0 NUEVO PROD1FV Permite la planeación y control de los procesos de fabricación de la empresa, asegurando una óptima administración de inventarios y costos. Proporciona, además, un eficiente seguimiento a las órdenes de producción, mejorando los tiempos de entrega. Actualiza y procesa la información de manera rápida al integrarse con la base de datos de Aspel SAE 9.0, de donde obtiene la materia prima y sub-ensambles para realizar los procesos de producción y, posteriormente, actualizar el inventario con los productos terminados. Licencia Base: 1 usuario 99 empresas. SIN DEVOLUCION.",PROD,m,13676.598,13676.6,701.36,20514.9,20514.9,27353.2,19147.24,16411.92,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/SOFAPL6300.jpg,https://static.ctonline.mx/imagenes/SOFAPL6300/SOFAPL6300_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
SOFAPL6080,SOFAPL6080,Software Aspel PROD 5.0 NUEVO PROD1F. Permite la planeación y control de los procesos de fabric,"Software Aspel PROD 5.0 NUEVO PROD1F. Permite la planeación y control de los procesos de fabricación de la empresa, asegurando una óptima administración de inventarios y costos. Proporciona, además, un eficiente seguimiento a las órdenes de producción, mejorando los tiempos de entrega. Actualiza y procesa la información de manera rápida al integrarse con la base de datos de Aspel SAE 9.0, de donde obtiene la materia prima y sub-ensambles para realizar los procesos de producción y, posteriormente, actualizar el inventario con los productos terminados. Licencia Base: 1 usuario 99 empresas Nuevo. Garantía limitada: Por defecto de Fabricación. Dimensiones de Embalaje Individual: 241,3 mm x 190,5 mm x 63,5 mm. Peso: 320gr. SIN DEVOLUCION.",PROD,m,13676.598,13676.6,701.36,20514.9,20514.9,27353.2,19147.24,16411.92,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/SOFAPL6080.jpg,https://static.ctonline.mx/imagenes/SOFAPL6080/SOFAPL6080_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
SOFAPL6220,SOFAPL6220,Software Aspel Actualización PROD 5.0 PROD1AFV. Permite la planeación y control de los procesos,"Software Aspel Actualización PROD 5.0 PROD1AFV. Permite la planeación y control de los procesos de fabricación de la empresa, asegurando una óptima administración de inventarios y costos. Proporciona, además, un eficiente seguimiento a las órdenes de producción, mejorando los tiempos de entrega. Actualiza y procesa la información de manera rápida al integrarse con la base de datos de Aspel SAE 7.0, de donde obtiene la materia prima y sub-ensambles para realizar los procesos de producción y, posteriormente, actualizar el inventario con los productos terminados. Licencia Base:  1 usuario 99 empresas Actualización. *Sirve para actualizar versiones anteriores, EJEMPLO: PROD 4.0 Garantía limitada: Por defecto de Fabricación. SIN DEVOLUCION.",PROD,m,8847.269199999999,8847.27,453.71,13270.91,13270.91,17694.54,12386.18,10616.72,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/SOFAPL6220.jpg,https://static.ctonline.mx/imagenes/SOFAPL6220/SOFAPL6220_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
SOFAPL6130,SOFAPL6130,Software Aspel Actualización PROD 5.0 PROD1AF. Permite la planeación y control de los procesos ,"Software Aspel Actualización PROD 5.0 PROD1AF. Permite la planeación y control de los procesos de fabricación de la empresa, asegurando una óptima administración de inventarios y costos. Proporciona, además, un eficiente seguimiento a las órdenes de producción, mejorando los tiempos de entrega. Actualiza y procesa la información de manera rápida al integrarse con la base de datos de Aspel SAE 7.0, de donde obtiene la materia prima y sub-ensambles para realizar los procesos de producción y, posteriormente, actualizar el inventario con los productos terminados. Licencia Base:  1 usuario 99 empresas Actualización. *Sirve para actualizar versiones anteriores, EJEMPLO: PROD 4.0 Garantía limitada: Por defecto de Fabricación. SIN DEVOLUCION.",PROD,m,8847.269199999999,8847.27,453.71,13270.91,13270.91,17694.54,12386.18,10616.72,computadoras_ensambladas,./assets/img/catalog/computadoras_ensambladas/SOFAPL6130.jpg,https://static.ctonline.mx/imagenes/SOFAPL6130/SOFAPL6130_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
