sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl
TARTPL230,TARTPL230,"Tarjeta de Red PCIe Gigabit (TG-3468) 10/100/1000 Mbps. Win 98SE/Me/NT/2000/XP/Vista/7, Linux/N","Tarjeta de Red PCIe Gigabit (TG-3468) 10/100/1000 Mbps. Win 98SE/Me/NT/2000/XP/Vista/7, Linux/Novell Netware",CT,d,7.954545454545454,155.11,7.95,232.67,232.67,310.22,217.15,186.13,conectividad_redes,./assets/img/catalog/conectividad_redes/TARTPL230.jpg,https://static.ctonline.mx/imagenes/TARTPL230/TARTPL230_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
TARTPL600,TARTPL600,"Tarjeta Red Inalambrica AX3000 Dual Band Wi-Fi 6 Bluetooth 5.0 PCI Express (ARCHER TX50E), velo","Tarjeta Red Inalambrica AX3000 Dual Band Wi-Fi 6 Bluetooth 5.0 PCI Express (ARCHER TX50E), velocidad de hasta 2402 Mbps (5 GHz) + 574 Mbps (2,4 GHz), Dos antenas de doble banda de alta ganancia, Intel Wi-Fi 6 Chipset,Estándares Inalámbricos IEEE 802.11ax/ac/n/a 5 GHz, IEEE 802.11ax/n/g/b 2.4 GHz, Bluetooth 5.0/4.2/4.0, Seguridad Inalámbrica 64/128 bit WEP, WPA/WAP2/WPA3, WPA-PSK/WPA2-PSK, 802.1x, Requisitos del Sistema Solo Windows 10 (64 bits), admite los perfiles BTnativos implementados en Windows 10.",AX3000,d,51.13636363636363,997.16,51.14,1495.74,1495.74,1994.32,1396.02,1196.59,conectividad_redes,./assets/img/catalog/conectividad_redes/TARTPL600.jpg,https://static.ctonline.mx/imagenes/TARTPL600/TARTPL600_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ROUTPL180,ROUTPL180,"Router Balanceador de Carga Multi-Wan, (TL-R470T+) (3) WAN/LAN 10/100Mbps, (1) WAN 10/100Mbps y","Router Balanceador de Carga Multi-Wan, (TL-R470T+) (3) WAN/LAN 10/100Mbps, (1) WAN 10/100Mbps y (1) LAN 10/100Mbps, Balanceo de carga, tiene las funciones básicas de DHCP Server, DHCP Client, MAC Address Modify/Clone, VPN Pass-through, Static Routing, Dynamic DNS. Compatible con los estándares y protocolos IEEE 802.3, 802.3u, 802.3x, TCP/IP, DHCP, ICMP, NAT, PPPoE, SNTP, HTTP, DNS. Microsoft® Windows® 98SE, NT, 2000, XP, Vista™ or Windows 7, MAC® OS, NetWare®, UNIX® or Linux.",CT,d,31.25,609.38,31.25,914.07,914.07,1218.76,853.13,731.26,conectividad_redes,./assets/img/catalog/conectividad_redes/ROUTPL180.jpg,https://static.ctonline.mx/imagenes/ROUTPL180/ROUTPL180_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ROUTPL120,ROUTPL120,"Router Balanceador de Carga Multi-Wan, (TL-R480T+) (3) WAN/LAN 10/100Mbps, (1) WAN 10/100Mbps, ","Router Balanceador de Carga Multi-Wan, (TL-R480T+) (3) WAN/LAN 10/100Mbps, (1) WAN 10/100Mbps, (1) LAN 10/100Mbps y (1) consola RJ45. Balanceo de carga, selecciona automáticamente la mejor línea de acuerdo a la carga, soporta Port-based VLAN/DDNS/UPnP/VPN Pass-Through. Compatible con los estándares y protocolos IEEE 802.3, 802.3u, 802.3x, TCP / IP, DHCP, ICMP, NAT, PPPoE, SNTP, HTTP, DNS. Microsoft® Windows® 98SE, NT, 2000, XP, Vista™ or Windows 7, MAC® OS, NetWare®, UNIX® or Linux.",CT,d,41.25,804.38,41.25,1206.57,1206.57,1608.76,1126.13,965.26,conectividad_redes,./assets/img/catalog/conectividad_redes/ROUTPL120.jpg,https://static.ctonline.mx/imagenes/ROUTPL120/ROUTPL120_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ROUTPL1320,ROUTPL1320,"Wi-Fi Gigabit Omada AC1200 (ER605W) 1 puerto WAN Gigabit , 2 puertos WAN/LAN Gigabit ,2 puertos","Wi-Fi Gigabit Omada AC1200 (ER605W) 1 puerto WAN Gigabit , 2 puertos WAN/LAN Gigabit ,2 puertos LAN Gigabit , ER605W ofrece hasta 300 Mbps en la banda de 2,4 GHz para uso diario y hasta 867 Mbps en la banda de 5 GHz para streaming HD y conferencias, ideal para comercios minoristas, pequeñas tiendas, pequeñas cadenas de tiendas, sucursales y más.",AC1200,d,60.22727272727273,1174.43,60.23,1761.64,1761.64,2348.86,1644.2,1409.32,conectividad_redes,./assets/img/catalog/conectividad_redes/ROUTPL1320.jpg,https://static.ctonline.mx/imagenes/ROUTPL1320/ROUTPL1320_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ROUTPL970,ROUTPL970,"Router VPN Gigabit-SDN Multi-Wan, (ER605) (1) WAN 10/100/1000Mbps, (3) LAN/WAN 10/100/100 (1) L","Router VPN Gigabit-SDN Multi-Wan, (ER605) (1) WAN 10/100/1000Mbps, (3) LAN/WAN 10/100/100 (1) LAN 10/100/1000Mbps, integrado en Omada SDN, administración centralizada, VPN de alta seguridad: admite hasta 20 conexiones IPsec LAN a LAN, 16 OpenVPN *, 16 L2TP y 16 conexiones VPN PPTP.",VPN,d,46.59090909090909,908.52,46.59,1362.78,1362.78,1817.04,1271.93,1090.22,conectividad_redes,./assets/img/catalog/conectividad_redes/ROUTPL970.jpg,https://static.ctonline.mx/imagenes/ROUTPL970/ROUTPL970_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ROUTPL980,ROUTPL980,"Router VPN SafeStream Gigabit Multi-WAN (ER7206) (1) WAN SFP 10/100/1000Mbps ,(1) RJ45 WAN 10/1","Router VPN SafeStream Gigabit Multi-WAN (ER7206) (1) WAN SFP 10/100/1000Mbps ,(1) RJ45 WAN 10/100/1000Mbps,(2) Intercambiables RJ45 WAN /LAN PORTS 10/100/1000 .VPN altamente segura: admite hasta 100 × conexiones IPsec LAN a LAN, 50 × OpenVPN *, 50 × L2TP y 50 × conexiones VPN PPT, políticas avanzadas de firewall, defensa DoS, filtrado de IP / MAC / URL y más funciones de seguridad protegen su red y sus datos. Acceso a la nube y aplicación Omada para una mayor comodidad y una gestión sencilla.",VPN,d,80.68181818181819,1573.3,80.68,2359.95,2359.95,3146.6,2202.62,1887.96,conectividad_redes,./assets/img/catalog/conectividad_redes/ROUTPL980.jpg,https://static.ctonline.mx/imagenes/ROUTPL980/ROUTPL980_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ROUTPL1210,ROUTPL1210,"Router VPN Gigabit Omada AX3000 (ER706W) WiFi 6 con 2402 Mbps en 5 GHz y 574 Mbps en 2,4 GHz,1 ","Router VPN Gigabit Omada AX3000 (ER706W) WiFi 6 con 2402 Mbps en 5 GHz y 574 Mbps en 2,4 GHz,1 ranura SFP Gigabit y 5 puertos RJ45 Gigabit, 1 puerto USB 3.0 (compatible con almacenamiento USB y copia de seguridad LTE con adaptador LTE)*, Malla con puntos de acceso Omada para ampliar el WiFi sin cableado ni conmutador adicional, El equilibrio de carga en hasta 5 puertos WAN aumenta la tasa de utilización de banda ancha multilínea, SSL/IPSec/GRE†/WireGuard/PPTP/L2TP VPN y OpenVPN△ de alta seguridad",VPN,d,125.0,2437.5,125.0,3656.25,3656.25,4875.0,3412.5,2925.0,conectividad_redes,./assets/img/catalog/conectividad_redes/ROUTPL1210.jpg,https://static.ctonline.mx/imagenes/ROUTPL1210/ROUTPL1210_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ROUTPL1070,ROUTPL1070,"Router Omada VPN 10G (ER8411), 2 puertos 10GE SFP + Puertos (1 WAN, 1 WAN/LAN),1 puerto WAN/LAN","Router Omada VPN 10G (ER8411), 2 puertos 10GE SFP + Puertos (1 WAN, 1 WAN/LAN),1 puerto WAN/LAN SFP de 1 GE,8 puertos WAN/LAN 1GE RJ45,1 puerto de consola RJ45,2 puertos USB (conexión de módem 4G/3G como respaldo WAN), Flash 4MB SPI NOR + 256 MB NAND,DRAM 4 GB DDR4,Sesiones Concurrentes 2,300,000,Requisitos del sistema Microsoft Windows 98SE, NT, 2000, XP, Vista™ o Windows 7/8/8.1/10/11, MAC OS, NetWare, UNIX o Linux.",VPN,d,487.5,9506.25,487.5,14259.38,14259.38,19012.5,13308.75,11407.5,conectividad_redes,./assets/img/catalog/conectividad_redes/ROUTPL1070.jpg,https://static.ctonline.mx/imagenes/ROUTPL1070/ROUTPL1070_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
ROUTPL1160,ROUTPL1160,"Router VPN multigigabit Omada  (ER7412-M2) CPU de cuatro núcleos a 2,0 GHz, 2 puertos WAN/LAN R","Router VPN multigigabit Omada  (ER7412-M2) CPU de cuatro núcleos a 2,0 GHz, 2 puertos WAN/LAN RJ45 de 2,5G ,1× 2.5G RJ45 WAN/LAN, 1× 2.5G RJ45 WAN/LAN, 2× Gigabit SFP WAN/LAN , 8× Gigabit RJ45 WAN/LAN, 1 x RJ45  de consola, 1 USB 3.0 (admite dongle USB LTE y almacenamiento USB). Gestión centralizada de la nube a través de la web o la aplicación Omada*",VPN,d,180.6818181818182,3523.3,180.68,5284.95,5284.95,7046.6,4932.62,4227.96,conectividad_redes,./assets/img/catalog/conectividad_redes/ROUTPL1160.jpg,https://static.ctonline.mx/imagenes/ROUTPL1160/ROUTPL1160_400.jpg,./assets/img/placeholders/redes_placeholder.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
