sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl,vigencia_precios,clausula_precios
CARHPD2270,CARHPD2270,Tinta HP 72. Núm. Parte: C9370A. Color Negro. Rendimiento: 130 ml. Compatible con: HP Designjet,"Tinta HP 72. Núm. Parte: C9370A. Color Negro. Rendimiento: 130 ml. Compatible con: HP Designjet T1200, HP Designjet T620, HP Designjet T1120, HP Designjet T1120, HP Designjet T770, HP Designjet T2300, HP Designjet T770, HP DesignJet T790, HP DesignJet T795, HP Designjet T1300. Dimensiones: 202x40x129 mm. Peso .24kg.",CT,m,2041.5164835164835,2041.52,104.69,2449.82,2449.82,3266.43,2347.75,2449.82,consumibles,./assets/img/catalog/consumibles/CARHPD2270.jpg,https://static.ctonline.mx/imagenes/CARHPD2270/CARHPD2270_400.jpg,./assets/img/placeholders/toner_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CARHPD2230,CARHPD2230,Tinta HP 72. Núm. Parte: C9371A. Color Cian. Rendimiento: 130 ml. Compatible con: HP Designjet ,"Tinta HP 72. Núm. Parte: C9371A. Color Cian. Rendimiento: 130 ml. Compatible con: HP Designjet T1200, HP Designjet T620, HP Designjet T1120, HP Designjet T1120, HP Designjet T770, HP Designjet T2300, HP Designjet T770, HP DesignJet T790, HP DesignJet T795, HP Designjet T1300. Dimensiones: 202x40x129 mm. Peso .24kg.",CT,m,2041.5164835164835,2041.52,104.69,2449.82,2449.82,3266.43,2347.75,2449.82,consumibles,./assets/img/catalog/consumibles/CARHPD2230.jpg,https://static.ctonline.mx/imagenes/CARHPD2230/CARHPD2230_400.jpg,./assets/img/placeholders/toner_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CARHPD2240,CARHPD2240,Tinta HP 72. Núm. Parte: C9372A. Color Magenta. Rendimiento: 130 ml. Compatible con: HP Designj,"Tinta HP 72. Núm. Parte: C9372A. Color Magenta. Rendimiento: 130 ml. Compatible con: HP Designjet T1200, HP Designjet T620, HP Designjet T1120, HP Designjet T1120, HP Designjet T770, HP Designjet T2300, HP Designjet T770, HP DesignJet T790, HP DesignJet T795, HP Designjet T1300. Dimensiones: 202x40x129 mm. Peso .24kg.",CT,m,2041.5164835164835,2041.52,104.69,2449.82,2449.82,3266.43,2347.75,2449.82,consumibles,./assets/img/catalog/consumibles/CARHPD2240.jpg,https://static.ctonline.mx/imagenes/CARHPD2240/CARHPD2240_400.jpg,./assets/img/placeholders/toner_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CARHPD2250,CARHPD2250,Tinta HP 72. Núm. Parte: C9373A. Color Amarillo. Rendimiento: 130 ml. Compatible con: HP Design,"Tinta HP 72. Núm. Parte: C9373A. Color Amarillo. Rendimiento: 130 ml. Compatible con: HP Designjet T1200, HP Designjet T620, HP Designjet T1120, HP Designjet T1120, HP Designjet T770, HP Designjet T2300, HP Designjet T770, HP DesignJet T790, HP DesignJet T795, HP Designjet T1300. Dimensiones: 202x40x129 mm. Peso .24kg.",CT,m,2041.5164835164835,2041.52,104.69,2449.82,2449.82,3266.43,2347.75,2449.82,consumibles,./assets/img/catalog/consumibles/CARHPD2250.jpg,https://static.ctonline.mx/imagenes/CARHPD2250/CARHPD2250_400.jpg,./assets/img/placeholders/toner_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CARHPD2260,CARHPD2260,Tinta HP 72. Núm. Parte: C9374A. Color Gris. Rendimiento: 130 ml. Compatible con: HP Designjet ,"Tinta HP 72. Núm. Parte: C9374A. Color Gris. Rendimiento: 130 ml. Compatible con: HP Designjet T1200, HP Designjet T620, HP Designjet T1120, HP Designjet T1120, HP Designjet T770, HP Designjet T2300, HP Designjet T770, HP DesignJet T790, HP DesignJet T795, HP Designjet T1300. Dimensiones: 202x40x129 mm. Peso .24kg.",CT,m,2041.5164835164835,2041.52,104.69,2449.82,2449.82,3266.43,2347.75,2449.82,consumibles,./assets/img/catalog/consumibles/CARHPD2260.jpg,https://static.ctonline.mx/imagenes/CARHPD2260/CARHPD2260_400.jpg,./assets/img/placeholders/toner_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CARHPD2220,CARHPD2220,Tinta HP 72. Núm. Parte: C9403A. Color Negro Mate. Rendimiento: 130 ml. Compatible con: Compati,"Tinta HP 72. Núm. Parte: C9403A. Color Negro Mate. Rendimiento: 130 ml. Compatible con: Compatible con: HP Designjet T1200, HP Designjet T620, HP Designjet T1120, HP Designjet T1120, HP Designjet T770, HP Designjet T2300, HP Designjet T770, HP DesignJet T790, HP DesignJet T795, HP Designjet T1300. Dimensiones: 364  x 218 x 229mm. Peso: 5,28kg.",CT,m,2041.5164835164835,2041.52,104.69,2449.82,2449.82,3266.43,2347.75,2449.82,consumibles,./assets/img/catalog/consumibles/CARHPD2220.jpg,https://static.ctonline.mx/imagenes/CARHPD2220/CARHPD2220_400.jpg,./assets/img/placeholders/toner_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CARHPD2390,CARHPD2390,Cabezal de Impresión HP 72. Núm. Parte: C9380A. Color Gris y Negro Fotográfico. Compatible con:,"Cabezal de Impresión HP 72. Núm. Parte: C9380A. Color Gris y Negro Fotográfico. Compatible con: Impresora HP DesignJet T610, serie T620,  serie T770, serie T1100, serie T1200, DesignJet T1200 HD, DesignJet T2300 eMFP, DesignJet ePrinter de la serie T790, DesignJet ePrinter de la serie T1300. Dimensiones: 28 x 143 x 132 mm. Peso: 0,11 kg",CT,m,2219.978021978022,2219.98,113.85,2663.98,2663.98,3551.97,2552.98,2663.98,consumibles,./assets/img/catalog/consumibles/CARHPD2390.jpg,https://static.ctonline.mx/imagenes/CARHPD2390/CARHPD2390_400.jpg,./assets/img/placeholders/toner_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CARHPD2560,CARHPD2560,Cabezal de Impresión HP 72. Núm. Parte: C9383A. Color Magenta y Cian. Compatible con: Impresora,"Cabezal de Impresión HP 72. Núm. Parte: C9383A. Color Magenta y Cian. Compatible con: Impresora HP DesignJet T610, serie T620,  serie T770, serie T1100, serie T1200, DesignJet T1200 HD, DesignJet T2300 eMFP, DesignJet ePrinter de la serie T790, DesignJet ePrinter de la serie T1300. Dimensiones: 28 x 143 x 132 mm. Peso: 0,11 kg",CT,m,2219.978021978022,2219.98,113.85,2663.98,2663.98,3551.97,2552.98,2663.98,consumibles,./assets/img/catalog/consumibles/CARHPD2560.jpg,https://static.ctonline.mx/imagenes/CARHPD2560/CARHPD2560_400.jpg,./assets/img/placeholders/toner_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CARHPD2320,CARHPD2320,Cabezal de Impresión HP 72. Núm. Parte: C9384A. Color Negro Mate y Amarillo. Compatible con: Im,"Cabezal de Impresión HP 72. Núm. Parte: C9384A. Color Negro Mate y Amarillo. Compatible con: Impresora HP DesignJet T610, serie T620,  serie T770, serie T1100, serie T1200, DesignJet T1200 HD, DesignJet T2300 eMFP, DesignJet ePrinter de la serie T790, DesignJet ePrinter de la serie T1300. Dimensiones: 28 x 143 x 132 mm. Peso: 0,11 kg",CT,m,2219.978021978022,2219.98,113.85,2663.98,2663.98,3551.97,2552.98,2663.98,consumibles,./assets/img/catalog/consumibles/CARHPD2320.jpg,https://static.ctonline.mx/imagenes/CARHPD2320/CARHPD2320_400.jpg,./assets/img/placeholders/toner_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CARHPD2380,CARHPD2380,Tinta HP 70. Núm. Parte: C9390A. Color Cian Claro. Rendimiento: 130 ml. Compatible con: HP Desi,"Tinta HP 70. Núm. Parte: C9390A. Color Cian Claro. Rendimiento: 130 ml. Compatible con: HP Designjet Printers Z2100 24-in, Z2100 44-in, Z3100 24-in, Z3100 44-in, Z3100ps GP 24-in, Z3100ps GP 44-in, Z3200 24-in, Z3200 44-in, Z3200ps 24-in, Z3200ps 44-in. Dimensiones: 20 x 4 x 12.9 cm. Peso: 0.23 kg",CT,m,2115.153846153846,2115.15,108.47,2538.18,2538.18,3384.24,2432.42,2538.18,consumibles,./assets/img/catalog/consumibles/CARHPD2380.jpg,https://static.ctonline.mx/imagenes/CARHPD2380/CARHPD2380_400.jpg,./assets/img/placeholders/toner_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CARHPD2670,CARHPD2670,Tinta HP 70. Núm. Parte: C9448A. Color Negro Mate. Rendimiento 130 ml. Compatible con: HP Desig,"Tinta HP 70. Núm. Parte: C9448A. Color Negro Mate. Rendimiento 130 ml. Compatible con: HP Designjet Printers Z2100 24-in, Z2100 44-in, Z3100 24-in, Z3100 44-in, Z3100ps GP 24-in, Z3100ps GP 44-in, Z3200 24-in, Z3200 44-in, Z3200ps 24-in, Z3200ps 44-in. Dimensiones: 20 x 4 x 12.9 cm. Peso: 0.23 kg",CT,m,2115.153846153846,2115.15,108.47,2538.18,2538.18,3384.24,2432.42,2538.18,consumibles,./assets/img/catalog/consumibles/CARHPD2670.jpg,https://static.ctonline.mx/imagenes/CARHPD2670/CARHPD2670_400.jpg,./assets/img/placeholders/toner_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
