sku,nombre,descripcion_completa,categoria_ct,marca,costo_base,precio_mxn,precio_original,img,brand_logo,ficha_url,costo_proveedor_mxn,precio,precio_mayoreo_10pzs,margen_aplicado,img_local,img_cdn,categoria_clasificada,local_img
DDUKGT1290,Disco de Estado Solido SATA de 240GB SA400S37/240G,Disco de Estado Solido SATA de 240GB SA400S37/240G,COMPONENTES DE ENSAMBLE,DE,46.78,1231.43,1459.47,assets/img/catalog/DDUKGT1290.jpg,https://static.ctonline.mx/marcas/png/DE.png,https://ctonline.mx/buscar/productos?b=DDUKGT1290,912.17,1231.43,1094.6,35%,assets/img/catalog/DDUKGT1290.jpg,https://static.ctonline.mx/imagenes/DDUKGT1290/DDUKGT1290_400.jpg,discos_duros,assets/img/catalog/DDUKGT1290.jpg
DDUKGT1300,Disco de Estado Solido SATA de 480GB  SA400S37/480G,Disco de Estado Solido SATA de 480GB  SA400S37/480G,COMPONENTES DE ENSAMBLE,DE,67.33,1772.55,2100.8,assets/img/catalog/DDUKGT1300.jpg,https://static.ctonline.mx/marcas/png/DE.png,https://ctonline.mx/buscar/productos?b=DDUKGT1300,1313.0,1772.55,1575.6,35%,assets/img/catalog/DDUKGT1300.jpg,https://static.ctonline.mx/imagenes/DDUKGT1300/DDUKGT1300_400.jpg,discos_duros,assets/img/catalog/DDUKGT1300.jpg
DDUKGT2570,Disco de Estado Solido SATA de 480GB  SA400S37/480G,Disco de Estado Solido SATA de 480GB  SA400S37/480G,COMPONENTES DE ENSAMBLE,DE,67.33,1772.55,2100.8,https://static.ctonline.mx/imagenes/DDUKGT2570/DDUKGT2570_400.jpg,https://static.ctonline.mx/marcas/png/DE.png,https://ctonline.mx/buscar/productos?b=DDUKGT2570,1313.0,1772.55,1575.6,35%,assets/img/catalog/DDUKGT2570.jpg,https://static.ctonline.mx/imagenes/DDUKGT2570/DDUKGT2570_400.jpg,discos_duros,https://static.ctonline.mx/imagenes/DDUKGT2570/DDUKGT2570_400.jpg
DDUKGT1360,Disco de Estado Solido SATA de 960GB SA400S37/960G,Disco de Estado Solido SATA de 960GB SA400S37/960G,COMPONENTES DE ENSAMBLE,DE,131.67,3466.13,4108.0,assets/img/catalog/DDUKGT1360.jpg,https://static.ctonline.mx/marcas/png/DE.png,https://ctonline.mx/buscar/productos?b=DDUKGT1360,2567.5,3466.13,3081.0,35%,assets/img/catalog/DDUKGT1360.jpg,https://static.ctonline.mx/imagenes/DDUKGT1360/DDUKGT1360_400.jpg,discos_duros,assets/img/catalog/DDUKGT1360.jpg
DDUKGT2020,SSD KC600 2.5 KINGSTON 512GB SKC600MS/512G,SSD KC600 2.5 KINGSTON 512GB SKC600MS/512G,COMPONENTES DE ENSAMBLE,SSD,130.8,3443.31,4080.96,assets/img/catalog/DDUKGT2020.jpg,https://static.ctonline.mx/marcas/png/SSD.png,https://ctonline.mx/buscar/productos?b=DDUKGT2020,2550.6,3443.31,3060.72,35%,assets/img/catalog/DDUKGT2020.jpg,https://static.ctonline.mx/imagenes/DDUKGT2020/DDUKGT2020_400.jpg,discos_duros,assets/img/catalog/DDUKGT2020.jpg
DDUKGT2010,SSD KC600 2.5 KINGSTON 256GB SKC600MS/256G,SSD KC600 2.5 KINGSTON 256GB SKC600MS/256G,COMPONENTES DE ENSAMBLE,SSD,77.9,2050.72,2430.48,assets/img/catalog/DDUKGT2010.jpg,https://static.ctonline.mx/marcas/png/SSD.png,https://ctonline.mx/buscar/productos?b=DDUKGT2010,1519.05,2050.72,1822.86,35%,assets/img/catalog/DDUKGT2010.jpg,https://static.ctonline.mx/imagenes/DDUKGT2010/DDUKGT2010_400.jpg,discos_duros,assets/img/catalog/DDUKGT2010.jpg
DDUKGT1870,SSD KC600 2.5 KINGSTON 256GB SKC600/256G,SSD KC600 2.5 KINGSTON 256GB SKC600/256G,COMPONENTES DE ENSAMBLE,SSD,80.22,2111.85,2502.93,assets/img/catalog/DDUKGT1870.jpg,https://static.ctonline.mx/marcas/png/SSD.png,https://ctonline.mx/buscar/productos?b=DDUKGT1870,1564.33,2111.85,1877.2,35%,assets/img/catalog/DDUKGT1870.jpg,https://static.ctonline.mx/imagenes/DDUKGT1870/DDUKGT1870_400.jpg,discos_duros,assets/img/catalog/DDUKGT1870.jpg
DDUKGT1880,SSD KC600 2.5 KINGSTON 512GB SKC600/512G,SSD KC600 2.5 KINGSTON 512GB SKC600/512G,COMPONENTES DE ENSAMBLE,SSD,131.52,3462.33,4103.5,assets/img/catalog/DDUKGT1880.jpg,https://static.ctonline.mx/marcas/png/SSD.png,https://ctonline.mx/buscar/productos?b=DDUKGT1880,2564.69,3462.33,3077.63,35%,assets/img/catalog/DDUKGT1880.jpg,https://static.ctonline.mx/imagenes/DDUKGT1880/DDUKGT1880_400.jpg,discos_duros,assets/img/catalog/DDUKGT1880.jpg
DDUKGT1890,SSD KC600 2.5 KINGSTON 1024GB SKC600/1024G,SSD KC600 2.5 KINGSTON 1024GB SKC600/1024G,COMPONENTES DE ENSAMBLE,SSD,230.52,6068.51,7192.3,assets/img/catalog/DDUKGT1890.jpg,https://static.ctonline.mx/marcas/png/SSD.png,https://ctonline.mx/buscar/productos?b=DDUKGT1890,4495.19,6068.51,5394.23,35%,assets/img/catalog/DDUKGT1890.jpg,https://static.ctonline.mx/imagenes/DDUKGT1890/DDUKGT1890_400.jpg,discos_duros,assets/img/catalog/DDUKGT1890.jpg
DDUKGT2400,SSD KC600 2.5 KINGSTON 2048GB SKC600/2048G,SSD KC600 2.5 KINGSTON 2048GB SKC600/2048G,COMPONENTES DE ENSAMBLE,SSD,423.46,11147.46,13211.81,assets/img/catalog/DDUKGT2400.jpg,https://static.ctonline.mx/marcas/png/SSD.png,https://ctonline.mx/buscar/productos?b=DDUKGT2400,8257.38,11147.46,9908.86,35%,assets/img/catalog/DDUKGT2400.jpg,https://static.ctonline.mx/imagenes/DDUKGT2400/DDUKGT2400_400.jpg,discos_duros,assets/img/catalog/DDUKGT2400.jpg
