sku,nombre,descripcion_completa,categoria_ct,categoria_clasificada,marca,base_cost_usd,costo_proveedor_mxn,precio_original,original,precio,precio_mxn,precio_mayoreo_10pzs,precio_piso_minimo_20,img,local_img
LFDSMG1480,"E-Board Interactivo Samsung serie WAF, 65""; Modelo LH65WAFWLGCXZX; Tamaño diagonal 65”; Resolución 3840 x 2160 (4K-UHD); Tipo de panel IPS; Brillo (típico) 400 nit; Relación de contraste 1.200:1, Ángulo de visión 178/178 (H / V); Tiempo de respuesta 8ms; Tiempo de Operación hasta 12 horas al día los 7 días a la semana; Conectividad: Entrada HDMI (x2), Versión del HDMI 2.1, USB x4, Entrada de audio Stereo Mini Jack, Salida de audio Stereo Mini Jack, Con salida de video, Entrada RS232, Entrada RJ45, Con WiFi, Con Bluetooth; Montaje VESA 600 x 400; Dimensión 1482.1 x 897.5 x 88 (mm); Peso 36.2kg.","E-Board Interactivo Samsung serie WAF, 65""; Modelo LH65WAFWLGCXZX; Tamaño diagonal 65”; Resolución 3840 x 2160 (4K-UHD); Tipo de panel IPS; Brillo (típico) 400 nit; Relación de contraste 1.200:1, Ángulo de visión 178/178 (H / V); Tiempo de respuesta 8ms; Tiempo de Operación hasta 12 horas al día los 7 días a la semana; Conectividad: Entrada HDMI (x2), Versión del HDMI 2.1, USB x4, Entrada de audio Stereo Mini Jack, Salida de audio Stereo Mini Jack, Con salida de video, Entrada RS232, Entrada RJ45, Con WiFi, Con Bluetooth; Montaje VESA 600 x 400; Dimensión 1482.1 x 897.5 x 88 (mm); Peso 36.2kg.. Clave Oficial CT: LFDSMG1480. Marca: CT.",ELECTRONICA DE CONSUMO,electronica_consumo,CT,23586.02,459927.42,735883.87,735883.87,620902.02,620902.02,574909.27,551912.9,https://static.ctonline.mx/imagenes/LFDSMG1480/LFDSMG1480_400.jpg,assets/img/catalog/LFDSMG1480.jpg
LFDSMG1530,"Video Wall Samsung VHC-E; Modelo LH55VHCEBGBXZA; Tamaño diagonal 55”; Resolución 1920 x 1080 (Full HD); Tipo de panel IPS; Brillo (Máximo) 700 nit; Relación de contraste 1.000:1, Ángulo de visión 178/178 (H / V); Tiempo de respuesta 8ms; Tiempo de Operación hasta 24 horas al día los 7 días a la semana; Conectividad: Entrada HDMI (x2), Versión del HDMI 2.1, DisplayPort (x1), Entrada DVI, USB x1, Entrada de audio, Salida de audio miniconector estéreo, Entrada RS232, Salia de audio miniconectorestéreo, Entrada RJ45; Montaje VESA 600 x 400; Dimensión 1212 x 683.0 x 70,4 (mm); Peso 19.5kg.","Video Wall Samsung VHC-E; Modelo LH55VHCEBGBXZA; Tamaño diagonal 55”; Resolución 1920 x 1080 (Full HD); Tipo de panel IPS; Brillo (Máximo) 700 nit; Relación de contraste 1.000:1, Ángulo de visión 178/178 (H / V); Tiempo de respuesta 8ms; Tiempo de Operación hasta 24 horas al día los 7 días a la semana; Conectividad: Entrada HDMI (x2), Versión del HDMI 2.1, DisplayPort (x1), Entrada DVI, USB x1, Entrada de audio, Salida de audio miniconector estéreo, Entrada RS232, Salia de audio miniconectorestéreo, Entrada RJ45; Montaje VESA 600 x 400; Dimensión 1212 x 683.0 x 70,4 (mm); Peso 19.5kg.. Clave Oficial CT: LFDSMG1530. Marca: CT.",ELECTRONICA DE CONSUMO,electronica_consumo,CT,32559.14,634903.23,1015845.16,1015845.16,857119.35,857119.35,793629.03,761883.87,https://static.ctonline.mx/imagenes/LFDSMG1530/LFDSMG1530_400.jpg,assets/img/catalog/LFDSMG1530.jpg
LFDSMG1460,"E-Board Interactivo Samsung serie WAF, 65""; Modelo LH65WAFWLGCXZA; Tamaño diagonal 65”; Resolución 3840 x 2160 (4K-UHD); Brillo (típico) 400 nit; Relación de contraste 1.200:1, Ángulo de visión 178/178 (H / V); Tiempo de respuesta 8ms; Tiempo de Operación hasta 12 horas al día los 7 días a la semana; Conectividad: Entrada HDMI (x2), Versión del HDMI 2.1, USB x4, Entrada de audio Stereo Mini Jack, Salida de audio Stereo Mini Jack, Con salida de video, Entrada RS232, Entrada RJ45, Con WiFi, Con Bluetooth; Montaje VESA 600 x 400; Dimensión 1482.1 x 897.5 x 88 (mm); Peso 36.2kg.","E-Board Interactivo Samsung serie WAF, 65""; Modelo LH65WAFWLGCXZA; Tamaño diagonal 65”; Resolución 3840 x 2160 (4K-UHD); Brillo (típico) 400 nit; Relación de contraste 1.200:1, Ángulo de visión 178/178 (H / V); Tiempo de respuesta 8ms; Tiempo de Operación hasta 12 horas al día los 7 días a la semana; Conectividad: Entrada HDMI (x2), Versión del HDMI 2.1, USB x4, Entrada de audio Stereo Mini Jack, Salida de audio Stereo Mini Jack, Con salida de video, Entrada RS232, Entrada RJ45, Con WiFi, Con Bluetooth; Montaje VESA 600 x 400; Dimensión 1482.1 x 897.5 x 88 (mm); Peso 36.2kg.. Clave Oficial CT: LFDSMG1460. Marca: CT.",ELECTRONICA DE CONSUMO,electronica_consumo,CT,24784.95,483306.45,773290.32,773290.32,652463.71,652463.71,604133.06,579967.74,https://static.ctonline.mx/imagenes/LFDSMG1460/LFDSMG1460_400.jpg,assets/img/catalog/LFDSMG1460.jpg
LFDSMG1470,"E-Board Interactivo Samsung serie WAF, 75""; Modelo LH75WAFWLGCXZX; Tamaño diagonal 75”; Resolución 3840 x 2160 (4K-UHD); Tipo de panel IPS; Brillo (típico) 400 nit; Relación de contraste 1.200:1, Ángulo de visión 178/178 (H / V); Tiempo de respuesta 8ms; Tiempo de Operación hasta 12 horas al día los 7 días a la semana; Conectividad: Entrada HDMI (x2), Versión del HDMI 2.1, USB x4, Entrada de audio Stereo Mini Jack, Salida de audio Stereo Mini Jack, Con salida de video, Entrada RS232, Entrada RJ45, Con WiFi, Con Bluetooth; Montaje VESA 800 x 400; Dimensión 1716.5 x 1031.9 x 87.7 (mm); Peso 49.2kg.","E-Board Interactivo Samsung serie WAF, 75""; Modelo LH75WAFWLGCXZX; Tamaño diagonal 75”; Resolución 3840 x 2160 (4K-UHD); Tipo de panel IPS; Brillo (típico) 400 nit; Relación de contraste 1.200:1, Ángulo de visión 178/178 (H / V); Tiempo de respuesta 8ms; Tiempo de Operación hasta 12 horas al día los 7 días a la semana; Conectividad: Entrada HDMI (x2), Versión del HDMI 2.1, USB x4, Entrada de audio Stereo Mini Jack, Salida de audio Stereo Mini Jack, Con salida de video, Entrada RS232, Entrada RJ45, Con WiFi, Con Bluetooth; Montaje VESA 800 x 400; Dimensión 1716.5 x 1031.9 x 87.7 (mm); Peso 49.2kg.. Clave Oficial CT: LFDSMG1470. Marca: CT.",ELECTRONICA DE CONSUMO,electronica_consumo,CT,25919.35,505427.42,808683.87,808683.87,682327.02,682327.02,631784.27,606512.9,https://static.ctonline.mx/imagenes/LFDSMG1470/LFDSMG1470_400.jpg,assets/img/catalog/LFDSMG1470.jpg
LFDSMG1490,"E-Board Interactivo Samsung serie WAF, 86""; Modelo LH86WAFWLGCXZX; Tamaño diagonal 86”; Resolución 3840 x 2160 (4K-UHD); Tipo de panel IPS; Brillo (típico) 400 nit; Relación de contraste 1.200:1, Ángulo de visión 178/178 (H / V); Tiempo de respuesta 8ms; Tiempo de Operación hasta 12 horas al día los 7 días a la semana; Conectividad: Entrada HDMI (x2), Versión del HDMI 2.1, USB x4, Entrada de audio Stereo Mini Jack, Salida de audio Stereo Mini Jack, Con salida de video, Entrada RS232, Entrada RJ45, Con WiFi, Con Bluetooth; Montaje VESA 800 x 400; Dimensión 1961.8 x 117.0 x 87.7 (mm); Peso 62.5kg.","E-Board Interactivo Samsung serie WAF, 86""; Modelo LH86WAFWLGCXZX; Tamaño diagonal 86”; Resolución 3840 x 2160 (4K-UHD); Tipo de panel IPS; Brillo (típico) 400 nit; Relación de contraste 1.200:1, Ángulo de visión 178/178 (H / V); Tiempo de respuesta 8ms; Tiempo de Operación hasta 12 horas al día los 7 días a la semana; Conectividad: Entrada HDMI (x2), Versión del HDMI 2.1, USB x4, Entrada de audio Stereo Mini Jack, Salida de audio Stereo Mini Jack, Con salida de video, Entrada RS232, Entrada RJ45, Con WiFi, Con Bluetooth; Montaje VESA 800 x 400; Dimensión 1961.8 x 117.0 x 87.7 (mm); Peso 62.5kg.. Clave Oficial CT: LFDSMG1490. Marca: CT.",ELECTRONICA DE CONSUMO,electronica_consumo,CT,38698.92,754629.03,1207406.45,1207406.45,1018749.19,1018749.19,943286.29,905554.84,https://static.ctonline.mx/imagenes/LFDSMG1490/LFDSMG1490_400.jpg,assets/img/catalog/LFDSMG1490.jpg
ACCSMG720,"Soporte Portátil con Ruedas para el Samsung STN-WM55RXZA FLiP 2.0, solo es compatible con el modelo LH55WMRWBGCXZA Clave CT LFDSMG820, Dimensión 835 x 1631.1 x 850.6 mm (Ancho, Alto x Profundidad), Peso 34.5Kg.; Color Gris claro; Ocupa Montaje VESA 400 x 400mm. para pared.","Soporte Portátil con Ruedas para el Samsung STN-WM55RXZA FLiP 2.0, solo es compatible con el modelo LH55WMRWBGCXZA Clave CT LFDSMG820, Dimensión 835 x 1631.1 x 850.6 mm (Ancho, Alto x Profundidad), Peso 34.5Kg.; Color Gris claro; Ocupa Montaje VESA 400 x 400mm. para pared.. Clave Oficial CT: ACCSMG720. Marca: CT.",ELECTRONICA DE CONSUMO,electronica_consumo,CT,6111.11,119166.67,190666.67,190666.67,160875.0,160875.0,148958.33,143000.0,https://static.ctonline.mx/imagenes/ACCSMG720/ACCSMG720_400.jpg,assets/img/catalog/ACCSMG720.jpg
AUDSMG330,"Barra de sonido Samsung 300 W color Negro, Mod. HW-S60D/ZX  Potencia total: 31 W, Número de canales Número de altavoces: 7, Color: Black, Altavoz central: Yes, Altavoz Side-firing: Yes
Active Voice Amplifier: Sí,SpaceFit Sound: Si, Dolby: ATMOS Music,ATMOS,Dolby 5.1ch,Dolby Digital Plus, Dolby True HD; Voice Enhance Mode: Yes Salidas HDMI (x1), HDMI ARC; Si; Entradas ópticas: 1; Bluetooth: SI; Wi-Fi: SI; One Remote Control: Si; Versión de Bluetooth: 5.2 ; Aplicación SmartThings, Q-Symphony, Tap Sound, Chromecast, Spotify Connect, AirPlay, Wireless Dolby ATMOS, Works with Google, Alexa, Dimensiones del paquete: 908.0 x 125.0 x 158.0 mm; Peso del paquete 4.1 kg","Barra de sonido Samsung 300 W color Negro, Mod. HW-S60D/ZX  Potencia total: 31 W, Número de canales Número de altavoces: 7, Color: Black, Altavoz central: Yes, Altavoz Side-firing: Yes
Active Voice Amplifier: Sí,SpaceFit Sound: Si, Dolby: ATMOS Music,ATMOS,Dolby 5.1ch,Dolby Digital Plus, Dolby True HD; Voice Enhance Mode: Yes Salidas HDMI (x1), HDMI ARC; Si; Entradas ópticas: 1; Bluetooth: SI; Wi-Fi: SI; One Remote Control: Si; Versión de Bluetooth: 5.2 ; Aplicación SmartThings, Q-Symphony, Tap Sound, Chromecast, Spotify Connect, AirPlay, Wireless Dolby ATMOS, Works with Google, Alexa, Dimensiones del paquete: 908.0 x 125.0 x 158.0 mm; Peso del paquete 4.1 kg. Clave Oficial CT: AUDSMG330. Marca: CT.",ELECTRONICA DE CONSUMO,electronica_consumo,CT,3944.44,76916.67,123066.67,123066.67,103837.5,103837.5,96145.83,92300.0,https://static.ctonline.mx/imagenes/AUDSMG330/AUDSMG330_400.jpg,assets/img/catalog/AUDSMG330.jpg
ACCSMG920,"Torre de sonido SamsungT40 300 W color Negro, Mod. MX-T40/ZX  Potencia total: 300 W, Tweeter Driver Size:2.25"" / 8 ohm Mid-Woofer Driver Size: 4.0"" / 4 ohm, Modos de sonido Standard (mono), Party, Hiphop, Edm, Rock, Latin, House, Reggae, Mega Contraste, Reproducción de audio en USB: Sí, Bluetooth, Códec Bluetooth: aptX Multiconexión Bluetooth: Sí, Puertos USB Sí (x1), Entrada de audio: Sí (3.5 mm), Wireless Group Play: Sí, Encendido mediante Bluetooth: Sí, Bass Booster: Sí, Samsung Giga Partry Audio App: Si Conectividad: HDMI (x3), USB-A (X2), Ethernet (LAN), Salida de audio digital (óptica) (x1), RF In (Terrestrial 1/ Cable input x1), Wi-Fi (Wi-Fi 5), Dimensiones netas del altavoz: 291.5 x 530.5 x 268 mm; Peso del paquete 6.77 kg,","Torre de sonido SamsungT40 300 W color Negro, Mod. MX-T40/ZX  Potencia total: 300 W, Tweeter Driver Size:2.25"" / 8 ohm Mid-Woofer Driver Size: 4.0"" / 4 ohm, Modos de sonido Standard (mono), Party, Hiphop, Edm, Rock, Latin, House, Reggae, Mega Contraste, Reproducción de audio en USB: Sí, Bluetooth, Códec Bluetooth: aptX Multiconexión Bluetooth: Sí, Puertos USB Sí (x1), Entrada de audio: Sí (3.5 mm), Wireless Group Play: Sí, Encendido mediante Bluetooth: Sí, Bass Booster: Sí, Samsung Giga Partry Audio App: Si Conectividad: HDMI (x3), USB-A (X2), Ethernet (LAN), Salida de audio digital (óptica) (x1), RF In (Terrestrial 1/ Cable input x1), Wi-Fi (Wi-Fi 5), Dimensiones netas del altavoz: 291.5 x 530.5 x 268 mm; Peso del paquete 6.77 kg,. Clave Oficial CT: ACCSMG920. Marca: CT.",ELECTRONICA DE CONSUMO,electronica_consumo,CT,3155.56,61533.33,98453.33,98453.33,83070.0,83070.0,76916.67,73840.0,https://static.ctonline.mx/imagenes/ACCSMG920/ACCSMG920_400.jpg,assets/img/catalog/ACCSMG920.jpg
ACCSMG930,"Barra de Sonido Samsung 2.0 Ch, Woofer integrado, HW-C400, Mod.HW-C400/ZX  Número de canales 2.0, Consumo de energía en operación (principal), 20W, Número de altavoces 4, Dolby Dolby 2chVoice Enhance Mode: Si, Modo Noche: Si, Modos de sonido: Surround Sound Expansión, Standard,  Dimensiones brutas del paquete: 928.0 x 120.0 x 155.0 mm; Peso del paquete 2.8 kg,","Barra de Sonido Samsung 2.0 Ch, Woofer integrado, HW-C400, Mod.HW-C400/ZX  Número de canales 2.0, Consumo de energía en operación (principal), 20W, Número de altavoces 4, Dolby Dolby 2chVoice Enhance Mode: Si, Modo Noche: Si, Modos de sonido: Surround Sound Expansión, Standard,  Dimensiones brutas del paquete: 928.0 x 120.0 x 155.0 mm; Peso del paquete 2.8 kg,. Clave Oficial CT: ACCSMG930. Marca: CT.",ELECTRONICA DE CONSUMO,electronica_consumo,CT,1577.78,30766.67,49226.67,49226.67,41535.0,41535.0,38458.33,36920.0,https://static.ctonline.mx/imagenes/ACCSMG930/ACCSMG930_400.jpg,assets/img/catalog/ACCSMG930.jpg
LICLGE030,"Licencia Marca LG LWSMB.AL SUPERSIGN, Configura fácilmente un video wall de forma irregular, Permite la creación y edición de contenidos con varios diseños, Crea contenidos de forma fácil e intuitiva. Escenario de uso, Para las industrias que requieren contenido visual de alta calidad; funcionan con sistema operativo, Windows 7, 8.1 y en versión empresarial Windows Server 2012 R2.","Licencia Marca LG LWSMB.AL SUPERSIGN, Configura fácilmente un video wall de forma irregular, Permite la creación y edición de contenidos con varios diseños, Crea contenidos de forma fácil e intuitiva. Escenario de uso, Para las industrias que requieren contenido visual de alta calidad; funcionan con sistema operativo, Windows 7, 8.1 y en versión empresarial Windows Server 2012 R2.. Clave Oficial CT: LICLGE030. Marca: CT.",ELECTRONICA DE CONSUMO,electronica_consumo,CT,2234.04,43563.83,69702.13,69702.13,58811.17,58811.17,54454.79,52276.6,https://static.ctonline.mx/imagenes/LICLGE030/LICLGE030_400.jpg,assets/img/catalog/LICLGE030.jpg
