sku,nombre,descripcion_completa,categoria_ct,categoria_clasificada,marca,base_cost_usd,costo_proveedor_mxn,precio_original,original,precio,precio_mxn,precio_mayoreo_10pzs,precio_piso_minimo_20,img,local_img
VENDCO530,"Disipador DeepCool AK620 DIGITAL PRO WH, 120 mm, 1750 RPM, Blanco, R-AK620-WHAPMN-G","Disipador DeepCool AK620 DIGITAL PRO WH, 120 mm, 1750 RPM, Blanco, R-AK620-WHAPMN-G. Clave Oficial CT: VENDCO530. Marca: CT.",COMPONENTES DE ENSAMBLE,enfriamiento,CT,54.98,1072.07,1715.31,1715.31,1447.29,1447.29,1340.08,1286.48,https://static.ctonline.mx/imagenes/VENDCO530/VENDCO530_400.jpg,assets/img/catalog/VENDCO530.jpg
VENDCO470,"Enfriamiento Liquido DeepCool LD240 V2, 2X120 mm, 2400 RPM, Blanco, R-LD240-WHDMMN-G-1","Enfriamiento Liquido DeepCool LD240 V2, 2X120 mm, 2400 RPM, Blanco, R-LD240-WHDMMN-G-1. Clave Oficial CT: VENDCO470. Marca: CT.",COMPONENTES DE ENSAMBLE,enfriamiento,CT,74.4,1450.8,2321.28,2321.28,1958.58,1958.58,1813.5,1740.96,https://static.ctonline.mx/imagenes/VENDCO470/VENDCO470_400.jpg,assets/img/catalog/VENDCO470.jpg
VENDCO450,"Enfriamiento Liquido DeepCool LD240 V2, 2X120 mm, 2400 RPM, Negro, R-LD240-BKMSN-G-1","Enfriamiento Liquido DeepCool LD240 V2, 2X120 mm, 2400 RPM, Negro, R-LD240-BKMSN-G-1. Clave Oficial CT: VENDCO450. Marca: CT.",COMPONENTES DE ENSAMBLE,enfriamiento,CT,68.88,1343.12,2148.99,2148.99,1813.21,1813.21,1678.9,1611.74,https://static.ctonline.mx/imagenes/VENDCO450/VENDCO450_400.jpg,assets/img/catalog/VENDCO450.jpg
VENDCO460,"Enfriamiento Liquido DeepCool LD360 ARGB, 3X120 mm, 2400 RPM, Blanco, R-LD360-WHDMMN-G-1","Enfriamiento Liquido DeepCool LD360 ARGB, 3X120 mm, 2400 RPM, Blanco, R-LD360-WHDMMN-G-1. Clave Oficial CT: VENDCO460. Marca: CT.",COMPONENTES DE ENSAMBLE,enfriamiento,CT,91.56,1785.33,2856.53,2856.53,2410.2,2410.2,2231.67,2142.4,https://static.ctonline.mx/imagenes/VENDCO460/VENDCO460_400.jpg,assets/img/catalog/VENDCO460.jpg
VENDCO480,"Enfriamiento Liquido DeepCool LT360 ARGB, 3X120 mm, 2400 RPM, Negro, R-LT360-BKAMNC-G-1","Enfriamiento Liquido DeepCool LT360 ARGB, 3X120 mm, 2400 RPM, Negro, R-LT360-BKAMNC-G-1. Clave Oficial CT: VENDCO480. Marca: CT.",COMPONENTES DE ENSAMBLE,enfriamiento,CT,91.58,1785.77,2857.23,2857.23,2410.79,2410.79,2232.21,2142.92,https://static.ctonline.mx/imagenes/VENDCO480/VENDCO480_400.jpg,assets/img/catalog/VENDCO480.jpg
VENDCO290,"Enfriamiento Liquido DeepCool LP240 ARGB , 2 x 120mm, 600-2400 RPM Negro R-LP240-BKMSNC-G-1","Enfriamiento Liquido DeepCool LP240 ARGB , 2 x 120mm, 600-2400 RPM Negro R-LP240-BKMSNC-G-1. Clave Oficial CT: VENDCO290. Marca: CT.",COMPONENTES DE ENSAMBLE,enfriamiento,CT,77.88,1518.62,2429.79,2429.79,2050.13,2050.13,1898.27,1822.34,https://static.ctonline.mx/imagenes/VENDCO290/VENDCO290_400.jpg,assets/img/catalog/VENDCO290.jpg
VENDCO300,"Enfriamiento Liquido DeepCool LP360 ARGB 3x120mm, 600-2400 RPM Negro R-LP360-BKMSNC-G-1","Enfriamiento Liquido DeepCool LP360 ARGB 3x120mm, 600-2400 RPM Negro R-LP360-BKMSNC-G-1. Clave Oficial CT: VENDCO300. Marca: CT.",COMPONENTES DE ENSAMBLE,enfriamiento,CT,91.56,1785.33,2856.53,2856.53,2410.2,2410.2,2231.67,2142.4,https://static.ctonline.mx/imagenes/VENDCO300/VENDCO300_400.jpg,assets/img/catalog/VENDCO300.jpg
VENDCO310,"Enfriamiento Liquido DeepCool LQ240 ARGB , 600-2400 RPM Negro R-LQ240-BKLSMW-G-1","Enfriamiento Liquido DeepCool LQ240 ARGB , 600-2400 RPM Negro R-LQ240-BKLSMW-G-1. Clave Oficial CT: VENDCO310. Marca: CT.",COMPONENTES DE ENSAMBLE,enfriamiento,CT,83.54,1629.12,2606.59,2606.59,2199.31,2199.31,2036.4,1954.94,https://static.ctonline.mx/imagenes/VENDCO310/VENDCO310_400.jpg,assets/img/catalog/VENDCO310.jpg
VENDCO380,"Enfriamiento Liquido DeepCool LT240 ARGB , 2 x 120mm, 600-2400 RPM Blanco R-LT240-WHAMNC-G-1","Enfriamiento Liquido DeepCool LT240 ARGB , 2 x 120mm, 600-2400 RPM Blanco R-LT240-WHAMNC-G-1. Clave Oficial CT: VENDCO380. Marca: CT.",COMPONENTES DE ENSAMBLE,enfriamiento,CT,77.83,1517.75,2428.4,2428.4,2048.96,2048.96,1897.19,1821.3,https://static.ctonline.mx/imagenes/VENDCO380/VENDCO380_400.jpg,assets/img/catalog/VENDCO380.jpg
VENDCO370,"Enfriamiento Liquido DeepCool LT240 ARGB , 2 x 120mm, 600-2400 RPM Negro R-LT240-BKAMNC-G-1","Enfriamiento Liquido DeepCool LT240 ARGB , 2 x 120mm, 600-2400 RPM Negro R-LT240-BKAMNC-G-1. Clave Oficial CT: VENDCO370. Marca: CT.",COMPONENTES DE ENSAMBLE,enfriamiento,CT,77.11,1503.67,2405.87,2405.87,2029.95,2029.95,1879.58,1804.4,https://static.ctonline.mx/imagenes/VENDCO370/VENDCO370_400.jpg,assets/img/catalog/VENDCO370.jpg
