sku,nombre,descripcion_completa,categoria_ct,categoria_clasificada,marca,base_cost_usd,costo_proveedor_mxn,precio_original,original,precio,precio_mxn,precio_mayoreo_10pzs,precio_piso_minimo_20,img_rel,img,cdn_url
AIOHPI1410,"Computadora de escritorio All in One HP ProOne 240 G10 23.8"" (CS4D4LT#ABM). Procesador Core Ultra 5 125U , Memoria RAM 8GB 5600MT/s DDR5 (1X8GB), Almacenamiento SSD 512 GB, Windows 11 Home.","Computadora de escritorio All in One HP ProOne 240 G10 23.8"" (CS4D4LT#ABM). Procesador Core Ultra 5 125U , Memoria RAM 8GB 5600MT/s DDR5 (1X8GB), Almacenamiento SSD 512 GB, Windows 11 Home.. Clave Oficial CT: AIOHPI1410. Marca: CT.",EQUIPOS DE MARCA,equipos_de_marca,CT,13723.4,267606.38,428170.21,428170.21,361268.62,361268.62,334507.98,321127.66,assets/img/catalog/equipos_de_marca/AIOHPI1410.jpg,assets/img/catalog/equipos_de_marca/AIOHPI1410.jpg,https://static.ctonline.mx/imagenes/AIOHPI1410/AIOHPI1410_400.jpg
AIOHPI1350,"Computadora de escritorio All in One HP ProOne 240 G10 23.8"" (C27NZLT#ABM). Procesador Core Ultra 5 125U (0.70 GHz, up to 4.30 GHz, 12 cores / 14 threads - 14th Generation) , Memoria RAM 8GB 5600MT/s DDR5 (1X8GB), Almacenamiento SSD 512 GB, Windows 11 Home.","Computadora de escritorio All in One HP ProOne 240 G10 23.8"" (C27NZLT#ABM). Procesador Core Ultra 5 125U (0.70 GHz, up to 4.30 GHz, 12 cores / 14 threads - 14th Generation) , Memoria RAM 8GB 5600MT/s DDR5 (1X8GB), Almacenamiento SSD 512 GB, Windows 11 Home.. Clave Oficial CT: AIOHPI1350. Marca: CT.",EQUIPOS DE MARCA,equipos_de_marca,CT,15106.38,294574.47,471319.15,471319.15,397675.53,397675.53,368218.09,353489.36,assets/img/catalog/equipos_de_marca/AIOHPI1350.jpg,assets/img/catalog/equipos_de_marca/AIOHPI1350.jpg,https://static.ctonline.mx/imagenes/AIOHPI1350/AIOHPI1350_400.jpg
AIOHPI1420,"Computadora de escritorio All in One HP ProStudio 2 All-in-One G2a 23.8'' (D44W9LT#ABM). Procesador AMD Ryzen 5 220 (aumento máximo del reloj de hasta 4,9 GHz, 16 MB L3 de memoria caché , 6 núcleos y 12 subprocesos), Memoria RAM 16GB DDR5 -5600MT/s (1X16GB), Almacenamiento SSD 512 GB PCIe® NVMe™ M.2, 23.8"" diagonal, FHD (1920 x 1080), Windows 11 Home.","Computadora de escritorio All in One HP ProStudio 2 All-in-One G2a 23.8'' (D44W9LT#ABM). Procesador AMD Ryzen 5 220 (aumento máximo del reloj de hasta 4,9 GHz, 16 MB L3 de memoria caché , 6 núcleos y 12 subprocesos), Memoria RAM 16GB DDR5 -5600MT/s (1X16GB), Almacenamiento SSD 512 GB PCIe® NVMe™ M.2, 23.8"" diagonal, FHD (1920 x 1080), Windows 11 Home.. Clave Oficial CT: AIOHPI1420. Marca: CT.",EQUIPOS DE MARCA,equipos_de_marca,CT,15472.63,301716.32,482746.11,482746.11,407317.03,407317.03,377145.39,362059.58,assets/img/catalog/equipos_de_marca/AIOHPI1420.jpg,assets/img/catalog/equipos_de_marca/AIOHPI1420.jpg,https://static.ctonline.mx/imagenes/AIOHPI1420/AIOHPI1420_400.jpg
AIOHPI1460,"Computadora de escritorio All in One HP ProOne 240 G10 23.8"" (D71Y0LT#ABM). Procesador Intel Core Ultra 5 125U , Memoria RAM 8GB 5600MT/s DDR5 (1X8GB), Almacenamiento SSD 512 GB, Windows 11 Home.","Computadora de escritorio All in One HP ProOne 240 G10 23.8"" (D71Y0LT#ABM). Procesador Intel Core Ultra 5 125U , Memoria RAM 8GB 5600MT/s DDR5 (1X8GB), Almacenamiento SSD 512 GB, Windows 11 Home.. Clave Oficial CT: AIOHPI1460. Marca: CT.",EQUIPOS DE MARCA,equipos_de_marca,CT,16789.47,327394.74,523831.58,523831.58,441982.89,441982.89,409243.42,392873.68,assets/img/catalog/equipos_de_marca/AIOHPI1460.jpg,assets/img/catalog/equipos_de_marca/AIOHPI1460.jpg,https://static.ctonline.mx/imagenes/AIOHPI1460/AIOHPI1460_400.jpg
AIOHPI1440,"Computadora de escritorio All in One HP ProStudio 2 All-in-One G2a Next Gen AI 23.8'' (D31RJLT#ABM). Procesador AMD Ryzen AI 7 445 (2.00 GHz, up to 4.60 GHz, 6 cores / 12 threads), Memoria 16GB DDR5-5600MT/s (1X16GB) SODIMM, Almacenamiento SSD 512 GB PCIe® NVMe™ M.2, 23.8"" diagonal, FHD (1920 x 1080), Windows 11 Pro 64-bit.","Computadora de escritorio All in One HP ProStudio 2 All-in-One G2a Next Gen AI 23.8'' (D31RJLT#ABM). Procesador AMD Ryzen AI 7 445 (2.00 GHz, up to 4.60 GHz, 6 cores / 12 threads), Memoria 16GB DDR5-5600MT/s (1X16GB) SODIMM, Almacenamiento SSD 512 GB PCIe® NVMe™ M.2, 23.8"" diagonal, FHD (1920 x 1080), Windows 11 Pro 64-bit.. Clave Oficial CT: AIOHPI1440. Marca: CT.",EQUIPOS DE MARCA,equipos_de_marca,CT,19041.49,371309.04,594094.47,594094.47,501267.21,501267.21,464136.3,445570.85,assets/img/catalog/equipos_de_marca/AIOHPI1440.jpg,assets/img/catalog/equipos_de_marca/AIOHPI1440.jpg,https://static.ctonline.mx/imagenes/AIOHPI1440/AIOHPI1440_400.jpg
AIOLEN1760,"All In One IdeaCentre AIO 24IRH9, F0HN00FQLD, Intel® Core™ i5-13420H, 8C (4P + 4E) / 12T, P-core up to 4.6GHz, E-core up to 3.4GHz, 12MB,  RAM 1x 8GB SO-DIMM DDR5-5200, Almacenamiento 512GB SSD M.2 2280, Tamaño  23.8"" FHD (1920x1080) IPS Anti-glare 250nits, 100Hz, 99% sRGB, hardware low blue light, 3-side borderless, TOUCH, PCIe® 4.0x4 NVMe®, 2x USB 2.0, 1x HDMI-out 1.4, 1x Ethernet (RJ-45) Color nube gris, Windows 11 Home, Incluye teclado y mouse, Garantía de 1 año en centro de servicio.","All In One IdeaCentre AIO 24IRH9, F0HN00FQLD, Intel® Core™ i5-13420H, 8C (4P + 4E) / 12T, P-core up to 4.6GHz, E-core up to 3.4GHz, 12MB,  RAM 1x 8GB SO-DIMM DDR5-5200, Almacenamiento 512GB SSD M.2 2280, Tamaño  23.8"" FHD (1920x1080) IPS Anti-glare 250nits, 100Hz, 99% sRGB, hardware low blue light, 3-side borderless, TOUCH, PCIe® 4.0x4 NVMe®, 2x USB 2.0, 1x HDMI-out 1.4, 1x Ethernet (RJ-45) Color nube gris, Windows 11 Home, Incluye teclado y mouse, Garantía de 1 año en centro de servicio.. Clave Oficial CT: AIOLEN1760. Marca: CT.",EQUIPOS DE MARCA,equipos_de_marca,CT,16968.42,330884.21,529414.74,529414.74,446693.68,446693.68,413605.26,397061.05,assets/img/catalog/equipos_de_marca/AIOLEN1760.jpg,assets/img/catalog/equipos_de_marca/AIOLEN1760.jpg,https://static.ctonline.mx/imagenes/AIOLEN1760/AIOLEN1760_400.jpg
AIOLEN1800,"IdeaCentre Lenovo A100, F0J6002PLD , Intel Core i3-N305 (8C / 8T, Max Turbo up to 3.8GHz, 6MB Intel Smart Cache), RAM 1x 8GB SODIMM DDR4-3200, almacenamiento 512GB SSD M.2 PCIe NVMe, pantalla 23.8"" FHD (1920x1080) IPS Anti-glare 250nits, 99% sRGB, Sistema operativo Windows 11 Home, garantía 1 año con fabricante, incluye teclado y mouse.","IdeaCentre Lenovo A100, F0J6002PLD , Intel Core i3-N305 (8C / 8T, Max Turbo up to 3.8GHz, 6MB Intel Smart Cache), RAM 1x 8GB SODIMM DDR4-3200, almacenamiento 512GB SSD M.2 PCIe NVMe, pantalla 23.8"" FHD (1920x1080) IPS Anti-glare 250nits, 99% sRGB, Sistema operativo Windows 11 Home, garantía 1 año con fabricante, incluye teclado y mouse.. Clave Oficial CT: AIOLEN1800. Marca: CT.",EQUIPOS DE MARCA,equipos_de_marca,CT,10797.89,210558.95,336894.32,336894.32,284254.58,284254.58,263198.68,252670.74,assets/img/catalog/equipos_de_marca/AIOLEN1800.jpg,assets/img/catalog/equipos_de_marca/AIOLEN1800.jpg,https://static.ctonline.mx/imagenes/AIOLEN1800/AIOLEN1800_400.jpg
AIOLEN1810,"IdeaCentre AIO 27IRH9, F0HM00PRLD, Intel Core i7-13620H, 10C (6P + 4E) / 16T, P-core up to 4.9GHz, E-core up to 3.6GHz, 24MB Intel Smart Cache, RAM 1x 8GB SODIMM DDR5-5200, almacenamiento 512GB SSD M.2 2280 PCIe 4.0x4 NVMe, pantalla 27"" FHD (1920x1080) IPS 300nits Anti-glare, 99% sRGB, 3-side borderless, hardware low blue light, Touch, Sistema operativo Windows 11 Home, garantía 1 año con fabricante, incluye teclado y mouse.","IdeaCentre AIO 27IRH9, F0HM00PRLD, Intel Core i7-13620H, 10C (6P + 4E) / 16T, P-core up to 4.9GHz, E-core up to 3.6GHz, 24MB Intel Smart Cache, RAM 1x 8GB SODIMM DDR5-5200, almacenamiento 512GB SSD M.2 2280 PCIe 4.0x4 NVMe, pantalla 27"" FHD (1920x1080) IPS 300nits Anti-glare, 99% sRGB, 3-side borderless, hardware low blue light, Touch, Sistema operativo Windows 11 Home, garantía 1 año con fabricante, incluye teclado y mouse.. Clave Oficial CT: AIOLEN1810. Marca: CT.",EQUIPOS DE MARCA,equipos_de_marca,CT,17354.74,338417.37,541467.79,541467.79,456863.45,456863.45,423021.71,406100.84,assets/img/catalog/equipos_de_marca/AIOLEN1810.jpg,assets/img/catalog/equipos_de_marca/AIOLEN1810.jpg,https://static.ctonline.mx/imagenes/AIOLEN1810/AIOLEN1810_400.jpg
AIOLEN1840,"ThinkCentre neo 55a 24 G6, 13FA003VLS. AMD Ryzen 7 250 (8C / 16T, 3.3 / 5.1GHz, 8MB L2 / 16MB L3), 1x 16GB SODIMM DDR5-5600, 1TB SSD M.2 2280 PCIe 4.0x4 NVMe, Integrated AMD Radeon 780M Graphics, Windows 11 Pro, Spanish, Case color - Luna Grey, garantía 1 año en sitio.","ThinkCentre neo 55a 24 G6, 13FA003VLS. AMD Ryzen 7 250 (8C / 16T, 3.3 / 5.1GHz, 8MB L2 / 16MB L3), 1x 16GB SODIMM DDR5-5600, 1TB SSD M.2 2280 PCIe 4.0x4 NVMe, Integrated AMD Radeon 780M Graphics, Windows 11 Pro, Spanish, Case color - Luna Grey, garantía 1 año en sitio.. Clave Oficial CT: AIOLEN1840. Marca: CT.",EQUIPOS DE MARCA,equipos_de_marca,CT,20094.74,391847.37,626955.79,626955.79,528993.95,528993.95,489809.21,470216.84,assets/img/catalog/equipos_de_marca/AIOLEN1840.jpg,assets/img/catalog/equipos_de_marca/AIOLEN1840.jpg,https://static.ctonline.mx/imagenes/AIOLEN1840/AIOLEN1840_400.jpg
AIOLEN1830,"ThinkCentre neo 55a 24 G6, 13FA003ULS. AMD Ryzen 5 220 (6C/12T, 3,2/4,9 GHz, 6 MB L2/16 MB L3), 1x 16 GB SODIMM DDR5-5600, SSD de 512 GB M.2 2280 PCIe 4.0x4 NVMe, Gráficos AMD Radeon 740M integrados, Windows 11 Pro, español, garantía 1 año en sitio.","ThinkCentre neo 55a 24 G6, 13FA003ULS. AMD Ryzen 5 220 (6C/12T, 3,2/4,9 GHz, 6 MB L2/16 MB L3), 1x 16 GB SODIMM DDR5-5600, SSD de 512 GB M.2 2280 PCIe 4.0x4 NVMe, Gráficos AMD Radeon 740M integrados, Windows 11 Pro, español, garantía 1 año en sitio.. Clave Oficial CT: AIOLEN1830. Marca: CT.",EQUIPOS DE MARCA,equipos_de_marca,CT,17042.11,332321.05,531713.68,531713.68,448633.42,448633.42,415401.32,398785.26,assets/img/catalog/equipos_de_marca/AIOLEN1830.jpg,assets/img/catalog/equipos_de_marca/AIOLEN1830.jpg,https://static.ctonline.mx/imagenes/AIOLEN1830/AIOLEN1830_400.jpg
AIOLEN1640,"Lenovo IdeaCentre AIO 24IRH9, F0HN0009LD, ProcesadorIntel Core i5-13420H, Pantalla 23.8"" FHD (1920x1080) IPS Anti-glare 250nits, Memoria 1x 16GB SODIMM DDR5-5200, Almacenamiento 512GB SSD M.2 2280 PCIe 4.0x4 NVMe, Windows 11 Home, Color Luna Grey. Garantía de 1 Año en Centro de Servicio.","Lenovo IdeaCentre AIO 24IRH9, F0HN0009LD, ProcesadorIntel Core i5-13420H, Pantalla 23.8"" FHD (1920x1080) IPS Anti-glare 250nits, Memoria 1x 16GB SODIMM DDR5-5200, Almacenamiento 512GB SSD M.2 2280 PCIe 4.0x4 NVMe, Windows 11 Home, Color Luna Grey. Garantía de 1 Año en Centro de Servicio.. Clave Oficial CT: AIOLEN1640. Marca: LENOVO.",EQUIPOS DE MARCA,equipos_de_marca,LENOVO,13112.63,255696.32,409114.11,409114.11,345190.03,345190.03,319620.39,306835.58,assets/img/catalog/equipos_de_marca/AIOLEN1640.jpg,assets/img/catalog/equipos_de_marca/AIOLEN1640.jpg,https://static.ctonline.mx/imagenes/AIOLEN1640/AIOLEN1640_400.jpg
AIOLEN1820,"Lenovo ThinkCentre neo 50a 24 Gen 5, 12SD00AMLS, Tamaño 23.8""  FHD (1920x1080) IPS Anti-glare 250nits, 99% sRGB, Intel Core 5 210H, 8C (4P + 4E) / 12T, P-core 2.2 / 4.8GHz, E-core 1.6 / 3.6GHz, 12MB Intel Smart Cache, Memoria RAM 1x 16GB SODIMM DDR5-5200, Almacenamiento 512GB SSD M.2 2280 PCIe 4.0x4 NVMe, luna gris, Teclado y Mouse USB español(LA) Garantía 1 año en sitio, Sistema operativo Windows® 11 pro.","Lenovo ThinkCentre neo 50a 24 Gen 5, 12SD00AMLS, Tamaño 23.8""  FHD (1920x1080) IPS Anti-glare 250nits, 99% sRGB, Intel Core 5 210H, 8C (4P + 4E) / 12T, P-core 2.2 / 4.8GHz, E-core 1.6 / 3.6GHz, 12MB Intel Smart Cache, Memoria RAM 1x 16GB SODIMM DDR5-5200, Almacenamiento 512GB SSD M.2 2280 PCIe 4.0x4 NVMe, luna gris, Teclado y Mouse USB español(LA) Garantía 1 año en sitio, Sistema operativo Windows® 11 pro.. Clave Oficial CT: AIOLEN1820. Marca: LENOVO.",EQUIPOS DE MARCA,equipos_de_marca,LENOVO,17591.0,343024.5,548839.2,548839.2,463083.08,463083.08,428780.62,411629.4,assets/img/catalog/equipos_de_marca/AIOLEN1820.jpg,assets/img/catalog/equipos_de_marca/AIOLEN1820.jpg,https://static.ctonline.mx/imagenes/AIOLEN1820/AIOLEN1820_400.jpg
