sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,garantia,disponibilidad_gdl
GABEVO560,GABEVO560,"Gabinete Mini Torre Toledo (EV-1026), Gabinete Mini Torre Toledo / Mini Torre / MB Micro ATX, I","Gabinete Mini Torre Toledo (EV-1026), Gabinete Mini Torre Toledo / Mini Torre / MB Micro ATX, ITX / 1x USB A + 1x USB 3.0 + 1x Audio / Micrófono / Incluye Fuente de poder TFX 500 W / Negro Modelo: EV-1026",CT,m,558.8235294117648,558.82,28.66,838.23,838.23,1117.64,782.35,670.58,fuentes_energia,./assets/img/catalog/fuentes_energia/GABEVO560.jpg,https://static.ctonline.mx/imagenes/GABEVO560/GABEVO560_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABEVO570,GABEVO570,"Gabinete Mini Torre Toledo (EV-1027), Gabinete Mini Torre Toledo / Mini Torre / MB Micro ATX, I","Gabinete Mini Torre Toledo (EV-1027), Gabinete Mini Torre Toledo / Mini Torre / MB Micro ATX, ITX / 1x USB A + 1x USB 3.0 + 1x Audio / Micrófono / Incluye Fuente de poder TFX 500 W / Negro Modelo: EV-1027",CT,m,558.8235294117648,558.82,28.66,838.23,838.23,1117.64,782.35,670.58,fuentes_energia,./assets/img/catalog/fuentes_energia/GABEVO570.jpg,https://static.ctonline.mx/imagenes/GABEVO570/GABEVO570_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABEVO150,GABEVO150,"Gabinete Evotec EV-1005, Gamer, Negor, Torre completa, Micro ATX EV-1005 NEGRO, incluye fuente ","Gabinete Evotec EV-1005, Gamer, Negor, Torre completa, Micro ATX EV-1005 NEGRO, incluye fuente de poder de 600 watts mas 2 Sata. Panel Frontal con USB 3.0. Compatible con montaje de SSD. Entrada de audio HD y micrófono frontal.","EV-1005,",m,625.7647058823529,625.76,32.09,938.64,938.64,1251.52,876.06,750.91,fuentes_energia,./assets/img/catalog/fuentes_energia/GABEVO150.jpg,https://static.ctonline.mx/imagenes/GABEVO150/GABEVO150_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABEVO520,GABEVO520,Fuente De Poder EVOTEC De 600W Ev-600,Fuente De Poder EVOTEC De 600W Ev-600,EVOTEC,m,288.964705882353,288.96,14.82,433.44,433.44,577.92,404.54,346.75,fuentes_energia,./assets/img/catalog/fuentes_energia/GABEVO520.jpg,https://static.ctonline.mx/imagenes/GABEVO520/GABEVO520_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABEVO290,GABEVO290,Fuente de Poder EVOTEC 500W (EV-500) Compatible con Gabinetes ATX entrega un rendimiento de 500,Fuente de Poder EVOTEC 500W (EV-500) Compatible con Gabinetes ATX entrega un rendimiento de 500W; Cuenta con dos conectores de energía SATA2 y conector de voltaje de 4 pines para VGA.,EVOTEC,m,223.52941176470588,223.53,11.46,335.3,335.3,447.06,312.94,268.24,fuentes_energia,./assets/img/catalog/fuentes_energia/GABEVO290.jpg,https://static.ctonline.mx/imagenes/GABEVO290/GABEVO290_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABACT660,GABACT660,"Gabinete Mini Torre PERFORMANCE MINI III GI215M ACTECK Factor Micro ATX- Mini ITX,  2 Puertos U","Gabinete Mini Torre PERFORMANCE MINI III GI215M ACTECK Factor Micro ATX- Mini ITX,  2 Puertos USB 2.0, 1 Puerto Audio + Micrófono 3.5, 1 Bahía Combo 3.5"" / 2.5"", 1 Bahía 2.5 SDD, Fuente de poder 500W Incluida, Color Negro. AC-944571",PERFORMANCE,m,411.7647058823529,411.76,21.12,617.64,617.64,823.52,576.46,494.11,fuentes_energia,./assets/img/catalog/fuentes_energia/GABACT660.jpg,https://static.ctonline.mx/imagenes/GABACT660/GABACT660_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABACT670,GABACT670,"Gabinete Mini Torre PERFORMANCE MINI III GI210M ACTECK Factor Micro ATX- Mini ITX,  2 Puertos U","Gabinete Mini Torre PERFORMANCE MINI III GI210M ACTECK Factor Micro ATX- Mini ITX,  2 Puertos USB 2.0, 1 Puerto Audio + Micrófono 3.5, 1 Bahía Combo 3.5"" / 2.5"", 1 Bahía 2.5 SDD, Fuente de poder 500W Incluida, Color Negro. AC-944588",PERFORMANCE,m,400.0,400.0,20.51,600.0,600.0,800.0,560.0,480.0,fuentes_energia,./assets/img/catalog/fuentes_energia/GABACT670.jpg,https://static.ctonline.mx/imagenes/GABACT670/GABACT670_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABACT530,GABACT530,"Gabinete Mini Torre Fuji GC470 Advanced Series, Factor: Micro Atx - Mini ITX, Panel Lateral Cri","Gabinete Mini Torre Fuji GC470 Advanced Series, Factor: Micro Atx - Mini ITX, Panel Lateral Cristal Templado, Incluye 2 Ventiladores 120mm FRGB, Espacio para Ventilador 80mm trasero no Incluido, Puertos: 1x USB 2.0, 1x USB 3.0 y 1x 3.5mm Dual (Audio y micrófono), Bahías 1x 3.5""/2.5"" combo, 3x 2.5"" SSD, Fuente de poder 500w Color Blanco. AC-939515",CT,m,623.5294117647059,623.53,31.98,935.29,935.29,1247.06,872.94,748.24,fuentes_energia,./assets/img/catalog/fuentes_energia/GABACT530.jpg,https://static.ctonline.mx/imagenes/GABACT530/GABACT530_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABACT540,GABACT540,"Gabinete Mini Torre Acteck KIOTO GC220 ESSENTIAL SERIES Factor de forma: Mini Torre, Panel Late","Gabinete Mini Torre Acteck KIOTO GC220 ESSENTIAL SERIES Factor de forma: Mini Torre, Panel Lateral Cristal Templado, Tarjetas madre compatibles: Micro ATX y Mini ITX, Soporte para ventiladores: Superior 2 * 120 mm 1* 80mm, No Incluido, Bahías: 1x3.5""/2.5 Combo ODD, 3x2.5 SSD, Ranuras PCI: 4 (no compatible), Puertos:  2xUSB 2.0, 1x3.5mm Audio+ Micrófono, Fuente de poder ATX 500w. Color Blanco AC-939522",CT,m,464.7058823529412,464.71,23.83,697.06,697.06,929.42,650.59,557.65,fuentes_energia,./assets/img/catalog/fuentes_energia/GABACT540.jpg,https://static.ctonline.mx/imagenes/GABACT540/GABACT540_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
GABACT550,GABACT550,"Gabinete Mini Torre Acteck KIOTO GC220F ESSENTIAL SERIES Factor de forma: Mini Torre, Tarjetas ","Gabinete Mini Torre Acteck KIOTO GC220F ESSENTIAL SERIES Factor de forma: Mini Torre, Tarjetas madre compatibles: Micro ATX y Mini ITX, Soporte para ventiladores: Superior 2 * 120 mm 1* 80mm, No Incluido, Bahías: 1x3.5""/2.5 Combo ODD, 3x2.5 SSD, Ranuras PCI: 4 (no compatible), Puertos:  2xUSB 2.0, 1x3.5mm Audio+ Micrófono, Fuente de poder ATX 500w. Color Blanco AC-939546",CT,m,411.7647058823529,411.76,21.12,617.64,617.64,823.52,576.46,494.11,fuentes_energia,./assets/img/catalog/fuentes_energia/GABACT550.jpg,https://static.ctonline.mx/imagenes/GABACT550/GABACT550_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
