sku,nombre,descripcion_completa,categoria_ct,categoria_clasificada,marca,base_cost_usd,costo_proveedor_mxn,precio_original,original,precio,precio_mxn,precio_mayoreo_10pzs,precio_piso_minimo_20,img,local_img
GABEVO470,"Gabinete Gaming Taipei, EVOTEC EV-1018, 3 ventiladores incluidos, USB 3.0","Gabinete Gaming Taipei, EVOTEC EV-1018, 3 ventiladores incluidos, USB 3.0. Clave Oficial CT: GABEVO470. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,615.0,11992.5,19188.0,19188.0,16189.88,16189.88,14990.62,14391.0,https://static.ctonline.mx/imagenes/GABEVO470/GABEVO470_400.jpg,assets/img/catalog/GABEVO470.jpg
GABEVO480,"Gabinete Gaming Seoul, EVOTEC EV-1019, 3 ventiladores incluidos, USB 3.0","Gabinete Gaming Seoul, EVOTEC EV-1019, 3 ventiladores incluidos, USB 3.0. Clave Oficial CT: GABEVO480. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,615.0,11992.5,19188.0,19188.0,16189.88,16189.88,14990.62,14391.0,https://static.ctonline.mx/imagenes/GABEVO480/GABEVO480_400.jpg,assets/img/catalog/GABEVO480.jpg
GABEVO490,"Gabinete Gaming Beijingi, EVOTEC EV-1020, 3 ventiladores incluidos , USB 3.0","Gabinete Gaming Beijingi, EVOTEC EV-1020, 3 ventiladores incluidos , USB 3.0. Clave Oficial CT: GABEVO490. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,688.24,13420.59,21472.94,21472.94,18117.79,18117.79,16775.74,16104.71,https://static.ctonline.mx/imagenes/GABEVO490/GABEVO490_400.jpg,assets/img/catalog/GABEVO490.jpg
GABEVO500,"Gabinete Gaming Tokyo, EVOTEC EV-1021, 3 ventiladores incluidos , USB 3.0","Gabinete Gaming Tokyo, EVOTEC EV-1021, 3 ventiladores incluidos , USB 3.0. Clave Oficial CT: GABEVO500. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,730.59,14246.47,22794.35,22794.35,19232.74,19232.74,17808.09,17095.76,https://static.ctonline.mx/imagenes/GABEVO500/GABEVO500_400.jpg,assets/img/catalog/GABEVO500.jpg
GABBLR250,"Gabinete Gamer Media Torre ATX Eris Special GM985 Legend Series, Factor: ATX Micro Atx - Mini ITX, Paneles laterales de cristal templado, hasta 5 ventiladores de 120mm (no incluidos), Ranuras PCI 4, Puertos: 1x USB C Y 1X USB 3.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED (color estático), Color Gris. AC-935654","Gabinete Gamer Media Torre ATX Eris Special GM985 Legend Series, Factor: ATX Micro Atx - Mini ITX, Paneles laterales de cristal templado, hasta 5 ventiladores de 120mm (no incluidos), Ranuras PCI 4, Puertos: 1x USB C Y 1X USB 3.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED (color estático), Color Gris. AC-935654. Clave Oficial CT: GABBLR250. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1118.94,21819.35,34910.96,34910.96,29456.13,29456.13,27274.19,26183.22,https://static.ctonline.mx/imagenes/GABBLR250/GABBLR250_400.jpg,assets/img/catalog/GABBLR250.jpg
GABBLR260,"Gabinete Gamer Media Torre ATX Eris Jet GM985 Legend Series, Factor: ATX Micro Atx - Mini ITX, Paneles laterales de cristal templado, hasta 5 ventiladores de 120mm (no incluidos), Ranuras PCI 4, Puertos: 1x USB C Y 1X USB 3.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED (color estático), Color Negro. AC-935661","Gabinete Gamer Media Torre ATX Eris Jet GM985 Legend Series, Factor: ATX Micro Atx - Mini ITX, Paneles laterales de cristal templado, hasta 5 ventiladores de 120mm (no incluidos), Ranuras PCI 4, Puertos: 1x USB C Y 1X USB 3.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED (color estático), Color Negro. AC-935661. Clave Oficial CT: GABBLR260. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1118.94,21819.35,34910.96,34910.96,29456.13,29456.13,27274.19,26183.22,https://static.ctonline.mx/imagenes/GABBLR260/GABBLR260_400.jpg,assets/img/catalog/GABBLR260.jpg
GABBLR270,"Gabinete Gamer Media Torre ATX Eris Frost GM985 Legend Series, Factor: ATX Micro Atx - Mini ITX, Paneles laterales de cristal templado, hasta 5 ventiladores de 120mm (no incluidos), Ranuras PCI 4, Puertos: 1x USB C Y 1X USB 3.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED (color estático), Color Blanco. AC-935678","Gabinete Gamer Media Torre ATX Eris Frost GM985 Legend Series, Factor: ATX Micro Atx - Mini ITX, Paneles laterales de cristal templado, hasta 5 ventiladores de 120mm (no incluidos), Ranuras PCI 4, Puertos: 1x USB C Y 1X USB 3.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED (color estático), Color Blanco. AC-935678. Clave Oficial CT: GABBLR270. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1118.94,21819.35,34910.96,34910.96,29456.13,29456.13,27274.19,26183.22,https://static.ctonline.mx/imagenes/GABBLR270/GABBLR270_400.jpg,assets/img/catalog/GABBLR270.jpg
GABBLR650,"Gabinete Gamer Mini Torre  Carbono Twin Mate 6000 Legend Series, Factor: Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938815","Gabinete Gamer Mini Torre  Carbono Twin Mate 6000 Legend Series, Factor: Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938815. Clave Oficial CT: GABBLR650. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1044.28,20363.54,32581.66,32581.66,27490.78,27490.78,25454.42,24436.25,https://static.ctonline.mx/imagenes/GABBLR650/GABBLR650_400.jpg,assets/img/catalog/GABBLR650.jpg
GABBLR660,"Gabinete Gamer Mini Torre  Carbono Twin Mate 6000 Legend Series, Factor: Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938822","Gabinete Gamer Mini Torre  Carbono Twin Mate 6000 Legend Series, Factor: Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938822. Clave Oficial CT: GABBLR660. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1044.28,20363.54,32581.66,32581.66,27490.78,27490.78,25454.42,24436.25,https://static.ctonline.mx/imagenes/GABBLR660/GABBLR660_400.jpg,assets/img/catalog/GABBLR660.jpg
GABBLR670,"Gabinete Gamer Media Torre  Carbono Twin Mate 5000 Legend Series, Factor:  ATX,  Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938839","Gabinete Gamer Media Torre  Carbono Twin Mate 5000 Legend Series, Factor:  ATX,  Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938839. Clave Oficial CT: GABBLR670. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,969.64,18907.96,30252.73,30252.73,25525.75,25525.75,23634.95,22689.55,https://static.ctonline.mx/imagenes/GABBLR670/GABBLR670_400.jpg,assets/img/catalog/GABBLR670.jpg
GABBLR680,"Gabinete Gamer Media Torre  Carbono Twin Mate 5000 Legend Series, Factor:   ATX, Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938846","Gabinete Gamer Media Torre  Carbono Twin Mate 5000 Legend Series, Factor:   ATX, Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938846. Clave Oficial CT: GABBLR680. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,969.64,18907.96,30252.73,30252.73,25525.75,25525.75,23634.95,22689.55,https://static.ctonline.mx/imagenes/GABBLR680/GABBLR680_400.jpg,assets/img/catalog/GABBLR680.jpg
GABBLR700,"Gabinete Gamer Mini Torre  Carbono Twin Mate 4000 Legend Series, Factor: Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal, 2 Ventiladores 140mm, 1  Ventilador de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938860","Gabinete Gamer Mini Torre  Carbono Twin Mate 4000 Legend Series, Factor: Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal, 2 Ventiladores 140mm, 1  Ventilador de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938860. Clave Oficial CT: GABBLR700. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,820.35,15996.88,25595.01,25595.01,21595.79,21595.79,19996.1,19196.26,https://static.ctonline.mx/imagenes/GABBLR700/GABBLR700_400.jpg,assets/img/catalog/GABBLR700.jpg
GABBLR710,"Gabinete Gamer Media Torre Tank Super 9200TB Legend Series, Factor: ATX, Micro Atx, ITX, Panel Frontal  Cristal, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  3 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938723.","Gabinete Gamer Media Torre Tank Super 9200TB Legend Series, Factor: ATX, Micro Atx, ITX, Panel Frontal  Cristal, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  3 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938723.. Clave Oficial CT: GABBLR710. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1044.28,20363.54,32581.66,32581.66,27490.78,27490.78,25454.42,24436.25,https://static.ctonline.mx/imagenes/GABBLR710/GABBLR710_400.jpg,assets/img/catalog/GABBLR710.jpg
GABBLR720,"Gabinete Gamer Media Torre Tank Super 9200TB Legend Series, Factor: ATX, Micro Atx, ITX, Panel Frontal  Cristal, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  3 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938730.","Gabinete Gamer Media Torre Tank Super 9200TB Legend Series, Factor: ATX, Micro Atx, ITX, Panel Frontal  Cristal, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  3 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938730.. Clave Oficial CT: GABBLR720. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1044.28,20363.54,32581.66,32581.66,27490.78,27490.78,25454.42,24436.25,https://static.ctonline.mx/imagenes/GABBLR720/GABBLR720_400.jpg,assets/img/catalog/GABBLR720.jpg
GABBLR740,"Gabinete Gamer Mini Torre  Carbono Crystal 4000C Legend Series, Factor:  Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  1 Ventilador de 120mm, 2 Ventiladores 140mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938884","Gabinete Gamer Mini Torre  Carbono Crystal 4000C Legend Series, Factor:  Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  1 Ventilador de 120mm, 2 Ventiladores 140mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938884. Clave Oficial CT: GABBLR740. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,745.71,14541.26,23266.02,23266.02,19630.71,19630.71,18176.58,17449.52,https://static.ctonline.mx/imagenes/GABBLR740/GABBLR740_400.jpg,assets/img/catalog/GABBLR740.jpg
GABBLR750,"Gabinete Gamer Media Torre Nitrox Aircool  5500ABW Legend Series, Factor: ATX, Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal, 2 Ventiladores 140mm, 1  Ventilador de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938914","Gabinete Gamer Media Torre Nitrox Aircool  5500ABW Legend Series, Factor: ATX, Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal, 2 Ventiladores 140mm, 1  Ventilador de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938914. Clave Oficial CT: GABBLR750. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,894.99,17452.38,27923.81,27923.81,23560.71,23560.71,21815.48,20942.86,https://static.ctonline.mx/imagenes/GABBLR750/GABBLR750_400.jpg,assets/img/catalog/GABBLR750.jpg
GABBLR760,"Gabinete Gamer Media Torre Nitrox Crystal  5500CBW Legend Series, Factor: ATX, Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal, 2 Ventiladores 140mm, 1  Ventilador de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-93898921","Gabinete Gamer Media Torre Nitrox Crystal  5500CBW Legend Series, Factor: ATX, Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal, 2 Ventiladores 140mm, 1  Ventilador de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-93898921. Clave Oficial CT: GABBLR760. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,894.99,17452.38,27923.81,27923.81,23560.71,23560.71,21815.48,20942.86,https://static.ctonline.mx/imagenes/GABBLR760/GABBLR760_400.jpg,assets/img/catalog/GABBLR760.jpg
GABBLR590,"Gabinete Gamer Full Torre Carbono Twin Mate 9000 Legend Series, Factor: E-ATX, ATX,  Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938754","Gabinete Gamer Full Torre Carbono Twin Mate 9000 Legend Series, Factor: E-ATX, ATX,  Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938754. Clave Oficial CT: GABBLR590. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1305.54,25458.06,40732.9,40732.9,34368.38,34368.38,31822.57,30549.67,https://static.ctonline.mx/imagenes/GABBLR590/GABBLR590_400.jpg,assets/img/catalog/GABBLR590.jpg
GABBLR600,"Gabinete Gamer Full Torre  Carbono Twin Mate 9000 Legend Series, Factor: E-ATX, ATX,  Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938761","Gabinete Gamer Full Torre  Carbono Twin Mate 9000 Legend Series, Factor: E-ATX, ATX,  Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938761. Clave Oficial CT: GABBLR600. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1305.54,25458.06,40732.9,40732.9,34368.38,34368.38,31822.57,30549.67,https://static.ctonline.mx/imagenes/GABBLR600/GABBLR600_400.jpg,assets/img/catalog/GABBLR600.jpg
GABBLR610,"Gabinete Gamer Mini Torre  Carbono Twin Mate 8000 Legend Series, Factor:    Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938778","Gabinete Gamer Mini Torre  Carbono Twin Mate 8000 Legend Series, Factor:    Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938778. Clave Oficial CT: GABBLR610. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1193.58,23274.74,37239.59,37239.59,31420.9,31420.9,29093.43,27929.69,https://static.ctonline.mx/imagenes/GABBLR610/GABBLR610_400.jpg,assets/img/catalog/GABBLR610.jpg
GABBLR620,"Gabinete Gamer Mini Torre  Carbono Twin Mate 8000 Legend Series, Factor:   Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938785","Gabinete Gamer Mini Torre  Carbono Twin Mate 8000 Legend Series, Factor:   Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938785. Clave Oficial CT: GABBLR620. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1193.58,23274.74,37239.59,37239.59,31420.9,31420.9,29093.43,27929.69,https://static.ctonline.mx/imagenes/GABBLR620/GABBLR620_400.jpg,assets/img/catalog/GABBLR620.jpg
GABBLR630,"Gabinete Gamer Media Torre  Carbono Twin Mate 7000 Legend Series, Factor:  ATX,  Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938792","Gabinete Gamer Media Torre  Carbono Twin Mate 7000 Legend Series, Factor:  ATX,  Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Negro, BR-938792. Clave Oficial CT: GABBLR630. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1118.93,21819.12,34910.6,34910.6,29455.82,29455.82,27273.9,26182.95,https://static.ctonline.mx/imagenes/GABBLR630/GABBLR630_400.jpg,assets/img/catalog/GABBLR630.jpg
GABBLR640,"Gabinete Gamer Media Torre  Carbono Twin Mate 7000 Legend Series, Factor:   ATX, Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938808","Gabinete Gamer Media Torre  Carbono Twin Mate 7000 Legend Series, Factor:   ATX, Micro Atx - Mini ITX, Panel Frontal Intercambiable Cristal y Malla, Panel Izquierdo Cristal Templado, Panel Derecho Metal,  4 ventiladores de 120mm (ARGB), Puertos: 1x USB C 3.1,  1X USB 3.0, 1X USB 2.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED, Color Blanco, BR-938808. Clave Oficial CT: GABBLR640. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,1118.93,21819.12,34910.6,34910.6,29455.82,29455.82,27273.9,26182.95,https://static.ctonline.mx/imagenes/GABBLR640/GABBLR640_400.jpg,assets/img/catalog/GABBLR640.jpg
GABBLR280,"Gabinete Gamer Micro Torre ATX Eris Special GI985 Legend Series, Factor: Micro Atx - Mini ITX, Paneles laterales de cristal templado, hasta 5 ventiladores de 120mm (no incluidos), Ranuras PCI 4, Puertos: 1x USB C Y 1X USB 3.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED (color estático), Color Gris. AC-935371","Gabinete Gamer Micro Torre ATX Eris Special GI985 Legend Series, Factor: Micro Atx - Mini ITX, Paneles laterales de cristal templado, hasta 5 ventiladores de 120mm (no incluidos), Ranuras PCI 4, Puertos: 1x USB C Y 1X USB 3.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED (color estático), Color Gris. AC-935371. Clave Oficial CT: GABBLR280. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,999.49,19490.14,31184.22,31184.22,26311.68,26311.68,24362.67,23388.16,https://static.ctonline.mx/imagenes/GABBLR280/GABBLR280_400.jpg,assets/img/catalog/GABBLR280.jpg
GABBLR290,"Gabinete Gamer Micro Torre ATX Eris Jet GI985 Legend Series, Factor: Micro Atx - Mini ITX, Paneles laterales de cristal templado, hasta 5 ventiladores de 120mm (no incluidos), Ranuras PCI 4, Puertos: 1x USB C Y 1X USB 3.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED (color estático), Color Negro. AC-934947","Gabinete Gamer Micro Torre ATX Eris Jet GI985 Legend Series, Factor: Micro Atx - Mini ITX, Paneles laterales de cristal templado, hasta 5 ventiladores de 120mm (no incluidos), Ranuras PCI 4, Puertos: 1x USB C Y 1X USB 3.0, 1 3.5mm Dual(Audio y micrófono), Iluminación LED (color estático), Color Negro. AC-934947. Clave Oficial CT: GABBLR290. Marca: CT.",COMPONENTES DE ENSAMBLE,gabinetes,CT,999.49,19490.14,31184.22,31184.22,26311.68,26311.68,24362.67,23388.16,https://static.ctonline.mx/imagenes/GABBLR290/GABBLR290_400.jpg,assets/img/catalog/GABBLR290.jpg
