sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,garantia,disponibilidad_gdl
MEMSTY300,MEMSTY300,Memoria Micro SD 16GB C10 S/A STYLOS STMS164B. Memoria Micro SD 16GB S/A Clase 10 UHS1; Compati,"Memoria Micro SD 16GB C10 S/A STYLOS STMS164B. Memoria Micro SD 16GB S/A Clase 10 UHS1; Compatible con Tabletas, Cámaras, PC, Laptops, Reproductores, etc.; Clase 10 y UHS-1, A prueba de golpes, Resistente al agua, Resistente a magnetismo, Resistente a temperaturas altas y bajas, Garantía de por vida",16GB,d,3.7555555555555555,73.23,3.76,109.84,109.84,146.46,102.52,87.88,laptops,./assets/img/catalog/laptops/MEMSTY300.jpg,https://static.ctonline.mx/imagenes/MEMSTY300/MEMSTY300_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MEMSTY310,MEMSTY310,Memoria Micro SD 32GB C10 S/A STYLOS STMS323B. Memoria Micro SD 32GB S/A Clase 10 UHS1; Compati,"Memoria Micro SD 32GB C10 S/A STYLOS STMS323B. Memoria Micro SD 32GB S/A Clase 10 UHS1; Compatible con Tabletas, Cámaras, PC, Laptops, Reproductores, etc.; Clase 10 y UHS-1, A prueba de golpes, Resistente al agua, Resistente a magnetismo, Resistente a temperaturas altas y bajas, Garantía de por vida",32GB,d,4.5777777777777775,89.27,4.58,133.91,133.91,178.54,124.98,107.12,laptops,./assets/img/catalog/laptops/MEMSTY310.jpg,https://static.ctonline.mx/imagenes/MEMSTY310/MEMSTY310_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MEMSTY280,MEMSTY280,"Memoria Micro SD 64GB STYLOS STMS641B. Memoria Micro SD 64GB C/A Clase 10, Compatible con Table","Memoria Micro SD 64GB STYLOS STMS641B. Memoria Micro SD 64GB C/A Clase 10, Compatible con Tabletas, Cámaras, Laptops, PC, Reproductores, A prueba de golpes, Resistente al agua, Resistente a magnetismo, Resistente a temperaturas altas y bajas, Garantía de por vida",64GB,d,8.555555555555555,166.83,8.56,250.25,250.25,333.66,233.56,200.2,laptops,./assets/img/catalog/laptops/MEMSTY280.jpg,https://static.ctonline.mx/imagenes/MEMSTY280/MEMSTY280_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MEMSTY290,MEMSTY290,Memoria Micro SD 64GB S/A STYLOS STMS2S4B. Memoria Micro SD 64GB S/A Clase 10; Compatible con T,"Memoria Micro SD 64GB S/A STYLOS STMS2S4B. Memoria Micro SD 64GB S/A Clase 10; Compatible con Tabletas, Cámaras, Celulares, Videojuegos, PC, MAC, Laptops, Reproductores, etc.; Clase 10 y UHS-1, 4 veces mayor velocidad; Memoria TFT a prueba de golpes, Resistente al agua, Resistente a magnetismo, Resistente a temperaturas altas y bajas, Interfase SDS2.0, SD3.0, Garantía de por vida",64GB,d,6.488888888888889,126.53,6.49,189.8,189.8,253.06,177.14,151.84,laptops,./assets/img/catalog/laptops/MEMSTY290.jpg,https://static.ctonline.mx/imagenes/MEMSTY290/MEMSTY290_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MEMSTY350,MEMSTY350,"Memoria ST500 USB 32GB STYLOS. XSTMUS532B. Memoria USB ST500 32GB, A prueba de golpes, Resisten","Memoria ST500 USB 32GB STYLOS. XSTMUS532B. Memoria USB ST500 32GB, A prueba de golpes, Resistente al agua, Compatible con tabletas, cámaras, laptops, PC, reproductores, Soporta USB 3.0 y es compatible con USB 2.0/Hot Plug&Play",ST500,d,4.088888888888889,79.73,4.09,119.59,119.59,159.46,111.62,95.68,laptops,./assets/img/catalog/laptops/MEMSTY350.jpg,https://static.ctonline.mx/imagenes/MEMSTY350/MEMSTY350_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MEMSTY320,MEMSTY320,Memoria USB ST500 64GB Plata. STMUS564B. Memoria USB ST500 64GB Plata; Compatible con todas las,"Memoria USB ST500 64GB Plata. STMUS564B. Memoria USB ST500 64GB Plata; Compatible con todas las plataformas; A prueba de golpes; Soporte USB 3.0 y es compatible con USB 20./Hot Plug&Play; Resistente al agua; Compatible con tabletas, cámaras, laptops, PC, reproductores; Garantía de por vida",USB,d,5.533333333333334,107.9,5.53,161.85,161.85,215.8,151.06,129.48,laptops,./assets/img/catalog/laptops/MEMSTY320.jpg,https://static.ctonline.mx/imagenes/MEMSTY320/MEMSTY320_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MEMSTY330,MEMSTY330,Memoria USB ST500 128GB Plata. STMUS5128B. Memoria USB ST500 128GB Plata; Compatible con todas ,"Memoria USB ST500 128GB Plata. STMUS5128B. Memoria USB ST500 128GB Plata; Compatible con todas las plataformas; A prueba de golpes; Soporte USB 3.0 y es compatible con USB 20./Hot Plug&Play; Resistente al agua; Compatible con tabletas, cámaras, laptops, PC, reproductores; Garantía de por vida",USB,d,4.9,95.55,4.9,143.32,143.32,191.1,133.77,114.66,laptops,./assets/img/catalog/laptops/MEMSTY330.jpg,https://static.ctonline.mx/imagenes/MEMSTY330/MEMSTY330_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MEMSTY340,MEMSTY340,Memoria USB ST500 256GB Plata. STMUS5256B. Memoria USB ST500 256GB Plata; Compatible con todas ,"Memoria USB ST500 256GB Plata. STMUS5256B. Memoria USB ST500 256GB Plata; Compatible con todas las plataformas; A prueba de golpes; Soporte USB 3.0 y es compatible con USB 20./Hot Plug&Play; Resistente al agua; Compatible con tabletas, cámaras, laptops, PC, reproductores; Garantía de por vida",USB,d,21.477777777777774,418.82,21.48,628.23,628.23,837.64,586.35,502.58,laptops,./assets/img/catalog/laptops/MEMSTY340.jpg,https://static.ctonline.mx/imagenes/MEMSTY340/MEMSTY340_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MEMSTY360,MEMSTY360,"Memoria ST100 USB 256GB FLASH 2.0 STYLOS STMUSB6B. Dispositivo ST100 USB 256GB Flash 2.0, A pru","Memoria ST100 USB 256GB FLASH 2.0 STYLOS STMUSB6B. Dispositivo ST100 USB 256GB Flash 2.0, A prueba de golpes, Resistente al agua, Compatible con Tabletas, Cámaras, Laptops, PC, Reproductores, Garantía de por vida, Interfase 2.0 soporta 3.0",ST100,d,15.755555555555555,307.23,15.76,460.85,460.85,614.46,430.12,368.68,laptops,./assets/img/catalog/laptops/MEMSTY360.jpg,https://static.ctonline.mx/imagenes/MEMSTY360/MEMSTY360_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MEMWSD050,MEMWSD050,"Ultra Dual Drive Go con USB Type-C™ - 128GB (Negro) SDDDC3-128G-G46, Conector: USB-C, USB-A, Re","Ultra Dual Drive Go con USB Type-C™ - 128GB (Negro) SDDDC3-128G-G46, Conector: USB-C, USB-A, Rendimiento de lectura secuencial: 400MB/s, Interfaz: USB 3.2 Gen 1, Temp. Operativa: 0°C to 45°C, Certificaciones: FCC, ICES, CE, UKCA, BSMI, RCM, EAC, KCC, Ukraine, La unidad flash 2 en 1 con conectores USB Type-C™ y Type-A, Transfiere fácilmente contenido entre tus dispositivos con USB Type-C™ y Type-A, Libera espacio en tu teléfono inteligente con USB Type-C, Haz una copia de seguridad automática de tus fotos con la aplicación SanDisk Memory Zone, COMPATIBILIDAD: USB Type-C devices (phones, laptops, and tablets), iOS 10.0.2+, Android 11+, macOS v.10.9+, Windows 10+   Modelo: SDDDC3-128G-G46",CT,d,14.193181818181818,276.77,14.19,415.15,415.15,553.54,387.48,332.12,laptops,./assets/img/catalog/laptops/MEMWSD050.jpg,https://static.ctonline.mx/imagenes/MEMWSD050/MEMWSD050_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
