sku,nombre,descripcion_completa,categoria_ct,categoria_clasificada,marca,base_cost_usd,costo_proveedor_mxn,precio_original,original,precio,precio_mxn,precio_mayoreo_10pzs,precio_piso_minimo_20,img_rel,img,cdn_url
AIRLGE330,"Aire LG de Ventana  W051CE On/Off, Enfriamiento, 5000 BTU/h, 0.5 TON. 115V/60Hz. Solo frio. Tipo de Refrigerant: R410A. CERTIFICADO ENERGY STAR®, Enfriamiento máximo, Flujo de aire vertical y horizontal en 2 vías. Bajo nivel de ruido, Chasis corredizo para una fácil instalación y mantenimiento. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 18kg. Ancho 440mm, x Alto 282mm x Profundo 365mm. Garantia 3 años en compresor.","Aire LG de Ventana  W051CE On/Off, Enfriamiento, 5000 BTU/h, 0.5 TON. 115V/60Hz. Solo frio. Tipo de Refrigerant: R410A. CERTIFICADO ENERGY STAR®, Enfriamiento máximo, Flujo de aire vertical y horizontal en 2 vías. Bajo nivel de ruido, Chasis corredizo para una fácil instalación y mantenimiento. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 18kg. Ancho 440mm, x Alto 282mm x Profundo 365mm. Garantia 3 años en compresor.. Clave Oficial CT: AIRLGE330. Marca: CT.",LINEA BLANCA,linea_blanca,CT,2708.33,52812.5,84500.0,84500.0,71296.88,71296.88,66015.62,63375.0,assets/img/catalog/linea_blanca/AIRLGE330.jpg,assets/img/catalog/linea_blanca/AIRLGE330.jpg,https://static.ctonline.mx/imagenes/AIRLGE330/AIRLGE330_400.jpg
AIRLGE660,"Aire LG de Ventana  W081C2 On/Off, Enfriamiento, 8000 BTU/h, 0.75 TON. 115V/60Hz. Solo frio. Tipo de Refrigerant: R32. Operación 3 en 1: Modo frio, Ventilador y Deshumidificador, Panel de control sencillo, Bajo nivel de ruido, Kit de Instalación, Control Remoto. Si.  Medidas y Peso del Equipo: Peso: 22kg. Ancho 581mm, x Alto 460mm x Profundo 370mm. Garantia 3 años en compresor.","Aire LG de Ventana  W081C2 On/Off, Enfriamiento, 8000 BTU/h, 0.75 TON. 115V/60Hz. Solo frio. Tipo de Refrigerant: R32. Operación 3 en 1: Modo frio, Ventilador y Deshumidificador, Panel de control sencillo, Bajo nivel de ruido, Kit de Instalación, Control Remoto. Si.  Medidas y Peso del Equipo: Peso: 22kg. Ancho 581mm, x Alto 460mm x Profundo 370mm. Garantia 3 años en compresor.. Clave Oficial CT: AIRLGE660. Marca: CT.",LINEA BLANCA,linea_blanca,CT,3500.0,68250.0,109200.0,109200.0,92137.5,92137.5,85312.5,81900.0,assets/img/catalog/linea_blanca/AIRLGE660.jpg,assets/img/catalog/linea_blanca/AIRLGE660.jpg,https://static.ctonline.mx/imagenes/AIRLGE660/AIRLGE660_400.jpg
AIRLGE680,"Aire Acondicionado LG ON/OFF 1 TON MT122C0  Enfriamiento, 11,000 BTU/h, Compresor convencional 230V/60Hz. Solio Frio. Funciones: Jet Mode, Oscilación automática, Smart diagnosis, Reinicio automático, Dual Sensing, Smart operation. 5 años de Garantía en compresor, 1 año en resto de sus partes. Color. Blanco. Control Remoto. Si. Medidas Caja Evaporadora: Peso: 7.8kg. Ancho 850mm, x Alto 320mm x Profundo 260mm. Medidas Caja Condensadora: Peso: 24.5kg. Ancho 830mm, x Alto 588mm x Profundo 340mm. (Incluye flete de CEDIS a sucursal CT)","Aire Acondicionado LG ON/OFF 1 TON MT122C0  Enfriamiento, 11,000 BTU/h, Compresor convencional 230V/60Hz. Solio Frio. Funciones: Jet Mode, Oscilación automática, Smart diagnosis, Reinicio automático, Dual Sensing, Smart operation. 5 años de Garantía en compresor, 1 año en resto de sus partes. Color. Blanco. Control Remoto. Si. Medidas Caja Evaporadora: Peso: 7.8kg. Ancho 850mm, x Alto 320mm x Profundo 260mm. Medidas Caja Condensadora: Peso: 24.5kg. Ancho 830mm, x Alto 588mm x Profundo 340mm. (Incluye flete de CEDIS a sucursal CT). Clave Oficial CT: AIRLGE680. Marca: CT.",LINEA BLANCA,linea_blanca,CT,4516.67,88075.0,140920.0,140920.0,118901.25,118901.25,110093.75,105690.0,assets/img/catalog/linea_blanca/AIRLGE680.jpg,assets/img/catalog/linea_blanca/AIRLGE680.jpg,https://static.ctonline.mx/imagenes/AIRLGE680/AIRLGE680_400.jpg
AIRLGE230,"Aire LG de Ventana W122CE On/Off, Enfriamiento, 12000 BTU/h, 1 TON. 220V/60Hz. Solo frio. Tipo de Refrigerante: R32. CERTIFICADO ENERGY STAR®, Enfriamiento máximo, Flujo de aire vertical y horizontal en 4 vías. Bajo nivel de ruido. Chasis corredizo para una fácil instalación y Mantenimiento. Voltaje (230V / 60 HZ) Control Remoto. Si.  Medidas y Peso del Equipo: Peso: 37.4kg. Ancho 600mm, x Alto 381mm x Profundo 563mm. Garantia 3 años en compresor.","Aire LG de Ventana W122CE On/Off, Enfriamiento, 12000 BTU/h, 1 TON. 220V/60Hz. Solo frio. Tipo de Refrigerante: R32. CERTIFICADO ENERGY STAR®, Enfriamiento máximo, Flujo de aire vertical y horizontal en 4 vías. Bajo nivel de ruido. Chasis corredizo para una fácil instalación y Mantenimiento. Voltaje (230V / 60 HZ) Control Remoto. Si.  Medidas y Peso del Equipo: Peso: 37.4kg. Ancho 600mm, x Alto 381mm x Profundo 563mm. Garantia 3 años en compresor.. Clave Oficial CT: AIRLGE230. Marca: CT.",LINEA BLANCA,linea_blanca,CT,4958.33,96687.5,154700.0,154700.0,130528.13,130528.13,120859.38,116025.0,assets/img/catalog/linea_blanca/AIRLGE230.jpg,assets/img/catalog/linea_blanca/AIRLGE230.jpg,https://static.ctonline.mx/imagenes/AIRLGE230/AIRLGE230_400.jpg
AIRLGE580,"Minisplit LG Dual Sensing VO121C1 Inverter, Enfriamiento, 12,000 BTU/h, 1 TON. Compresor Dual Inverter, 115V/60Hz. Solo frio. Fast cooling, Smart diagnosis, Color. Blanco. Tipo de pantalla LCD. Funciones: Modo sueño, Oscilación automatica en 4 vías, Smart operation. Reinicio automatico, Smart diagnosis. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 8.6kg. Ancho 850mm, x Alto 325mm x Profundo 225mm. Medidas y Peso del Compresor: Peso: 25kg. Ancho 775mm, x Alto 530mm x Profundo 340mm. Garantia 3 años en compresor, 1 año en equipo.","Minisplit LG Dual Sensing VO121C1 Inverter, Enfriamiento, 12,000 BTU/h, 1 TON. Compresor Dual Inverter, 115V/60Hz. Solo frio. Fast cooling, Smart diagnosis, Color. Blanco. Tipo de pantalla LCD. Funciones: Modo sueño, Oscilación automatica en 4 vías, Smart operation. Reinicio automatico, Smart diagnosis. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 8.6kg. Ancho 850mm, x Alto 325mm x Profundo 225mm. Medidas y Peso del Compresor: Peso: 25kg. Ancho 775mm, x Alto 530mm x Profundo 340mm. Garantia 3 años en compresor, 1 año en equipo.. Clave Oficial CT: AIRLGE580. Marca: CT.",LINEA BLANCA,linea_blanca,CT,5183.33,101075.0,161720.0,161720.0,136451.25,136451.25,126343.75,121290.0,assets/img/catalog/linea_blanca/AIRLGE580.jpg,assets/img/catalog/linea_blanca/AIRLGE580.jpg,https://static.ctonline.mx/imagenes/AIRLGE580/AIRLGE580_400.jpg
AIRLGE590,"Minisplit LG Dual Sensing VO121H1 Inverter, Enfriamiento, 12,000 BTU/h, 1 TON. Compresor Dual Inverter, 115V/60Hz. Frio / Calor. Fast cooling, Smart diagnosis, Color. Blanco. Tipo de pantalla LCD. Funciones: Modo sueño, Oscilación automatica en 4 vías, Smart operation. Reinicio automatico, Smart diagnosis. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 8.6kg. Ancho 850mm, x Alto 325mm x Profundo 225mm. Medidas y Peso del Compresor: Peso: 25.5kg. Ancho 770mm, x Alto 530mm x Profundo 340mm. Garantia 3 años en compresor, 1 año en equipo.","Minisplit LG Dual Sensing VO121H1 Inverter, Enfriamiento, 12,000 BTU/h, 1 TON. Compresor Dual Inverter, 115V/60Hz. Frio / Calor. Fast cooling, Smart diagnosis, Color. Blanco. Tipo de pantalla LCD. Funciones: Modo sueño, Oscilación automatica en 4 vías, Smart operation. Reinicio automatico, Smart diagnosis. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 8.6kg. Ancho 850mm, x Alto 325mm x Profundo 225mm. Medidas y Peso del Compresor: Peso: 25.5kg. Ancho 770mm, x Alto 530mm x Profundo 340mm. Garantia 3 años en compresor, 1 año en equipo.. Clave Oficial CT: AIRLGE590. Marca: CT.",LINEA BLANCA,linea_blanca,CT,5433.33,105950.0,169520.0,169520.0,143032.5,143032.5,132437.5,127140.0,assets/img/catalog/linea_blanca/AIRLGE590.jpg,assets/img/catalog/linea_blanca/AIRLGE590.jpg,https://static.ctonline.mx/imagenes/AIRLGE590/AIRLGE590_400.jpg
AIRLGE600,"Minisplit LG Dual Sensing VO122C1 Inverter, Enfriamiento, 12,000 BTU/h, 1 TON. Compresor Dual Inverter, 230V/60Hz. Solo frio. Fast cooling, Smart diagnosis, Color. Blanco. Tipo de pantalla LCD. Funciones: Modo sueño, Oscilación automatica en 4 vías, Smart operation. Reinicio automatico, Smart diagnosis. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 8.6kg. Ancho 850mm, x Alto 325mm x Profundo 225mm. Medidas y Peso del Compresor: Peso: 22kg. Ancho 770mm, x Alto 530mm x Profundo 340mm. Garantia 3 años en compresor, 1 año en equipo.","Minisplit LG Dual Sensing VO122C1 Inverter, Enfriamiento, 12,000 BTU/h, 1 TON. Compresor Dual Inverter, 230V/60Hz. Solo frio. Fast cooling, Smart diagnosis, Color. Blanco. Tipo de pantalla LCD. Funciones: Modo sueño, Oscilación automatica en 4 vías, Smart operation. Reinicio automatico, Smart diagnosis. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 8.6kg. Ancho 850mm, x Alto 325mm x Profundo 225mm. Medidas y Peso del Compresor: Peso: 22kg. Ancho 770mm, x Alto 530mm x Profundo 340mm. Garantia 3 años en compresor, 1 año en equipo.. Clave Oficial CT: AIRLGE600. Marca: CT.",LINEA BLANCA,linea_blanca,CT,5683.33,110825.0,177320.0,177320.0,149613.75,149613.75,138531.25,132990.0,assets/img/catalog/linea_blanca/AIRLGE600.jpg,assets/img/catalog/linea_blanca/AIRLGE600.jpg,https://static.ctonline.mx/imagenes/AIRLGE600/AIRLGE600_400.jpg
AIRLGE610,"Minisplit LG Dual Sensing VO122H1 Inverter, Enfriamiento, 12,000 BTU/h, 1 TON. Compresor Dual Inverter, 230V/60Hz. Frio / Calor. Fast cooling, Smart diagnosis, Color. Blanco. Tipo de pantalla LCD. Funciones: Modo sueño, Oscilación automatica en 4 vías, Smart operation. Reinicio automatico, Smart diagnosis. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 8.6kg. Ancho 850mm, x Alto 325mm x Profundo 225mm. Medidas y Peso del Compresor: Peso: 23.5kg. Ancho 770mm, x Alto 530mm x Profundo 340mm. Garantia 3 años en compresor, 1 año en equipo.","Minisplit LG Dual Sensing VO122H1 Inverter, Enfriamiento, 12,000 BTU/h, 1 TON. Compresor Dual Inverter, 230V/60Hz. Frio / Calor. Fast cooling, Smart diagnosis, Color. Blanco. Tipo de pantalla LCD. Funciones: Modo sueño, Oscilación automatica en 4 vías, Smart operation. Reinicio automatico, Smart diagnosis. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 8.6kg. Ancho 850mm, x Alto 325mm x Profundo 225mm. Medidas y Peso del Compresor: Peso: 23.5kg. Ancho 770mm, x Alto 530mm x Profundo 340mm. Garantia 3 años en compresor, 1 año en equipo.. Clave Oficial CT: AIRLGE610. Marca: CT.",LINEA BLANCA,linea_blanca,CT,5850.0,114075.0,182520.0,182520.0,154001.25,154001.25,142593.75,136890.0,assets/img/catalog/linea_blanca/AIRLGE610.jpg,assets/img/catalog/linea_blanca/AIRLGE610.jpg,https://static.ctonline.mx/imagenes/AIRLGE610/AIRLGE610_400.jpg
AIRLGE670,"MiniSplit DualCool Inverter LG VX121C3. DualCool Inverter, 1 tonelada, Solo Frio, Voltaje 115V / 60Hz, Compresor Dual Inverter, Funcionamiento Silecioso y Confort Sleep, Rapido enfriamiento, Ahorro de energia, Pre.filtro, Auto Cleaning, Instalacion facil y rapida, Recubrimiento anticorrosivo de mayor duracion, Luces LED suaves y naturales, Reinicio automatico, Modo ventilador, 10 años de garantía en centros de servicio LG autorizados en sitio.","MiniSplit DualCool Inverter LG VX121C3. DualCool Inverter, 1 tonelada, Solo Frio, Voltaje 115V / 60Hz, Compresor Dual Inverter, Funcionamiento Silecioso y Confort Sleep, Rapido enfriamiento, Ahorro de energia, Pre.filtro, Auto Cleaning, Instalacion facil y rapida, Recubrimiento anticorrosivo de mayor duracion, Luces LED suaves y naturales, Reinicio automatico, Modo ventilador, 10 años de garantía en centros de servicio LG autorizados en sitio.. Clave Oficial CT: AIRLGE670. Marca: CT.",LINEA BLANCA,linea_blanca,CT,6711.11,130866.67,209386.67,209386.67,176670.0,176670.0,163583.33,157040.0,assets/img/catalog/linea_blanca/AIRLGE670.jpg,assets/img/catalog/linea_blanca/AIRLGE670.jpg,https://static.ctonline.mx/imagenes/AIRLGE670/AIRLGE670_400.jpg
AIRLGE620,"Minisplit LG Dual Sensing VO182C1 Inverter, Enfriamiento, 18,000 BTU/h, 1.5 TON. Compresor Dual Inverter, 230V/60Hz. Solo frio. Fast cooling, Smart diagnosis, Color. Blanco. Tipo de pantalla LCD. Funciones: Modo sueño, Oscilación automatica en 4 vías, Smart operation. Reinicio automatico, Smart diagnosis. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 12kg. Ancho 960mm, x Alto 365mm x Profundo 300mm. Medidas y Peso del Compresor: Peso: 29kg. Ancho 830mm, x Alto 600mm x Profundo 335mm. Garantia 3 años en compresor, 1 año en equipo.","Minisplit LG Dual Sensing VO182C1 Inverter, Enfriamiento, 18,000 BTU/h, 1.5 TON. Compresor Dual Inverter, 230V/60Hz. Solo frio. Fast cooling, Smart diagnosis, Color. Blanco. Tipo de pantalla LCD. Funciones: Modo sueño, Oscilación automatica en 4 vías, Smart operation. Reinicio automatico, Smart diagnosis. Control Remoto. Si. Medidas y Peso del Equipo: Peso: 12kg. Ancho 960mm, x Alto 365mm x Profundo 300mm. Medidas y Peso del Compresor: Peso: 29kg. Ancho 830mm, x Alto 600mm x Profundo 335mm. Garantia 3 años en compresor, 1 año en equipo.. Clave Oficial CT: AIRLGE620. Marca: CT.",LINEA BLANCA,linea_blanca,CT,7766.67,151450.0,242320.0,242320.0,204457.5,204457.5,189312.5,181740.0,assets/img/catalog/linea_blanca/AIRLGE620.jpg,assets/img/catalog/linea_blanca/AIRLGE620.jpg,https://static.ctonline.mx/imagenes/AIRLGE620/AIRLGE620_400.jpg
