sku,nombre,descripcion_completa,categoria_ct,categoria_clasificada,marca,base_cost_usd,costo_proveedor_mxn,precio_original,original,precio,precio_mxn,precio_mayoreo_10pzs,precio_piso_minimo_20,img,local_img
MEMKGN2870,Memoria KINGSTON 8GB 3200MHz DDR4 CL16 DIMM FURY Beast KF432C16BB/8 Negra,Memoria KINGSTON 8GB 3200MHz DDR4 CL16 DIMM FURY Beast KF432C16BB/8 Negra. Clave Oficial CT: MEMKGN2870. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,69.56,1356.33,2170.13,2170.13,1831.05,1831.05,1695.42,1627.6,https://static.ctonline.mx/imagenes/MEMKGN2870/MEMKGN2870_400.jpg,assets/img/catalog/MEMKGN2870.jpg
MEMKGN2910,Memoria KINGSTON 16GB 3200MHz DDR4 CL16 DIMM 1Gx8 FURY Beast KF432C16BB1/16 Negra,Memoria KINGSTON 16GB 3200MHz DDR4 CL16 DIMM 1Gx8 FURY Beast KF432C16BB1/16 Negra. Clave Oficial CT: MEMKGN2910. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,134.24,2617.77,4188.43,4188.43,3533.99,3533.99,3272.21,3141.32,https://static.ctonline.mx/imagenes/MEMKGN2910/MEMKGN2910_400.jpg,assets/img/catalog/MEMKGN2910.jpg
MEMKGN3750,Memoria KINGSTON 16GB 3200MT/s DDR4 CL16 DIMM FURY Beast KF432C16BB/16 Negra,Memoria KINGSTON 16GB 3200MT/s DDR4 CL16 DIMM FURY Beast KF432C16BB/16 Negra. Clave Oficial CT: MEMKGN3750. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,129.76,2530.23,4048.37,4048.37,3415.82,3415.82,3162.79,3036.28,https://static.ctonline.mx/imagenes/MEMKGN3750/MEMKGN3750_400.jpg,assets/img/catalog/MEMKGN3750.jpg
MEMKGN3250,Memoria KINGSTON 32GB 3200MHz DDR4 CL16 DIMM FURY Beast KF432C16BB/32 Negra,Memoria KINGSTON 32GB 3200MHz DDR4 CL16 DIMM FURY Beast KF432C16BB/32 Negra. Clave Oficial CT: MEMKGN3250. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,227.78,4441.67,7106.67,7106.67,5996.25,5996.25,5552.08,5330.0,https://static.ctonline.mx/imagenes/MEMKGN3250/MEMKGN3250_400.jpg,assets/img/catalog/MEMKGN3250.jpg
MEMKGN4390,Memoria KINGSTON 8GB 3200MT/s DDR4 CL16 DIMM FURY Beast RGB KF432C16BB2A/8,Memoria KINGSTON 8GB 3200MT/s DDR4 CL16 DIMM FURY Beast RGB KF432C16BB2A/8. Clave Oficial CT: MEMKGN4390. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,98.0,1911.0,3057.6,3057.6,2579.85,2579.85,2388.75,2293.2,https://static.ctonline.mx/imagenes/MEMKGN4390/MEMKGN4390_400.jpg,assets/img/catalog/MEMKGN4390.jpg
MEMKGN4400,Memoria KINGSTON 16GB 3200MT/s DDR4 CL16 DIMM FURY Beast RGB KF432C16BB2A/16,Memoria KINGSTON 16GB 3200MT/s DDR4 CL16 DIMM FURY Beast RGB KF432C16BB2A/16. Clave Oficial CT: MEMKGN4400. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,134.75,2627.62,4204.2,4204.2,3547.29,3547.29,3284.53,3153.15,https://static.ctonline.mx/imagenes/MEMKGN4400/MEMKGN4400_400.jpg,assets/img/catalog/MEMKGN4400.jpg
MEMKGN5950,Memoria KINGSTON 16GB (2X8) 3200MT/s DDR4 CL16 DIMM FURY Beast RGB KF432C16BB2AK2/16  Kit of 2,Memoria KINGSTON 16GB (2X8) 3200MT/s DDR4 CL16 DIMM FURY Beast RGB KF432C16BB2AK2/16  Kit of 2. Clave Oficial CT: MEMKGN5950. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,166.4,3244.8,5191.68,5191.68,4380.48,4380.48,4056.0,3893.76,https://static.ctonline.mx/imagenes/MEMKGN5950/MEMKGN5950_400.jpg,assets/img/catalog/MEMKGN5950.jpg
MEMKGN4760,Memoria KINGSTON 16GB 3200MHz DDR4 CL16 DIMM 1Gx8 FURY Beast RGB KF432C16BB12A/16,Memoria KINGSTON 16GB 3200MHz DDR4 CL16 DIMM 1Gx8 FURY Beast RGB KF432C16BB12A/16. Clave Oficial CT: MEMKGN4760. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,134.75,2627.62,4204.2,4204.2,3547.29,3547.29,3284.53,3153.15,https://static.ctonline.mx/imagenes/MEMKGN4760/MEMKGN4760_400.jpg,assets/img/catalog/MEMKGN4760.jpg
MEMKGN4420,Memoria KINGSTON 32GB 3200MT/s DDR4 CL16 DIMM FURY Beast RGB KF432C16BB2A/32,Memoria KINGSTON 32GB 3200MT/s DDR4 CL16 DIMM FURY Beast RGB KF432C16BB2A/32. Clave Oficial CT: MEMKGN4420. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,261.25,5094.38,8151.0,8151.0,6877.41,6877.41,6367.97,6113.25,https://static.ctonline.mx/imagenes/MEMKGN4420/MEMKGN4420_400.jpg,assets/img/catalog/MEMKGN4420.jpg
MEMKGN5140,Memoria Kingston 16GB 3200MT/s DDR4 Non-ECC CL22 DIMM 2Rx8 KVR32N22D8/16,Memoria Kingston 16GB 3200MT/s DDR4 Non-ECC CL22 DIMM 2Rx8 KVR32N22D8/16. Clave Oficial CT: MEMKGN5140. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,127.34,2483.04,3972.86,3972.86,3352.1,3352.1,3103.79,2979.64,https://static.ctonline.mx/imagenes/MEMKGN5140/MEMKGN5140_400.jpg,assets/img/catalog/MEMKGN5140.jpg
MEMKGN3060,Memoria KINGSTON 8GB (1x8GB) DDR4 3600MT/s CL17 FURY Beast  KF436C17BB/8 Negra,Memoria KINGSTON 8GB (1x8GB) DDR4 3600MT/s CL17 FURY Beast  KF436C17BB/8 Negra. Clave Oficial CT: MEMKGN3060. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,77.0,1501.5,2402.4,2402.4,2027.03,2027.03,1876.88,1801.8,https://static.ctonline.mx/imagenes/MEMKGN3060/MEMKGN3060_400.jpg,assets/img/catalog/MEMKGN3060.jpg
MEMKGN2920,Memoria KINGSTON 16GB 3600MHz DDR4 CL18 DIMM FURY Beast KF436C18BB/16 Negra,Memoria KINGSTON 16GB 3600MHz DDR4 CL18 DIMM FURY Beast KF436C18BB/16 Negra. Clave Oficial CT: MEMKGN2920. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,142.5,2778.75,4446.0,4446.0,3751.31,3751.31,3473.44,3334.5,https://static.ctonline.mx/imagenes/MEMKGN2920/MEMKGN2920_400.jpg,assets/img/catalog/MEMKGN2920.jpg
MEMKGN3380,Memoria KINGSTON 32GB 3600MHz DDR4 CL18 DIMM FURY Beast KF436C18BB/32 Negra,Memoria KINGSTON 32GB 3600MHz DDR4 CL18 DIMM FURY Beast KF436C18BB/32 Negra. Clave Oficial CT: MEMKGN3380. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,142.5,2778.75,4446.0,4446.0,3751.31,3751.31,3473.44,3334.5,https://static.ctonline.mx/imagenes/MEMKGN3380/MEMKGN3380_400.jpg,assets/img/catalog/MEMKGN3380.jpg
MEMKGN4430,Memoria KINGSTON 8GB 3600MT/s DDR4 CL17 DIMM FURY Beast RGB KF436C17BB2A/8,Memoria KINGSTON 8GB 3600MT/s DDR4 CL17 DIMM FURY Beast RGB KF436C17BB2A/8. Clave Oficial CT: MEMKGN4430. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,82.25,1603.88,2566.2,2566.2,2165.23,2165.23,2004.84,1924.65,https://static.ctonline.mx/imagenes/MEMKGN4430/MEMKGN4430_400.jpg,assets/img/catalog/MEMKGN4430.jpg
MEMKGN4440,Memoria KINGSTON 16GB 3600MT/s DDR4 CL18 DIMM FURY Beast RGB KF436C18BB2A/16,Memoria KINGSTON 16GB 3600MT/s DDR4 CL18 DIMM FURY Beast RGB KF436C18BB2A/16. Clave Oficial CT: MEMKGN4440. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,147.5,2876.25,4602.0,4602.0,3882.94,3882.94,3595.31,3451.5,https://static.ctonline.mx/imagenes/MEMKGN4440/MEMKGN4440_400.jpg,assets/img/catalog/MEMKGN4440.jpg
MEMKGN5570,Memoria KINGSTON 16GB 6000MT/s DDR5 CL30 DIMM FURY Beast KF560C30BBE-16,Memoria KINGSTON 16GB 6000MT/s DDR5 CL30 DIMM FURY Beast KF560C30BBE-16. Clave Oficial CT: MEMKGN5570. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,190.75,3719.62,5951.4,5951.4,5021.49,5021.49,4649.53,4463.55,https://static.ctonline.mx/imagenes/MEMKGN5570/MEMKGN5570_400.jpg,assets/img/catalog/MEMKGN5570.jpg
MEMKGN5580,Memoria KINGSTON 32GB 6000MT/s DDR5 CL30 DIMM FURY Beast KF560C30BBE-32,Memoria KINGSTON 32GB 6000MT/s DDR5 CL30 DIMM FURY Beast KF560C30BBE-32. Clave Oficial CT: MEMKGN5580. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,426.67,8320.0,13312.0,13312.0,11232.0,11232.0,10400.0,9984.0,https://static.ctonline.mx/imagenes/MEMKGN5580/MEMKGN5580_400.jpg,assets/img/catalog/MEMKGN5580.jpg
MEMKGN5590,Memoria KINGSTON 16GB 6000MT/s DDR5 CL30 DIMM FURY Beast RGB KF560C30BBEA-16,Memoria KINGSTON 16GB 6000MT/s DDR5 CL30 DIMM FURY Beast RGB KF560C30BBEA-16. Clave Oficial CT: MEMKGN5590. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,221.22,4313.83,6902.13,6902.13,5823.68,5823.68,5392.29,5176.6,https://static.ctonline.mx/imagenes/MEMKGN5590/MEMKGN5590_400.jpg,assets/img/catalog/MEMKGN5590.jpg
MEMKGN3420,Memoria KINGSTON 16GB 5200MHz DDR5 CL40 DIMM FURY Beast KF552C40BB-16  Negra,Memoria KINGSTON 16GB 5200MHz DDR5 CL40 DIMM FURY Beast KF552C40BB-16  Negra. Clave Oficial CT: MEMKGN3420. Marca: CT.,COMPONENTES DE ENSAMBLE,memorias_ram,CT,208.66,4068.78,6510.05,6510.05,5492.86,5492.86,5085.98,4882.54,https://static.ctonline.mx/imagenes/MEMKGN3420/MEMKGN3420_400.jpg,assets/img/catalog/MEMKGN3420.jpg
