sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,garantia,disponibilidad_gdl
MEMKGN3690,MEMKGN3690,Memoria Kingston Propietaria 32GB 3200MT/S DDR4 CL22 DIMM 1.2V PARA SERVIDOR KTD-PE432E/32G,Memoria Kingston Propietaria 32GB 3200MT/S DDR4 CL22 DIMM 1.2V PARA SERVIDOR KTD-PE432E/32G,32GB,d,562.39,10966.6,562.39,16449.9,16449.9,21933.2,15353.24,13159.92,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/MEMKGN3690.jpg,https://static.ctonline.mx/imagenes/MEMKGN3690/MEMKGN3690_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MEMKGN3900,MEMKGN3900,Memoria Kingston Propietaria 16GB 3200MT/S DDR4 CL22 DIMM 1.2V PARA SERVIDOR KTH-PL432ES8/16G,Memoria Kingston Propietaria 16GB 3200MT/S DDR4 CL22 DIMM 1.2V PARA SERVIDOR KTH-PL432ES8/16G,16GB,d,284.02,5538.39,284.02,8307.59,8307.59,11076.78,7753.75,6646.07,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/MEMKGN3900.jpg,https://static.ctonline.mx/imagenes/MEMKGN3900/MEMKGN3900_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MEMKGN4920,MEMKGN4920,Memoria Kingston Propietaria 32GB 3200MT/S DDR4 CL22 DIMM 1.2V PARA SERVIDOR KTH-PL432E/32G,Memoria Kingston Propietaria 32GB 3200MT/S DDR4 CL22 DIMM 1.2V PARA SERVIDOR KTH-PL432E/32G,32GB,d,562.39,10966.6,562.39,16449.9,16449.9,21933.2,15353.24,13159.92,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/MEMKGN4920.jpg,https://static.ctonline.mx/imagenes/MEMKGN4920/MEMKGN4920_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUWSD3140,DDUWSD3140,"Disco Duro Western Digital GOLD WD6003FRYZ 6TB 3.5, Factor de forma: 3.5, Interfaz: SATA, Veloc","Disco Duro Western Digital GOLD WD6003FRYZ 6TB 3.5, Factor de forma: 3.5, Interfaz: SATA, Velocidad de transferencia: hasta 255MB/s, RPM: 7200 RPM, Cache Size: 256MB, Temperatura de funcionamiento: 5°C to 60°C, Certificaciones: BSMI, ICES-003/NMB-003, CE, FCC, KC, Maghreb, RCM, UKCA, VCCI, CB-Scheme, TUV, UL: Compatibilidad: Compatible con Windows, Windows Server y Linux     Modelo: WD6003FRYZ",CT,d,197.98888888888888,3860.78,197.99,5791.17,5791.17,7721.56,5405.09,4632.94,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/DDUWSD3140.jpg,https://static.ctonline.mx/imagenes/DDUWSD3140/DDUWSD3140_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUWSD2680,DDUWSD2680,"Disco Duro Western Digital Gold WD103KRYZ 10TB, Factor de forma: 3.5 pulgadas, Conector: SATA, ","Disco Duro Western Digital Gold WD103KRYZ 10TB, Factor de forma: 3.5 pulgadas, Conector: SATA, Interfaz: SATA,  Tasa de transferencia: hasta 267 MB/s, Velocidad del disco (RPM): 7200 RPM, Tecnología de grabación: CMR, Tamaño de caché: 512 MB, Temperatura de funcionamiento5°C a 60°C, Compatibilidad: Ventanas®, Servidor Windows®, Linux®, macOS®.    Modelo: WD103KRYZ",CT,d,282.8333333333333,5515.25,282.83,8272.88,8272.88,11030.5,7721.35,6618.3,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/DDUWSD2680.jpg,https://static.ctonline.mx/imagenes/DDUWSD2680/DDUWSD2680_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
DDUWSD2610,DDUWSD2610,"Disco Duro Western Digital PURPLE WD221PURP 22TB, Formato: 3.5"", Conector: SATA, RPM: 7200 RPM,","Disco Duro Western Digital PURPLE WD221PURP 22TB, Formato: 3.5"", Conector: SATA, RPM: 7200 RPM, Velocidad de transferencia: hasta 265MB/s, Tecnología de grabación: CMR, Tamaño de caché: 512MB, Temp. Operativa: 0°C to 65°C, Certificaciones: BSMI, ICES-003/NMB-003, CE, FCC, KC, Maghreb, RCM, UKCA, VCCI, CB-Scheme, TUV, UL , Diseñados para grabadoras avanzadas que emplean IA, dispositivos de análisis de video, servidores de aprendizaje profundo y almacenamiento en la nube, e incluyen RAID y JBOD  Modelo: WD221PURP",CT,d,537.4742222222221,10480.75,537.47,15721.12,15721.12,20961.5,14673.05,12576.9,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/DDUWSD2610.jpg,https://static.ctonline.mx/imagenes/DDUWSD2610/DDUWSD2610_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CPUASS1350,CPUASS1350,"ASUS OPBG NUC 14 Pro RNUC14MNK1500001 es una mini PC de alto rendimiento, equipada con procesad","ASUS OPBG NUC 14 Pro RNUC14MNK1500001 es una mini PC de alto rendimiento, equipada con procesadores Intel® Core™ Ultra 5 de 14 núcleos y gráficos Intel® Arc™ o Intel® Graphics, dependiendo del modelo. Ofrece soporte para hasta 96 GB de memoria RAM DDR5 y almacenamiento de hasta 4 TB en SSD M.2, además de un disco duro de 2.5"" en su versión Tall. En términos de conectividad, cuenta con Wi-Fi 6E, Bluetooth® 5.3, puertos Thunderbolt™ 4, USB 3.2 Gen 2, HDMI 2.1 y Ethernet 2.5G. Viene con opciones de sistema operativo como Windows 11 Pro, Ubuntu o RedHat Linux. Su diseño incluye un botón Copilot AI para acceso rápido a la inteligencia artificial, y un chasis sin herramientas para fácil mantenimiento. El NUC 14 Pro también soporta tareas de inteligencia artificial con motores dedicados para la CPU, GPU y NPU, lo que lo convierte en una excelente opción para trabajos que requieren alto rendimiento y eficiencia",ASUS,d,157.95454545454547,3080.11,157.95,4620.16,4620.16,6160.22,4312.15,3696.13,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/CPUASS1350.jpg,https://static.ctonline.mx/imagenes/CPUASS1350/CPUASS1350_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CPUASS1440,CPUASS1440,Mini PC ASUS PN42-BBFN1000X1FC ultracompacta sin ventilador con procesador Intel N100 y gráfico,"Mini PC ASUS PN42-BBFN1000X1FC ultracompacta sin ventilador con procesador Intel N100 y gráficos Intel UHD, admite pantallas triples o pantallas duales 4K, 1 SSD PCIe Gen3 x4 M.2 NVMe, LAN dual de 2.5 Gb, WiFi 6E, Windows 11 Pro, Conectividad completa: Soporta 7 puertos USB, opción de segundo puerto LAN de 2.5G, y soporte para DP1.4/VGA/COM/HDMI/USB Type-C con DP1.4 como opción configurable",ASUS,d,151.13636363636363,2947.16,151.14,4420.74,4420.74,5894.32,4126.02,3536.59,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/CPUASS1440.jpg,https://static.ctonline.mx/imagenes/CPUASS1440/CPUASS1440_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CPUASS1250,CPUASS1250,MINI PC ASUS PN43 ASUS ExpertCenter PN43 (ordenador básico) Sistema operativo Windows 11 Pro Wi,"MINI PC ASUS PN43 ASUS ExpertCenter PN43 (ordenador básico) Sistema operativo Windows 11 Pro Windows 11 Hogar CPU Procesador Intel® N100, TDP de 6 W Procesador Intel® N200, TDP de 6 W Procesador Intel® N97, TDP de 12 W Procesador Intel® N100, TDP de 6 W Procesador Intel® N200, TDP de 6 W Procesador Intel® N97, TDP de 12 W Gráficos  Intel® UHD integrados Gráficos Intel® UHD integrados Almacenamiento 1 x M.2 2280 PCIe Gen3x4, compatible con SSD NVMe™ de 128 GB a 2 TB 1 x M.2 2280 PCIe Gen3x4, compatible con SSD NVMe™ de 128 GB a 2 TB Red de datos inalámbrica Tarjeta inalámbrica Intel® Wi-Fi 6E (Gig+) 2x2 + Bluetooth® 5.3 Tarjeta inalámbrica Intel® Wi-Fi 6 (Gig+) 2x2 + Bluetooth® 5.2 *Las regulaciones de WiFi 7 y WiFi 6E 6GHz pueden variar entre países. Tarjeta inalámbrica Intel® Wi-Fi 6E (Gig+) 2x2 + Bluetooth® 5.3 Tarjeta inalámbrica Intel® Wi-Fi 6 (Gig+) 2x2 + Bluetooth® 5.2 *Las regulaciones de WiFi 7 y WiFi 6E 6GHz pueden variar entre países. Red local 10/100/1000/2500 Mbps, red LAN de 2,5 G 10/100/1000/2500 Mbps, red LAN de 2,5 G Puertos de E/S frontales (laterales) 4 X USB 3.2 Gen 1 Tipo-A 1 x Entrada de micrófono 1 x Conector de audio (Salida de línea/Entrada de micrófono/Salida de auriculares) 4 X USB 3.2 Gen 1 Tipo-A 1 x Entrada de micrófono 1 x Conector de audio (Salida de línea/Entrada de micrófono/Salida de auriculares) Puertos de E/S posteriores 3 x USB 2.0, 1 x DisplayPort 1.4 1 x HDMI 2.1 (hasta 4K a 60 Hz) 1 x configurable 1 x 2.5G RJ45 LAN 1 x 2.5G RJ45 LAN (opcional) 1 x entrada de CC 1 x anillo de candado 3 x USB 2.0, 1 x DisplayPort 1.4 1 x HDMI 2.1 (hasta 4K a 60 Hz) 1 x configurable 1 x 2.5G RJ45 LAN 1 x 2.5G RJ45 LAN (opcional) 1 x entrada de CC 1 x anillo de candado Vocero No  Fuente de alimentación Adaptador de corriente de 19 V CC, 3,42 A, 65 W Adaptador de corriente de 19 V CC, 3,42 A, 65 W Dimensiones (An x Pr x Al) 166,2 x 119,7 x 33,9 mm 166,2 x 119,7 x 33,9 mm Peso 0,7 kg 0,7 kg Color Negro  Accesorios Adaptador de CA DVD con controlador (solo SKU sin SO) Cable de alimentación Paquete de tornillos Manual del usuario Tarjeta de garantía Teclado y mouse (opcional) Soporte VESA (opcional) Adaptador de CA DVD con controlador (solo SKU sin SO) Cable de alimentación Paquete de tornillos Manual del usuario Tarjeta de garantía Teclado y mouse (opcional) Soporte VESA (opcional) Certificados Certificaciones BSMI/CB/CE/FCC/UL/CCC/Energy Star/C-Tick/WiFi/RF/VCCI Conjunto de chips Integrado  Memoria 1 x DDR4 SO-DIMM, máx. 32 GB x 1 * La compatibilidad con memoria puede variar según las características de la CPU.",MINI,d,183.0340909090909,3569.16,183.03,5353.74,5353.74,7138.32,4996.82,4282.99,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/CPUASS1250.jpg,https://static.ctonline.mx/imagenes/CPUASS1250/CPUASS1250_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
CPUASS1330,CPUASS1330,"ASUS OPBG NUC 13 Pro RNUC13ANKI30000UI es una mini PC barebone ultracompacta, equipada con un p","ASUS OPBG NUC 13 Pro RNUC13ANKI30000UI es una mini PC barebone ultracompacta, equipada con un procesador Intel Core i3-1315U de 13ª generación (6 núcleos, hasta 4.5 GHz) y gráficos integrados Intel UHD. Admite hasta 64 GB de RAM DDR4-3200 en doble canal y ofrece dos ranuras M.2 para almacenamiento: una PCIe 4.0 x4 (2280) y otra SATA/PCIe 3.0 (2242). Su conectividad incluye Wi-Fi 6E, Bluetooth 5.3, Ethernet 2.5 GbE, 2 puertos Thunderbolt 4, 2 HDMI 2.1 y múltiples puertos USB. Con un diseño compacto de 117 x 112 x 37 mm y un peso de 502 g, es ideal para entornos empresariales y profesionales que requieren alto rendimiento en un formato reducido.",ASUS,d,319.5909090909091,6232.02,319.59,9348.03,9348.03,12464.04,8724.83,7478.42,mini_pcs_ia,./assets/img/catalog/mini_pcs_ia/CPUASS1330.jpg,https://static.ctonline.mx/imagenes/CPUASS1330/CPUASS1330_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
