sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl
CPUINT4720,CPUINT4720,"Procesador Intel® Core™ Ultra 9 285K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibili","Procesador Intel® Core™ Ultra 9 285K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5, los procesadores de escritorio Intel® Core™ Ultra 9 (serie 2) desbloqueados están optimizados para jugadores entusiastas y creadores serios y ayudan a ofrecer un alto rendimiento. Compatible con placas base chipset serie 800. Potencia base del procesador de 125 W. NO INCLUYE DISIPADOR.",PC CUSTOM,d,572.2777777777777,11159.42,572.28,13391.3,13391.3,17855.07,12833.33,13391.3,procesadores,./assets/img/catalog/procesadores/CPUINT4720.jpg,https://static.ctonline.mx/imagenes/CPUINT4720/CPUINT4720_400.jpg,./assets/img/placeholders/cpu_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT4730,CPUINT4730,"Procesador Intel® Core™ Ultra 7 265K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibili","Procesador Intel® Core™ Ultra 7 265K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5, los procesadores de escritorio Intel® Core™ Ultra 7 (serie 2) desbloqueados están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. Compatible con placas base chipset serie 800. Potencia base del procesador de 125 W. NO INCLUYE DISIPADOR.",PC CUSTOM,d,338.4555555555556,6599.88,338.46,7919.86,7919.86,10559.81,7589.86,7919.86,procesadores,./assets/img/catalog/procesadores/CPUINT4730.jpg,https://static.ctonline.mx/imagenes/CPUINT4730/CPUINT4730_400.jpg,./assets/img/placeholders/cpu_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT4740,CPUINT4740,"Procesador Intel® Core™ Ultra 7 265KF, LGA 1851. SIN GRAFICOS DE PROCESADOR. Con compatibilidad","Procesador Intel® Core™ Ultra 7 265KF, LGA 1851. SIN GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5, los procesadores de escritorio Intel® Core™ Ultra 7 (serie 2) desbloqueados están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. Se requieren gráficos discretos. Compatible con placas base chipset serie 800. Potencia base del procesador de 125 W. NO INCLUYE DISIPADOR.",PC CUSTOM,d,284.44444444444446,5546.67,284.44,6656.0,6656.0,8874.67,6378.67,6656.0,procesadores,./assets/img/catalog/procesadores/CPUINT4740.jpg,https://static.ctonline.mx/imagenes/CPUINT4740/CPUINT4740_400.jpg,./assets/img/placeholders/cpu_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT4750,CPUINT4750,"Procesador Intel® Core™ Ultra 5 245K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibili","Procesador Intel® Core™ Ultra 5 245K, LGA 1851. INCLUYE GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5, los procesadores de escritorio Intel® Core™ Ultra 5 (serie 2) desbloqueados están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. Compatible con placas base chipset serie 800. Potencia base del procesador de 125 W. NO INCLUYE DISIPADOR.",PC CUSTOM,d,213.85555555555555,4170.18,213.86,5004.22,5004.22,6672.29,4795.71,5004.22,procesadores,./assets/img/catalog/procesadores/CPUINT4750.jpg,https://static.ctonline.mx/imagenes/CPUINT4750/CPUINT4750_400.jpg,./assets/img/placeholders/cpu_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT4760,CPUINT4760,"Procesador Intel® Core™ Ultra 5 245KF, LGA 1851. SIN GRAFICOS DE PROCESADOR. Con compatibilidad","Procesador Intel® Core™ Ultra 5 245KF, LGA 1851. SIN GRAFICOS DE PROCESADOR. Con compatibilidad con PCIe 5.0 y 4.0 y compatibilidad con DDR5, los procesadores de escritorio Intel® Core™ Ultra 5 (serie 2) desbloqueados están optimizados para los jugadores y la productividad y ayudan a ofrecer un alto rendimiento. Se requieren gráficos discretos. Compatible con placas base chipset serie 800. Potencia base del procesador de 125 W. NO INCLUYE DISIPADOR.",PC CUSTOM,d,202.38888888888889,3946.58,202.39,4735.9,4735.9,6314.53,4538.57,4735.9,procesadores,./assets/img/catalog/procesadores/CPUINT4760.jpg,https://static.ctonline.mx/imagenes/CPUINT4760/CPUINT4760_400.jpg,./assets/img/placeholders/cpu_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT4770,CPUINT4770,"Procesador Intel® Core™ Ultra 9 para escritorio 285 LGA 1851, 24 cores (8P + 16E) Hasta 5.4 GHz","Procesador Intel® Core™ Ultra 9 para escritorio 285 LGA 1851, 24 cores (8P + 16E) Hasta 5.4 GHz. Compatible con PCIe 5.0 y 4.0, así como con DDR5-6400, caché total 40 MB. Los procesadores Intel® Core™ Ultra 9 para escritorio (serie 2) están optimizados para jugadores entusiastas y creadores profesionales, y ofrecen un alto rendimiento. Compatible con placas base serie 800. Potencia base del procesador: 65 W. Intel® RH2 incluido. INCLUYE GRAFICOS.",PC CUSTOM,d,558.8888888888889,10898.33,558.89,13078.0,13078.0,17437.33,12533.08,13078.0,procesadores,./assets/img/catalog/procesadores/CPUINT4770.jpg,https://static.ctonline.mx/imagenes/CPUINT4770/CPUINT4770_400.jpg,./assets/img/placeholders/cpu_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT4780,CPUINT4780,"Procesador Intel® Core™ Ultra 7 para escritorio 265 LGA 1851, 20 cores (8P + 12E) Hasta 5.3 GHz","Procesador Intel® Core™ Ultra 7 para escritorio 265 LGA 1851, 20 cores (8P + 12E) Hasta 5.3 GHz. Compatible con PCIe 5.0 y 4.0, así como con DDR5-6400, caché total 36 MB. Los procesadores Intel® Core™ Ultra 7 para escritorio (serie 2) están optimizados para jugadores y productividad, y ofrecen un alto rendimiento. Compatible con placas base serie 800. Potencia base del procesador: 65 W. Intel® RM2 incluido. INCLUYE GRAFICOS.",PC CUSTOM,d,387.77777777777777,7561.67,387.78,9074.0,9074.0,12098.67,8695.92,9074.0,procesadores,./assets/img/catalog/procesadores/CPUINT4780.jpg,https://static.ctonline.mx/imagenes/CPUINT4780/CPUINT4780_400.jpg,./assets/img/placeholders/cpu_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT4790,CPUINT4790,"Procesador Intel® Core™ Ultra 7 para escritorio 265F LGA 1851, 20 cores (8P + 12E) Hasta 5.3 GH","Procesador Intel® Core™ Ultra 7 para escritorio 265F LGA 1851, 20 cores (8P + 12E) Hasta 5.3 GHz. Compatible con PCIe 5.0 y 4.0, así como con DDR5-6400, caché total 36 MB. Los procesadores Intel® Core™ Ultra 7 para escritorio (serie 2) están optimizados para jugadores y productividad, y ofrecen un alto rendimiento. Compatible con placas base serie 800. Potencia base del procesador: 65 W. Intel® RM2 incluido. NECESITA GRAFICOS.",PC CUSTOM,d,347.8333333333333,6782.75,347.83,8139.3,8139.3,10852.4,7800.16,8139.3,procesadores,./assets/img/catalog/procesadores/CPUINT4790.jpg,https://static.ctonline.mx/imagenes/CPUINT4790/CPUINT4790_400.jpg,./assets/img/placeholders/cpu_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT4800,CPUINT4800,"Procesador Intel® Core™ Ultra 5 para escritorio 225 LGA 1851, 10 cores (6P + 4E) Hasta 4.9 GHz.","Procesador Intel® Core™ Ultra 5 para escritorio 225 LGA 1851, 10 cores (6P + 4E) Hasta 4.9 GHz. Compatible con PCIe 5.0 y 4.0, así como con DDR5-6400, caché total 22 MB. Los procesadores Intel® Core™ Ultra 5 para escritorio (serie 2) están optimizados para jugadores y productividad, y ofrecen un alto rendimiento. Compatible con placas base serie 800. Potencia base del procesador: 65 W. Intel® RM2 incluido. INCLUYE GRAFICOS.",PC CUSTOM,d,178.88888888888889,3488.33,178.89,4186.0,4186.0,5581.33,4011.58,4186.0,procesadores,./assets/img/catalog/procesadores/CPUINT4800.jpg,https://static.ctonline.mx/imagenes/CPUINT4800/CPUINT4800_400.jpg,./assets/img/placeholders/cpu_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
CPUINT4810,CPUINT4810,"Procesador Intel® Core™ Ultra 5 para escritorio 225F LGA 1851, 10 cores (6P + 4E) Hasta 4.9 GHz","Procesador Intel® Core™ Ultra 5 para escritorio 225F LGA 1851, 10 cores (6P + 4E) Hasta 4.9 GHz. Compatible con PCIe 5.0 y 4.0, así como con DDR5-6400, caché total 22 MB. Los procesadores Intel® Core™ Ultra 5 para escritorio (serie 2) están optimizados para jugadores y productividad, y ofrecen un alto rendimiento. Compatible con placas base serie 800. Potencia base del procesador: 65 W. Intel® RM2 incluido. NECESITA GRAFICOS.",PC CUSTOM,d,143.7222222222222,2802.58,143.72,3363.1,3363.1,4484.13,3222.97,3363.1,procesadores,./assets/img/catalog/procesadores/CPUINT4810.jpg,https://static.ctonline.mx/imagenes/CPUINT4810/CPUINT4810_400.jpg,./assets/img/placeholders/cpu_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata)
