sku,nombre,descripcion_completa,categoria_ct,marca,costo_base,precio_mxn,precio_original,img,brand_logo,ficha_url,costo_proveedor_mxn,precio,precio_mayoreo_10pzs,margen_aplicado,img_local,img_cdn,categoria_clasificada,utilidad_neta_minima,local_img
MEMRBT860,"MEMORIA FLASH USB 32GB, POLLITO DISFRAZADO DE RANITA  (190432-46 ), Brobotix Almacena y transfiere tus archivos, música ","MEMORIA FLASH USB 32GB, POLLITO DISFRAZADO DE RANITA  (190432-46 ), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y demás, de forma segura y divertida con la nueva Memoria Flash USB con diseño animado y capacidad de 32 GB.- Capacidad de 32 GB. Pequeño y ligero. Fácil de transportar. Su tecnologia USB 2.0 ofrece mayor velocidad de lectura y escritura para una rápida y segura transferencia de archivos. Gran variedad de diseños divertidos. Especificaciones: Plug & Play.  Interfaz USB 2.0  Compatible con: Windows me/2000/XP/Vista/7/8/10, Mac OS X 9.0 y posteriores.   Color: Verde y Amarillo",COMPONENTES DE ENSAMBLE,FLASH,6.01,158.25,187.55,https://static.ctonline.mx/imagenes/MEMRBT860/MEMRBT860_400.jpg,https://static.ctonline.mx/marcas/png/FLASH.png,https://ctonline.mx/buscar/productos?b=MEMRBT860,117.22,158.25,140.66,35%,assets/img/catalog/MEMRBT860.jpg,https://static.ctonline.mx/imagenes/MEMRBT860/MEMRBT860_400.jpg,punto_de_venta,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRBT860/MEMRBT860_400.jpg
MEMRBT850,"MEMORIA FLASH USB 32GB, CERDITO 2  (190432-36), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imá","MEMORIA FLASH USB 32GB, CERDITO 2  (190432-36), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y demás, de forma segura y divertida con la nueva Memoria Flash USB con diseño animado y capacidad de 32 GB.- Capacidad de 32 GB. Pequeño y ligero. Fácil de transportar. Su tecnología USB 2.0 ofrece mayor velocidad de lectura y escritura para una rápida y segura transferencia de archivos. Gran variedad de diseños divertidos. Especificaciones: Plug & Play.  Interfaz USB 2.0  Compatible con: Windows me/2000/XP/Vista/7/8/10, Mac OS X 9.0 y posteriores.   Color: Rosa",COMPONENTES DE ENSAMBLE,FLASH,6.01,158.25,187.55,https://static.ctonline.mx/imagenes/MEMRBT850/MEMRBT850_400.jpg,https://static.ctonline.mx/marcas/png/FLASH.png,https://ctonline.mx/buscar/productos?b=MEMRBT850,117.22,158.25,140.66,35%,assets/img/catalog/MEMRBT850.jpg,https://static.ctonline.mx/imagenes/MEMRBT850/MEMRBT850_400.jpg,punto_de_venta,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRBT850/MEMRBT850_400.jpg
MEMRBT530,"MEMORIA USB 32GB BECERRO (190432-1), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y dem","MEMORIA USB 32GB BECERRO (190432-1), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y demás, de forma segura y divertida con la nueva Memoria Flash USB con diseño animado y capacidad de 32 GB.- Capacidad de 32 GB. Pequeño y ligero. Fácil de transportar. Su tecnología USB 2.0 ofrece mayor velocidad de lectura y escritura para una rápida y segura transferencia de archivos. Gran variedad de diseños divertidos. Especificaciones: Plug & Play. Interfaz USB 2.0 Compatible con: Windows me/2000/XP/Vista/7/8/10, Mac OS X 9.0 y posteriores.  Color: Café",COMPONENTES DE ENSAMBLE,USB,6.01,158.25,187.55,https://static.ctonline.mx/imagenes/MEMRBT530/MEMRBT530_400.jpg,https://static.ctonline.mx/marcas/png/USB.png,https://ctonline.mx/buscar/productos?b=MEMRBT530,117.22,158.25,140.66,35%,assets/img/catalog/MEMRBT530.jpg,https://static.ctonline.mx/imagenes/MEMRBT530/MEMRBT530_400.jpg,punto_de_venta,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRBT530/MEMRBT530_400.jpg
MEMRBT500,"MEMORIA FLASH USB 32GB, BÚHO AZUL (190432-2), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imáge","MEMORIA FLASH USB 32GB, BÚHO AZUL (190432-2), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y demás, de forma segura y divertida con la nueva Memoria Flash USB con diseño animado y capacidad de 32 GB.- Capacidad de 32 GB. Pequeño y ligero. Fácil de transportar. Su tecnología USB 2.0 ofrece mayor velocidad de lectura y escritura para una rápida y segura transferencia de archivos. Gran variedad de diseños divertidos. Especificaciones: Plug & Play. Interfaz USB 2.0 Compatible con: Windows me/2000/XP/Vista/7/8/10, Mac OS X 9.0 y posteriores. Color: Azul",COMPONENTES DE ENSAMBLE,FLASH,6.01,158.25,187.55,https://static.ctonline.mx/imagenes/MEMRBT500/MEMRBT500_400.jpg,https://static.ctonline.mx/marcas/png/FLASH.png,https://ctonline.mx/buscar/productos?b=MEMRBT500,117.22,158.25,140.66,35%,assets/img/catalog/MEMRBT500.jpg,https://static.ctonline.mx/imagenes/MEMRBT500/MEMRBT500_400.jpg,punto_de_venta,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRBT500/MEMRBT500_400.jpg
MEMRBT540,"MEMORIA USB 32GB BULLDOG MIN (190432-3), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y","MEMORIA USB 32GB BULLDOG MIN (190432-3), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y demás, de forma segura y divertida con la nueva Memoria Flash USB con diseño animado y capacidad de 32 GB.- Capacidad de 32 GB. Pequeño y ligero. Fácil de transportar. Su tecnología USB 2.0 ofrece mayor velocidad de lectura y escritura para una rápida y segura transferencia de archivos. Gran variedad de diseños divertidos. Especificaciones: Plug & Play. Interfaz USB 2.0 Compatible con: Windows me/2000/XP/Vista/7/8/10, Mac OS X 9.0 y posteriores. Color: Café",COMPONENTES DE ENSAMBLE,USB,6.01,158.25,187.55,https://static.ctonline.mx/imagenes/MEMRBT540/MEMRBT540_400.jpg,https://static.ctonline.mx/marcas/png/USB.png,https://ctonline.mx/buscar/productos?b=MEMRBT540,117.22,158.25,140.66,35%,assets/img/catalog/MEMRBT540.jpg,https://static.ctonline.mx/imagenes/MEMRBT540/MEMRBT540_400.jpg,punto_de_venta,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRBT540/MEMRBT540_400.jpg
MEMRBT550,"MEMORIA FLASH USB 32GB, BURRITO MORADO (190432-4), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, ","MEMORIA FLASH USB 32GB, BURRITO MORADO (190432-4), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y demás, de forma segura y divertida con la nueva Memoria Flash USB con diseño animado y capacidad de 32 GB.- Capacidad de 32 GB. Pequeño y ligero. Fácil de transportar. Su tecnología USB 2.0 ofrece mayor velocidad de lectura y escritura para una rápida y segura transferencia de archivos. Gran variedad de diseños divertidos. Especificaciones: Plug & Play.  Interfaz USB 2.0 Compatible con: Windows me/2000/XP/Vista/7/8/10, Mac OS X 9.0 y posteriores.   Color: Morado",COMPONENTES DE ENSAMBLE,FLASH,6.01,158.25,187.55,https://static.ctonline.mx/imagenes/MEMRBT550/MEMRBT550_400.jpg,https://static.ctonline.mx/marcas/png/FLASH.png,https://ctonline.mx/buscar/productos?b=MEMRBT550,117.22,158.25,140.66,35%,assets/img/catalog/MEMRBT550.jpg,https://static.ctonline.mx/imagenes/MEMRBT550/MEMRBT550_400.jpg,punto_de_venta,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRBT550/MEMRBT550_400.jpg
MEMRBT560,"MEMORIA FLASH USB 32GB, CALAVERA (190432-5), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágen","MEMORIA FLASH USB 32GB, CALAVERA (190432-5), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y demás, de forma segura y divertida con la nueva Memoria Flash USB con diseño animado y capacidad de 32 GB.- Capacidad de 32 GB. Pequeño y ligero. Fácil de transportar. Su tecnología USB 2.0 ofrece mayor velocidad de lectura y escritura para una rápida y segura transferencia de archivos. Gran variedad de diseños divertidos. Especificaciones: Plug & Play. Interfaz USB 2.0 Compatible con: Windows me/2000/XP/Vista/7/8/10, Mac OS X 9.0 y posteriores.   Color: Negro",COMPONENTES DE ENSAMBLE,FLASH,6.07,159.71,189.28,https://static.ctonline.mx/imagenes/MEMRBT560/MEMRBT560_400.jpg,https://static.ctonline.mx/marcas/png/FLASH.png,https://ctonline.mx/buscar/productos?b=MEMRBT560,118.3,159.71,141.96,35%,assets/img/catalog/MEMRBT560.jpg,https://static.ctonline.mx/imagenes/MEMRBT560/MEMRBT560_400.jpg,punto_de_venta,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRBT560/MEMRBT560_400.jpg
MEMRBT570,"MEMORIA FLASH USB 32GB, CATARINA (190432-6), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágen","MEMORIA FLASH USB 32GB, CATARINA (190432-6), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y demás, de forma segura y divertida con la nueva Memoria Flash USB con diseño animado y capacidad de 32 GB.- Capacidad de 32 GB. Pequeño y ligero. Fácil de transportar. Su tecnología USB 2.0 ofrece mayor velocidad de lectura y escritura para una rápida y segura transferencia de archivos. Gran variedad de diseños divertidos. Especificaciones: Plug & Play. Interfaz USB 2.0 Compatible con: Windows me/2000/XP/Vista/7/8/10, Mac OS X 9.0 y posteriores. Color: Rojo con negro",COMPONENTES DE ENSAMBLE,FLASH,6.01,158.25,187.55,https://static.ctonline.mx/imagenes/MEMRBT570/MEMRBT570_400.jpg,https://static.ctonline.mx/marcas/png/FLASH.png,https://ctonline.mx/buscar/productos?b=MEMRBT570,117.22,158.25,140.66,35%,assets/img/catalog/MEMRBT570.jpg,https://static.ctonline.mx/imagenes/MEMRBT570/MEMRBT570_400.jpg,punto_de_venta,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRBT570/MEMRBT570_400.jpg
MEMRBT580,"MEMORIA FLASH USB 32GB, CERDITO (190432-7), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágene","MEMORIA FLASH USB 32GB, CERDITO (190432-7), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y demás, de forma segura y divertida con la nueva Memoria Flash USB con diseño animado y capacidad de 32 GB.- Capacidad de 32 GB. Pequeño y ligero. Fácil de transportar. Su tecnología USB 2.0 ofrece mayor velocidad de lectura y escritura para una rápida y segura transferencia de archivos. Gran variedad de diseños divertidos. Especificaciones: Plug & Play. Interfaz USB 2.0 Compatible con: Windows me/2000/XP/Vista/7/8/10, Mac OS X 9.0 y posteriores. Color: Rosa",COMPONENTES DE ENSAMBLE,FLASH,6.01,158.25,187.55,https://static.ctonline.mx/imagenes/MEMRBT580/MEMRBT580_400.jpg,https://static.ctonline.mx/marcas/png/FLASH.png,https://ctonline.mx/buscar/productos?b=MEMRBT580,117.22,158.25,140.66,35%,assets/img/catalog/MEMRBT580.jpg,https://static.ctonline.mx/imagenes/MEMRBT580/MEMRBT580_400.jpg,punto_de_venta,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRBT580/MEMRBT580_400.jpg
MEMRBT590,"MEMORIA FLASH USB 32GB, CONEJA GRIS  (190432-8), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, im","MEMORIA FLASH USB 32GB, CONEJA GRIS  (190432-8), Brobotix Almacena y transfiere tus archivos, música favorita, fotos, imágenes y demás, de forma segura y divertida con la nueva Memoria Flash USB con diseño animado y capacidad de 32 GB.- Capacidad de 32 GB. Pequeño y ligero. Fácil de transportar. Su tecnología USB 2.0 ofrece mayor velocidad de lectura y escritura para una rápida y segura transferencia de archivos. Gran variedad de diseños divertidos. Especificaciones: Plug & Play.  Interfaz USB 2.0. Compatible con: Windows me/2000/XP/Vista/7/8/10, Mac OS X 9.0 y posteriores.   Color: Gris",COMPONENTES DE ENSAMBLE,FLASH,6.01,158.25,187.55,https://static.ctonline.mx/imagenes/MEMRBT590/MEMRBT590_400.jpg,https://static.ctonline.mx/marcas/png/FLASH.png,https://ctonline.mx/buscar/productos?b=MEMRBT590,117.22,158.25,140.66,35%,assets/img/catalog/MEMRBT590.jpg,https://static.ctonline.mx/imagenes/MEMRBT590/MEMRBT590_400.jpg,punto_de_venta,20% garantizado sobre proveedor,https://static.ctonline.mx/imagenes/MEMRBT590/MEMRBT590_400.jpg
