sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl,vigencia_precios,clausula_precios
BATACT010,BATACT010,"Cargador Powerbank Acteck Energon GO Plug Max PG80 Cargador Powerbank 20,000  mAh, Cable USB-C ","Cargador Powerbank Acteck Energon GO Plug Max PG80 Cargador Powerbank 20,000  mAh, Cable USB-C Integrado, Carga rápida de 22.5w, Ultra Compacto y Ligero, 3C Estándar, Color Negro AC-945608",CT,m,311.1111111111111,311.11,15.95,373.33,373.33,497.78,357.78,373.33,reguladores_ups,./assets/img/catalog/reguladores_ups/BATACT010.jpg,https://static.ctonline.mx/imagenes/BATACT010/BATACT010_400.jpg,./assets/img/placeholders/ups_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
BATACT020,BATACT020,"Cargador Powerbank Acteck Energon GO Plug Pro PG60 Cargador Powerbank 10,000  mAh, Cable USB-C ","Cargador Powerbank Acteck Energon GO Plug Pro PG60 Cargador Powerbank 10,000  mAh, Cable USB-C Integrado, Carga rápida de 22.5w, Ultra Compacto y Ligero, 3C Estándar, Color Negro AC-945615",CT,m,244.44444444444443,244.44,12.54,293.33,293.33,391.1,281.11,293.33,reguladores_ups,./assets/img/catalog/reguladores_ups/BATACT020.jpg,https://static.ctonline.mx/imagenes/BATACT020/BATACT020_400.jpg,./assets/img/placeholders/ups_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
BATACT030,BATACT030,"Cargador Powerbank Acteck Energon GO Slim Core PM70 Cargador Powerbank 10,000  mAh, USB-C, Carg","Cargador Powerbank Acteck Energon GO Slim Core PM70 Cargador Powerbank 10,000  mAh, USB-C, Carga rápida de 20w, Carga Inalámbrica 15w, Ultra Compacto y Ligero, 3C Estándar, Color Gris AC-945622",CT,m,300.0,300.0,15.38,360.0,360.0,480.0,345.0,360.0,reguladores_ups,./assets/img/catalog/reguladores_ups/BATACT030.jpg,https://static.ctonline.mx/imagenes/BATACT030/BATACT030_400.jpg,./assets/img/placeholders/ups_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
BATACT040,BATACT040,"Cargador Powerbank Acteck Energon GO Slim Pro PM50 Cargador Powerbank 5,000  mAh, USB-C, Carga ","Cargador Powerbank Acteck Energon GO Slim Pro PM50 Cargador Powerbank 5,000  mAh, USB-C, Carga rápida de 20w, Carga Inalámbrica 15w, Ultra Compacto y Ligero, 3C Estándar, Color Gris AC-945639",CT,m,255.55555555555554,255.56,13.11,306.67,306.67,408.9,293.89,306.67,reguladores_ups,./assets/img/catalog/reguladores_ups/BATACT040.jpg,https://static.ctonline.mx/imagenes/BATACT040/BATACT040_400.jpg,./assets/img/placeholders/ups_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
ACCBLR100,ACCBLR100,"Hub Multicontactos ventiladores Balam Rush Eolox Hub EXH8: 4 Conectores Para ARGB 3 Pin, 4 Cone","Hub Multicontactos ventiladores Balam Rush Eolox Hub EXH8: 4 Conectores Para ARGB 3 Pin, 4 Conectores PWM, Salida: Sata 4 Pin. ARGB 5V, incluye control Remoto, Peso 0.7g, Color: Negro.  BR-938105",CT,m,110.565005192108,110.57,5.67,132.68,132.68,176.91,127.16,132.68,reguladores_ups,./assets/img/catalog/reguladores_ups/ACCBLR100.jpg,https://static.ctonline.mx/imagenes/ACCBLR100/ACCBLR100_400.jpg,./assets/img/placeholders/ups_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
BATGET060,BATGET060,"Power Bank Getttech GCA-16501 Atom, 10000 mah, qi, stand, qc, Compatible con Casi todos los  u ","Power Bank Getttech GCA-16501 Atom, 10000 mah, qi, stand, qc, Compatible con Casi todos los  u dispositivos digitales, vida en hs 200-300hrs, carga rápida,",GCA-16501,d,19.522222222222222,380.68,19.52,456.82,456.82,609.09,437.78,456.82,reguladores_ups,./assets/img/catalog/reguladores_ups/BATGET060.jpg,https://static.ctonline.mx/imagenes/BATGET060/BATGET060_400.jpg,./assets/img/placeholders/ups_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
BATGET070,BATGET070,"Batería portátil con pantalla LED, Getttech, modelo GBN-M10CL-01 Carga rápida de 15W. Para disp","Batería portátil con pantalla LED, Getttech, modelo GBN-M10CL-01 Carga rápida de 15W. Para dispositivos USD-a como tipo C. Monitoreo inteligente de la batería. Diseño compacto.",CT,d,11.833333333333334,230.75,11.83,276.9,276.9,369.2,265.36,276.9,reguladores_ups,./assets/img/catalog/reguladores_ups/BATGET070.jpg,https://static.ctonline.mx/imagenes/BATGET070/BATGET070_400.jpg,./assets/img/placeholders/ups_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
BATGET080,BATGET080,Getttech Power Bank de 5000 mAh - Modelo: GBN-E5KCS-01,Getttech Power Bank de 5000 mAh - Modelo: GBN-E5KCS-01,CT,d,7.111111111111112,138.67,7.11,166.4,166.4,221.87,159.47,166.4,reguladores_ups,./assets/img/catalog/reguladores_ups/BATGET080.jpg,https://static.ctonline.mx/imagenes/BATGET080/BATGET080_400.jpg,./assets/img/placeholders/ups_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
BATMST020,BATMST020,PC-241119 Power Bank Carga Rápida 22.5W Diseño Compacto y Ligero Thunder | PERFECT CHOICE: ¡Ene,"PC-241119 Power Bank Carga Rápida 22.5W Diseño Compacto y Ligero Thunder | PERFECT CHOICE: ¡Energía sin Límites para Acompañarte Todo el Día! El Power Bank de carga rápida Thunder es la solución ideal para mantener tus dispositivos siempre con energía. Con una capacidad de 20 000 mAh, este cargador portátil ofrece múltiples cargas para tu celular, Tablet o accesorios, convirtiéndolo en un aliado perfecto para viajes, trabajo móvil y actividades al aire libre. Su diseño compacto integra cables Tipo C y Lightning, lo que evita cargar accesorios extra y facilita conectar tus dispositivos de inmediato. Gracias a su potencia de salida de 22.5 W, este power bank ofrece una carga rápida y eficiente, compatible con teléfonos Android y iPhone. Incorpora múltiples puertos de salida USB A y USB C que permiten cargar varios equipos al mismo tiempo. Fabricado en material resistente y ligero, está diseñado para acompañarte a diario sin ocupar espacio innecesario. Su combinación de alta capacidad, carga rápida y cables integrados lo convierte en un dispositivo práctico, innovador y adaptable a las necesidades actuales de movilidad. ESPECIFICACIONES TÉCNICAS: Modelo Thunder, Alimentación: 5Vcc / 9Vcc / 12Vcc, Transmisión: Carga por cable USB, CPU: Sistema de gestión inteligente de energía, Batería: 20,000 mAh, Protección: Protección contra sobrecarga, sobrecorriente y cortocircuito, Material: Plástico ABS, Medidas: 14.6 x 6.9 x 3.2 cm, Peso: 350 g 1 AÑO DE GARANTIA DIRECTO CON EL FABRICANTE.",PC-241119,m,385.8478260869565,385.85,19.79,463.02,463.02,617.36,443.73,463.02,reguladores_ups,./assets/img/catalog/reguladores_ups/BATMST020.jpg,https://static.ctonline.mx/imagenes/BATMST020/BATMST020_400.jpg,./assets/img/placeholders/ups_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
BATMST010,BATMST010,Power bank PERFECT CHOICE PC-241027 inalámbrico de carga rápida color negro con potencia de 22.,"Power bank PERFECT CHOICE PC-241027 inalámbrico de carga rápida color negro con potencia de 22.55W capacidad de batería de 3.7V-10000mAh (37wh), entrada tipo C 5Vcc/2.5A,9Vcc/2A,12Vcc/1.5A, material ABS, conectores de USBA,C. Salida  USB A:4.5Vcc/5A , 12Vcc/1.65A (22.5w), Carga inalámbrica: 15W, medidas 145 x 40 x 12mm, peso: 240g, UPC: 615604241027",PERFECT,m,364.8695652173913,364.87,18.71,437.84,437.84,583.79,419.6,437.84,reguladores_ups,./assets/img/catalog/reguladores_ups/BATMST010.jpg,https://static.ctonline.mx/imagenes/BATMST010/BATMST010_400.jpg,./assets/img/placeholders/ups_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
