sku,nombre,descripcion_completa,categoria_ct,marca,costo_base,precio_mxn,precio_original,img,brand_logo,ficha_url,costo_proveedor_mxn,precio,precio_mayoreo_10pzs,margen_aplicado,img_local,img_cdn,categoria_clasificada,local_img
MONLGE3080,"MONITOR SIGNAGE 55"" LG 55UM5N. Monitor Signage LG 55""; Resolucion 3840x2160 (4K UHD); Refresh 60Hz; Sistema operativo we","MONITOR SIGNAGE 55"" LG 55UM5N. Monitor Signage LG 55""; Resolucion 3840x2160 (4K UHD); Refresh 60Hz; Sistema operativo webOS 6.0; Tiempo de respuesta 8ms; Tiempo de vida 50,000 horas; Operacion 24/7; 500 nit; Soluciones SuperSign",COMPONENTES DE ENSAMBLE,SIGNAGE,11133.1,15029.67,17812.94,https://static.ctonline.mx/imagenes/MONLGE3080/MONLGE3080_400.jpg,https://static.ctonline.mx/marcas/png/SIGNAGE.png,https://ctonline.mx/buscar/productos?b=MONLGE3080,11133.09,15029.67,13359.71,35%,assets/img/catalog/MONLGE3080.jpg,https://static.ctonline.mx/imagenes/MONLGE3080/MONLGE3080_400.jpg,software,https://static.ctonline.mx/imagenes/MONLGE3080/MONLGE3080_400.jpg
MONASS1340,MONITOR ASUS PA247CV Display Tamaño de panel (pulgadas) :23.8 Relación de aspecto :16:9 Área de visualización de pantall,"MONITOR ASUS PA247CV Display Tamaño de panel (pulgadas) :23.8 Relación de aspecto :16:9 Área de visualización de pantalla (H x V) :527.04 x 296.46 mm Superficie de dislpay :Non-Glare Tipo de luz de fondo :LED Tipo de panel :IPS Ángulo de visión (CR≧10, H/V) :178°/ 178° Pixel Pitch : 0.2745mm Resolución :1920x1080 Espacio de color (sRGB) :100% Brillo (Typ.) :350cd/㎡ Relación de contraste (Typ.) :1000:1 ASUS Smart Contrast Ratio (ASCR) : 100000000:1 Colores en display :16.7M Tiempo de respuesta :5ms(GTG) Frecuencia de actualización (Max) :75Hz Flicker-free : Yes LCD ZBD Warranty : Yes(3 yr) Video Tecnología Trace Free:Yes ProArt Preset : Standard ProArt Preset : sRGB ProArt Preset : DCI-P3 ProArt Preset : Rec. 709 ProArt Preset : Scenery ProArt Preset : Reading ProArt Preset : Darkroom ProArt Preset : Rapid Rendering ProArt Preset : User mode1 ProArt Preset : User mode2 SPLENDID Technology : Sí Color Temp. Selection : Yes(5 modes) Color Adjustment : 6-axis adjustment(R,G,B,C,M,Y) Gamma adjustment : Yes (Support Gamma 1.8/2.0/2.2/2.4/2.6 ) Color Accuracy : △E< 2 ProArt Palette : Yes QuickFit : Yes HDCP : Si Tecnología VRR :Adaptive-Sync Dark Boost : Yes ProArt Widget : Yes Low Blue Light : Yes Audio Speaker : Yes(2Wx2) Puertos E/S USB-C x 1 DisplayPort 1.2 x 2 (Daisy Chain) HDMI(v1.4) x 1 USB Hub : 4x USB 3.2 Gen 1 Type-A Earphone Jack : Yes USB-C Power Delivery : 65W Frecuencia de la señal Digital Signal Frequency : HDMI: 30~83 KHz (H) / 48~75 Hz (V) DisplayPort: 85~85KHz (H) / 48~75 Hz (V) Consumo de energía Power Consumption : <18W Power Saving Mode : <0.5W Power Off Mode : 0W Voltage : 100-240V, 50/60Hz Diseño mecánico Tilt : Yes (+35° ~ -5°) Swivel : Yes (+90° ~ -90°) Pivot : Yes (+90° ~ -90°) Height Adjustment : 0~130mm VESA Wall Mounting : 100x100mm Kensington Lock : Yes Dimensiones Phys. Dimensión with Stand (W x H x D) : 539.7 x (341.8~471.8) x 211.4 mm Phys. Dimensión without Stand (W x H x D) : 539.7 x 329.9 x 52.8 mm Box Dimensión (W x H x D) : 632 x 450 x 216 mm Peso Net Weight with Stand : 6.3 Kg Net Weight without Stand : 4.2 Kg Gross Weight : 8.3 Kg Accesorios (varían según la región) Color pre-calibration report DisplayPort cable Power cord Quick release stand Quick start guide USB-C cable Warranty Card Welcome Card Certificado TÜV Flicker-free TÜV Low Blue Light Calman Verified",COMPONENTES DE ENSAMBLE,ASUS,224.68,5914.73,7010.05,https://static.ctonline.mx/imagenes/MONASS1340/MONASS1340_400.jpg,https://static.ctonline.mx/marcas/png/ASUS.png,https://ctonline.mx/buscar/productos?b=MONASS1340,4381.28,5914.73,5257.54,35%,assets/img/catalog/MONASS1340.jpg,https://static.ctonline.mx/imagenes/MONASS1340/MONASS1340_400.jpg,software,https://static.ctonline.mx/imagenes/MONASS1340/MONASS1340_400.jpg
SOFHPE790,Licencia de núcleos adicionales (P77106-B21) para el sistema operativo Microsoft Windows Server 2025 Standard 2-núcleos ,Licencia de núcleos adicionales (P77106-B21) para el sistema operativo Microsoft Windows Server 2025 Standard 2-núcleos Worldwide Software. No es un sistema operativo.,EQUIPOS DE MARCA,LICENCIA,140.21,3691.04,4374.56,https://static.ctonline.mx/imagenes/SOFHPE790/SOFHPE790_400.jpg,https://static.ctonline.mx/marcas/png/LICENCIA.png,https://ctonline.mx/buscar/productos?b=SOFHPE790,2734.1,3691.04,3280.92,35%,assets/img/catalog/SOFHPE790.jpg,https://static.ctonline.mx/imagenes/SOFHPE790/SOFHPE790_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE790/SOFHPE790_400.jpg
SOFHPE800,Licencia de núcleos adicionales (P77105-B21) para el sistema operativo Microsoft Windows Server 2025 Standard 4-núcleos ,Licencia de núcleos adicionales (P77105-B21) para el sistema operativo Microsoft Windows Server 2025 Standard 4-núcleos Worldwide Software. NO es un sistema operativo.,EQUIPOS DE MARCA,LICENCIA,272.63,7177.02,8506.1,https://static.ctonline.mx/imagenes/SOFHPE800/SOFHPE800_400.jpg,https://static.ctonline.mx/marcas/png/LICENCIA.png,https://ctonline.mx/buscar/productos?b=SOFHPE800,5316.31,7177.02,6379.57,35%,assets/img/catalog/SOFHPE800.jpg,https://static.ctonline.mx/imagenes/SOFHPE800/SOFHPE800_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE800/SOFHPE800_400.jpg
SOFHPE810,Licencia de núcleos adicionales (P77104-B21) para el sistema operativo Microsoft Windows Server 2025 Standard 16-núcleos,Licencia de núcleos adicionales (P77104-B21) para el sistema operativo Microsoft Windows Server 2025 Standard 16-núcleos Worldwide Software. NO es un sistema operativo.,EQUIPOS DE MARCA,LICENCIA,1074.95,28297.98,33538.35,https://static.ctonline.mx/imagenes/SOFHPE810/SOFHPE810_400.jpg,https://static.ctonline.mx/marcas/png/LICENCIA.png,https://ctonline.mx/buscar/productos?b=SOFHPE810,20961.47,28297.98,25153.76,35%,assets/img/catalog/SOFHPE810.jpg,https://static.ctonline.mx/imagenes/SOFHPE810/SOFHPE810_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE810/SOFHPE810_400.jpg
SOFHPE820,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77110-B21) 1 Usuario Worldwide LTU (License-To-Use). NO,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77110-B21) 1 Usuario Worldwide LTU (License-To-Use). NO es un sistema operativo.,EQUIPOS DE MARCA,CAL(CLIENT,62.32,1640.47,1944.26,https://static.ctonline.mx/imagenes/SOFHPE820/SOFHPE820_400.jpg,https://static.ctonline.mx/marcas/png/CALCLIENT.png,https://ctonline.mx/buscar/productos?b=SOFHPE820,1215.16,1640.47,1458.19,35%,assets/img/catalog/SOFHPE820.jpg,https://static.ctonline.mx/imagenes/SOFHPE820/SOFHPE820_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE820/SOFHPE820_400.jpg
SOFHPE830,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77118-B21) 1 Usuario RDS/ Servicio de escritorio remoto,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77118-B21) 1 Usuario RDS/ Servicio de escritorio remoto Worldwide LTU (License-To-Use). NO es un sistema operativo.,EQUIPOS DE MARCA,CAL(CLIENT,241.47,6356.8,7533.98,https://static.ctonline.mx/imagenes/SOFHPE830/SOFHPE830_400.jpg,https://static.ctonline.mx/marcas/png/CALCLIENT.png,https://ctonline.mx/buscar/productos?b=SOFHPE830,4708.74,6356.8,5650.49,35%,assets/img/catalog/SOFHPE830.jpg,https://static.ctonline.mx/imagenes/SOFHPE830/SOFHPE830_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE830/SOFHPE830_400.jpg
SOFHPE840,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77112-B21) 5 Usuarios Worldwide LTU (License-To-Use). N,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77112-B21) 5 Usuarios Worldwide LTU (License-To-Use). NO es un sistema operativo.,EQUIPOS DE MARCA,CAL(CLIENT,276.53,7279.55,8627.62,https://static.ctonline.mx/imagenes/SOFHPE840/SOFHPE840_400.jpg,https://static.ctonline.mx/marcas/png/CALCLIENT.png,https://ctonline.mx/buscar/productos?b=SOFHPE840,5392.26,7279.55,6470.71,35%,assets/img/catalog/SOFHPE840.jpg,https://static.ctonline.mx/imagenes/SOFHPE840/SOFHPE840_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE840/SOFHPE840_400.jpg
SOFHPE850,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77120-B21) 5 Usuarios RDS/ Servicio de escritorio remot,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77120-B21) 5 Usuarios RDS/ Servicio de escritorio remoto Worldwide LTU (License-To-Use). NO es un sistema operativo.,EQUIPOS DE MARCA,CAL(CLIENT,1168.42,30758.68,36454.74,https://static.ctonline.mx/imagenes/SOFHPE850/SOFHPE850_400.jpg,https://static.ctonline.mx/marcas/png/CALCLIENT.png,https://ctonline.mx/buscar/productos?b=SOFHPE850,22784.21,30758.68,27341.05,35%,assets/img/catalog/SOFHPE850.jpg,https://static.ctonline.mx/imagenes/SOFHPE850/SOFHPE850_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE850/SOFHPE850_400.jpg
SOFHPE860,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77111-B21) 1 Dispositivo Worldwide LTU (License-To-Use),CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77111-B21) 1 Dispositivo Worldwide LTU (License-To-Use). NO es un sistema operativo.,EQUIPOS DE MARCA,CAL(CLIENT,42.84,1127.82,1336.67,https://static.ctonline.mx/imagenes/SOFHPE860/SOFHPE860_400.jpg,https://static.ctonline.mx/marcas/png/CALCLIENT.png,https://ctonline.mx/buscar/productos?b=SOFHPE860,835.42,1127.82,1002.5,35%,assets/img/catalog/SOFHPE860.jpg,https://static.ctonline.mx/imagenes/SOFHPE860/SOFHPE860_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE860/SOFHPE860_400.jpg
SOFHPE870,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77119-B21) 1 Dispositivo RDS/ Servicio de escritorio re,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77119-B21) 1 Dispositivo RDS/ Servicio de escritorio remoto Worldwide LTU (License-To-Use). NO es un sistema operativo.,EQUIPOS DE MARCA,CAL(CLIENT,171.37,4511.28,5346.7,https://static.ctonline.mx/imagenes/SOFHPE870/SOFHPE870_400.jpg,https://static.ctonline.mx/marcas/png/CALCLIENT.png,https://ctonline.mx/buscar/productos?b=SOFHPE870,3341.69,4511.28,4010.03,35%,assets/img/catalog/SOFHPE870.jpg,https://static.ctonline.mx/imagenes/SOFHPE870/SOFHPE870_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE870/SOFHPE870_400.jpg
SOFHPE880,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77113-B21) 5 Dispositivos Worldwide LTU (License-To-Use,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77113-B21) 5 Dispositivos Worldwide LTU (License-To-Use). NO es un sistema operativo.,EQUIPOS DE MARCA,CAL(CLIENT,194.74,5126.44,6075.78,https://static.ctonline.mx/imagenes/SOFHPE880/SOFHPE880_400.jpg,https://static.ctonline.mx/marcas/png/CALCLIENT.png,https://ctonline.mx/buscar/productos?b=SOFHPE880,3797.36,5126.44,4556.83,35%,assets/img/catalog/SOFHPE880.jpg,https://static.ctonline.mx/imagenes/SOFHPE880/SOFHPE880_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE880/SOFHPE880_400.jpg
SOFHPE890,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77121-B21) 5 Dispositivos RDS/ Servicio de escritorio r,CAL(Client Access Licenses) para Microsoft Windows Server 2025 (P77121-B21) 5 Dispositivos RDS/ Servicio de escritorio remoto Worldwide LTU (License-To-Use). NO es un sistema operativo.,EQUIPOS DE MARCA,CAL(CLIENT,833.47,21941.2,26004.38,https://static.ctonline.mx/imagenes/SOFHPE890/SOFHPE890_400.jpg,https://static.ctonline.mx/marcas/png/CALCLIENT.png,https://ctonline.mx/buscar/productos?b=SOFHPE890,16252.74,21941.2,19503.29,35%,assets/img/catalog/SOFHPE890.jpg,https://static.ctonline.mx/imagenes/SOFHPE890/SOFHPE890_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE890/SOFHPE890_400.jpg
SOFHPE910,Licencia de núcleos adicionales (P77109-B21) para el sistema operativo Microsoft Windows Server 2025 Datacenter 2-núcleo,Licencia de núcleos adicionales (P77109-B21) para el sistema operativo Microsoft Windows Server 2025 Datacenter 2-núcleos Worldwide Software. No es un sistema operativo.,EQUIPOS DE MARCA,LICENCIA,619.26,16302.11,19321.02,https://static.ctonline.mx/imagenes/SOFHPE910/SOFHPE910_400.jpg,https://static.ctonline.mx/marcas/png/LICENCIA.png,https://ctonline.mx/buscar/productos?b=SOFHPE910,12075.64,16302.11,14490.77,35%,assets/img/catalog/SOFHPE910.jpg,https://static.ctonline.mx/imagenes/SOFHPE910/SOFHPE910_400.jpg,software,https://static.ctonline.mx/imagenes/SOFHPE910/SOFHPE910_400.jpg
ACCHPE3890,Hpe Oneview sin ilo (P8B26AAE) Que incluye 3 Años de asistencia 24x7 licencia del tipo E-LTU.,Hpe Oneview sin ilo (P8B26AAE) Que incluye 3 Años de asistencia 24x7 licencia del tipo E-LTU.,EQUIPOS DE MARCA,HPE,431.32,11354.39,13457.06,https://static.ctonline.mx/imagenes/ACCHPE3890/ACCHPE3890_400.jpg,https://static.ctonline.mx/marcas/png/HPE.png,https://ctonline.mx/buscar/productos?b=ACCHPE3890,8410.66,11354.39,10092.79,35%,assets/img/catalog/ACCHPE3890.jpg,https://static.ctonline.mx/imagenes/ACCHPE3890/ACCHPE3890_400.jpg,software,https://static.ctonline.mx/imagenes/ACCHPE3890/ACCHPE3890_400.jpg
ACCHPE070,Licencia electrónica HPE iLO Advanced (E6U64ABE) con 3 años de soporte en funciones licenciadas iLO.,Licencia electrónica HPE iLO Advanced (E6U64ABE) con 3 años de soporte en funciones licenciadas iLO.,EQUIPOS DE MARCA,LICENCIA,284.21,7481.84,8867.36,https://static.ctonline.mx/imagenes/ACCHPE070/ACCHPE070_400.jpg,https://static.ctonline.mx/marcas/png/LICENCIA.png,https://ctonline.mx/buscar/productos?b=ACCHPE070,5542.1,7481.84,6650.52,35%,assets/img/catalog/ACCHPE070.jpg,https://static.ctonline.mx/imagenes/ACCHPE070/ACCHPE070_400.jpg,software,https://static.ctonline.mx/imagenes/ACCHPE070/ACCHPE070_400.jpg
SOFLEN360,"Microsoft Windows Server Essentials ROK LENOVO 2025 (7S1S000XWW) Solo para 25 usuarios locales, soporta hasta 64GB en ra","Microsoft Windows Server Essentials ROK LENOVO 2025 (7S1S000XWW) Solo para 25 usuarios locales, soporta hasta 64GB en ram, se entrega media de instalación (Disco DVD) con certificado de autentificación. No admite licencias RDS (Remote Desktop Services). Compatible únicamente para Servidores LENOVO",EQUIPOS DE MARCA,MICROSOFT,484.39,12751.61,15113.02,https://static.ctonline.mx/imagenes/SOFLEN360/SOFLEN360_400.jpg,https://static.ctonline.mx/marcas/png/MICROSOFT.png,https://ctonline.mx/buscar/productos?b=SOFLEN360,9445.64,12751.61,11334.77,35%,assets/img/catalog/SOFLEN360.jpg,https://static.ctonline.mx/imagenes/SOFLEN360/SOFLEN360_400.jpg,software,https://static.ctonline.mx/imagenes/SOFLEN360/SOFLEN360_400.jpg
