sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,placeholder,garantia,disponibilidad_gdl,vigencia_precios,clausula_precios
KITPVS370,KITPVS370,"Kit de video vigilancia Marca PROVISION, (PAK4LIGHTCC2MP-28), 2 MP 1 dvr AHD de 4 canales + 4 c","Kit de video vigilancia Marca PROVISION, (PAK4LIGHTCC2MP-28), 2 MP 1 dvr AHD de 4 canales + 4 cámaras bala de plastico con lente de 2.8 (2MPX) Ext/Interior, cubre hasta 15 metros en vision nocturno, 4 cables siames de 20 metros, soporta 1 disco duro SATA de hasta 6TB (no incluido), 1 fuente de poder de 12v/3A,1 divisor de voltaje, P2P Aplicacion para MOVILES, notificacion vía mail, 2 años de garantía.",CT,d,69.23076923076923,1350.0,69.23,1620.0,1620.0,2160.0,1552.5,1620.0,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/KITPVS370.jpg,https://static.ctonline.mx/imagenes/KITPVS370/KITPVS370_400.jpg,./assets/img/placeholders/cctv_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CAMPVS3190,CAMPVS3190,"Cámara Bala AHD PROVISION ISR ISR I2-320AB-28 (2MP), Lente Fijo 2.8mm ( 90.3°), compatible con ","Cámara Bala AHD PROVISION ISR ISR I2-320AB-28 (2MP), Lente Fijo 2.8mm ( 90.3°), compatible con TVI /CVI /CVBS, cubre hasta 20 Metros Visión Nocturna, D-WDR, Polímero, 2 años de garantia",AHD,d,11.363636363636363,221.59,11.36,265.91,265.91,354.54,254.83,265.91,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3190.jpg,https://static.ctonline.mx/imagenes/CAMPVS3190/CAMPVS3190_400.jpg,./assets/img/placeholders/cctv_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CAMPVS2580,CAMPVS2580,"Cámara Domo AHD PROVISION ISR (DI-320A-28), (2 MP), Lente fijo 2.8 (88°) mm, compatible con CVI","Cámara Domo AHD PROVISION ISR (DI-320A-28), (2 MP), Lente fijo 2.8 (88°) mm, compatible con CVI/TVI, CVBS, cubre hasta 20 metros en vision nocturna, CoC, 3D-DNR, IP67, Exterior / Interior, Metalica de color Blanco, 2 años de garantía.",AHD,d,22.886363636363637,446.28,22.89,535.54,535.54,714.05,513.22,535.54,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS2580.jpg,https://static.ctonline.mx/imagenes/CAMPVS2580/CAMPVS2580_400.jpg,./assets/img/placeholders/cctv_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CAMPVS2590,CAMPVS2590,"Cámara Domo AHD PROVISION ISR (DI-320A-VF), (2 MP) Lente VF  2.8-12 (88°-33°) mm, compatible CV","Cámara Domo AHD PROVISION ISR (DI-320A-VF), (2 MP) Lente VF  2.8-12 (88°-33°) mm, compatible CVI/TVI, CVBS, cubre hasta 40 metros en vision nocturna, CoC, 3D-DNR, IP67, Exterior / Interior, Metalica de color Blanco, 2 años de garantía.",AHD,d,45.0,877.5,45.0,1053.0,1053.0,1404.0,1009.12,1053.0,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS2590.jpg,https://static.ctonline.mx/imagenes/CAMPVS2590/CAMPVS2590_400.jpg,./assets/img/placeholders/cctv_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CAMPVS3460,CAMPVS3460,"Cámara Domo PROVISION ISR DH-320IPBN-28 2MP, Turret/Domo , Lente 2,8mm (93°), IR 20M , Micrófon","Cámara Domo PROVISION ISR DH-320IPBN-28 2MP, Turret/Domo , Lente 2,8mm (93°), IR 20M , Micrófono incorporado, Analítico DDA,  Reconocimiento de personas y vehículos: área estéril, cruce de línea cruce de línea *Solo para humanos, Detecta 41 mts, Reconoce 8 mt, Reconoce 4 mts, PoE, D-WDR, HLC,BLC, ROI, IP67.",PROVISION,d,39.57954545454545,771.8,39.58,926.16,926.16,1234.88,887.57,926.16,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3460.jpg,https://static.ctonline.mx/imagenes/CAMPVS3460/CAMPVS3460_400.jpg,./assets/img/placeholders/cctv_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CAMPVS3660,CAMPVS3660,"Cámara Domo DDA PROVISION ISR (DH-320IPSN-28) 2MP, Lente ICR 2.8mm (104°), de día detecta hasta","Cámara Domo DDA PROVISION ISR (DH-320IPSN-28) 2MP, Lente ICR 2.8mm (104°), de día detecta hasta 40 metros, reconoce hasta 8 metros, identifica hasta 4 metros y cubre hasta 20M de visión nocturna, Analíticos Human & Vehicle Recogition: Sterile Área, Line Crossing *Human only, Micrófono incorporado, Soporta MicroSD (Hasta 256 GB), PoE, D-WDR, HLC,BLC, ROI, IP67, 2 años de garantía.",DDA,d,58.59090909090909,1142.52,58.59,1371.02,1371.02,1828.03,1313.9,1371.02,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3660.jpg,https://static.ctonline.mx/imagenes/CAMPVS3660/CAMPVS3660_400.jpg,./assets/img/placeholders/cctv_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CAMPVS3600,CAMPVS3600,"Cámara Bala PROVISION ISR I4-33K0AP-MVF HD-3K Básica, Bala , IR 40M (1 LED Array), lente 2.8-12","Cámara Bala PROVISION ISR I4-33K0AP-MVF HD-3K Básica, Bala , IR 40M (1 LED Array), lente 2.8-12 mm (103°-38°) , WDR/HLC/BLC digital, 4 en 1 compatible con todas las tecnologías, Polímero.",PROVISION,d,62.34090909090909,1215.65,62.34,1458.78,1458.78,1945.04,1398.0,1458.78,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3600.jpg,https://static.ctonline.mx/imagenes/CAMPVS3600/CAMPVS3600_400.jpg,./assets/img/placeholders/cctv_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CAMPVS3710,CAMPVS3710,"Cámara Bala PROVISION ISR I2-33K0AP-28 HD-3K Básica, IR 20M (1 LED Array), Micrófono incorporad","Cámara Bala PROVISION ISR I2-33K0AP-28 HD-3K Básica, IR 20M (1 LED Array), Micrófono incorporado, lente 2.8mm, D-WDR, BLC, HLC , 4 en 1 compatible con todas las tecnologías, IP67.",PROVISION,d,38.93181818181818,759.17,38.93,911.0,911.0,1214.67,873.05,911.0,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3710.jpg,https://static.ctonline.mx/imagenes/CAMPVS3710/CAMPVS3710_400.jpg,./assets/img/placeholders/cctv_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CAMPVS3680,CAMPVS3680,"Cámara Bala IP DDA PROVISION ISR (BSH-340IPBN-28) 4 MP, Lente fijo 2.8 mm (93°) , cubre hasta 2","Cámara Bala IP DDA PROVISION ISR (BSH-340IPBN-28) 4 MP, Lente fijo 2.8 mm (93°) , cubre hasta 20 metros en visión nocturno, Reconocimiento de personas y vehículos: área estéril, cruce de línea, Micrófono incorporado POE , WWDR, BLC, HLC, ROI, IP67, Detecta 57 mts, Reconoce 11 mts, Identifica 6 mts ,Exterior / Interior, color Blanco, 2 años de garantía.",DDA,d,57.95454545454545,1130.11,57.95,1356.13,1356.13,1808.18,1299.63,1356.13,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS3680.jpg,https://static.ctonline.mx/imagenes/CAMPVS3680/CAMPVS3680_400.jpg,./assets/img/placeholders/cctv_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
CAMPVS2670,CAMPVS2670,"Cámara Bala AHD PROVISION ISR (I2-320A-28) (2MP), Lente fijo de 2.8 (88°) mm, compatible CVI / ","Cámara Bala AHD PROVISION ISR (I2-320A-28) (2MP), Lente fijo de 2.8 (88°) mm, compatible CVI / TVI / CVBS, cubre hasta 20 metros en vision nocturna, 3D-DNR, CoC, IP67, Exterior / Interior, Metalica de color Blanco, 2 años de garantía.",AHD,d,14.772727272727273,288.07,14.77,345.68,345.68,460.91,331.28,345.68,telefonia_seguridad,./assets/img/catalog/telefonia_seguridad/CAMPVS2670.jpg,https://static.ctonline.mx/imagenes/CAMPVS2670/CAMPVS2670_400.jpg,./assets/img/placeholders/cctv_placeholder.jpg,48h Directa / 1 Año Fabricante,Pedro Moreno 501 A (Entrega Inmediata),Válido del 24 al 29 de Agosto de 2026,Precios sujetos a alza o cambio sin previo aviso
