sku,clave,nombre,descripcion_completa,marca,moneda_origen,costo_origen,costo_base_mxn,costo_base_usd,precio,precio_mxn,precio_original,precio_mayoreo_10pzs,precio_piso_minimo_20,categoria_clasificada,img,cdn_url,garantia,disponibilidad_gdl
VENINT070,VENINT070,Disipador Intel BXTS10A LGA 1200. COMPATIBLE con procesador CPUINT5010 CM8070104290806. El Inte,"Disipador Intel BXTS10A LGA 1200. COMPATIBLE con procesador CPUINT5010 CM8070104290806. El Intel BXTS10A es una solución de refrigeración confiable y eficiente que no solo mejora el rendimiento de tu procesador, sino que también asegura un funcionamiento silencioso y duradero.",BXTS10A,d,6.555555555555555,127.83,6.56,191.75,191.75,255.66,178.96,153.4,varios_hardware,./assets/img/catalog/varios_hardware/VENINT070.jpg,https://static.ctonline.mx/imagenes/VENINT070/VENINT070_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MENWSD020,MENWSD020,"Memoria Micro SD WD Purple, 64GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD064G1P0C","Memoria Micro SD WD Purple, 64GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD064G1P0C",CT,d,18.022222222222222,351.43,18.02,527.14,527.14,702.86,492.0,421.72,varios_hardware,./assets/img/catalog/varios_hardware/MENWSD020.jpg,https://static.ctonline.mx/imagenes/MENWSD020/MENWSD020_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MENWSD010,MENWSD010,"Memoria Micro SD WD Purple, 128GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD128G1P0C","Memoria Micro SD WD Purple, 128GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD128G1P0C",CT,d,34.922222222222224,680.98,34.92,1021.47,1021.47,1361.96,953.37,817.18,varios_hardware,./assets/img/catalog/varios_hardware/MENWSD010.jpg,https://static.ctonline.mx/imagenes/MENWSD010/MENWSD010_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
MENWSD030,MENWSD030,"Memoria Micro SD WD Purple, 256GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD256G1P0C","Memoria Micro SD WD Purple, 256GB, Clase 10, Clase de velocidad UHS 1 (U1) WDD256G1P0C",CT,d,72.96666666666667,1422.85,72.97,2134.27,2134.27,2845.7,1991.99,1707.42,varios_hardware,./assets/img/catalog/varios_hardware/MENWSD030.jpg,https://static.ctonline.mx/imagenes/MENWSD030/MENWSD030_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
VENDCO530,VENDCO530,"Disipador DeepCool AK620 DIGITAL PRO WH, 120 mm, 1750 RPM, Blanco, R-AK620-WHAPMN-G","Disipador DeepCool AK620 DIGITAL PRO WH, 120 mm, 1750 RPM, Blanco, R-AK620-WHAPMN-G",AK620,d,54.977777777777774,1072.07,54.98,1608.11,1608.11,2144.14,1500.9,1286.48,varios_hardware,./assets/img/catalog/varios_hardware/VENDCO530.jpg,https://static.ctonline.mx/imagenes/VENDCO530/VENDCO530_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
VENBEQ160,VENBEQ160,be quiet! Disipador ROCA OSCURA 5  BK035,be quiet! Disipador ROCA OSCURA 5  BK035,ROCA,d,57.96666666666667,1130.35,57.97,1695.52,1695.52,2260.7,1582.49,1356.42,varios_hardware,./assets/img/catalog/varios_hardware/VENBEQ160.jpg,https://static.ctonline.mx/imagenes/VENBEQ160/VENBEQ160_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
VENBEQ190,VENBEQ190,be quiet! Enfriador Liquido PURO LOOP 2 FX 280mm BW014,be quiet! Enfriador Liquido PURO LOOP 2 FX 280mm BW014,CT,d,120.86666666666666,2356.9,120.87,3535.35,3535.35,4713.8,3299.66,2828.28,varios_hardware,./assets/img/catalog/varios_hardware/VENBEQ190.jpg,https://static.ctonline.mx/imagenes/VENBEQ190/VENBEQ190_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
VENBEQ210,VENBEQ210,be quiet! Enfriador Liquido PURO LOOP 2 240mm BW017,be quiet! Enfriador Liquido PURO LOOP 2 240mm BW017,CT,d,80.16666666666667,1563.25,80.17,2344.88,2344.88,3126.5,2188.55,1875.9,varios_hardware,./assets/img/catalog/varios_hardware/VENBEQ210.jpg,https://static.ctonline.mx/imagenes/VENBEQ210/VENBEQ210_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
VENBEQ240,VENBEQ240,ENFRIADOR be quiet! Dark Rock TF 2 ofrece un rendimiento de refrigeración extremo para la CPU y,"ENFRIADOR be quiet! Dark Rock TF 2 ofrece un rendimiento de refrigeración extremo para la CPU y los componentes circundantes, así como un funcionamiento prácticamente inaudible.Rendimiento de refrigeración inmensamente alto con TDP de 230 W 2 disipadores de calor con inserciones de goma antivibraciones 6 tubos de calor de 6 mm de alto rendimiento Silent Wings 3 de 135 mm con entrada de aire en forma de embudo y Silent Wings de 135 mm para un funcionamiento prácticamente inaudible de máx. 27,1dB(A) El sistema de montaje optimizado facilita la instalación El revestimiento negro especial con partículas cerámicas permite una perfecta transferencia de calor.Cubierta superior de aluminio cepillado para una apariencia elegante cables modulares BK031",ENFRIADOR,d,76.66666666666667,1495.0,76.67,2242.5,2242.5,2990.0,2093.0,1794.0,varios_hardware,./assets/img/catalog/varios_hardware/VENBEQ240.jpg,https://static.ctonline.mx/imagenes/VENBEQ240/VENBEQ240_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
PDUTRL050,PDUTRL050,"PDU Básico Monofásico de 120V 3.8kW de Doble Circuito, 40 Tomacorrientes NEMA 5-15/20R, Entrada","PDU Básico Monofásico de 120V 3.8kW de Doble Circuito, 40 Tomacorrientes NEMA 5-15/20R, Entradas NEMA L5-20P/5-20P, Cables de 3.05 m PDU40TDUAL",PDU,m,3262.20256701031,3262.2,167.29,4893.3,4893.3,6524.4,4567.08,3914.64,varios_hardware,./assets/img/catalog/varios_hardware/PDUTRL050.jpg,https://static.ctonline.mx/imagenes/PDUTRL050/PDUTRL050_400.jpg,48h Directa / 1 Año Fábrica,Pedro Moreno 501 A (Entrega Inmediata)
